received_time_ns,c1,c2,c3,c4,c5,c6,c7,c8
4377415000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
4477375000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
4577335000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
4677295000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
4777255000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
4877215000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
4977175000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
5077135000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
5177095000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
5277055000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
5377015000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
5476975000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
5576935000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
5676895000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
5776855000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
5876815000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
5976775000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
6076735000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
6176695000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
6276655000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
6376615000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
6477408000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
6577368000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
6677328000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
6777288000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
6877248000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
6977208000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
7077168000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
7177128000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
7277088000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
7377048000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
7477008000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
7576968000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
7676928000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
7776888000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
7876848000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
7976808000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
8076768000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
8176728000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
8276688000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
8376648000,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
8476608000,1002.0,1002.0,1002.0,1002.0,0.0,0.0,0.0,0.0
8577401000,1032.0,1032.0,1032.0,1032.0,0.0,0.0,0.0,0.0
8677361000,1062.0,1062.0,1062.0,1062.0,0.0,0.0,0.0,0.0
8777321000,1092.0,1092.0,1092.0,1092.0,0.0,0.0,0.0,0.0
8877281000,1122.0,1122.0,1122.0,1122.0,0.0,0.0,0.0,0.0
8977241000,1150.0,1150.0,1176.0,1176.0,0.0,0.0,0.0,0.0
9077201000,1186.0,1186.0,1169.0,1169.0,0.0,0.0,0.0,0.0
9177161000,1291.0,1291.0,1185.0,1185.0,0.0,0.0,0.0,0.0
9277121000,1397.0,1397.0,1198.0,1198.0,0.0,0.0,0.0,0.0
9377081000,1467.0,1466.0,1255.0,1256.0,0.0,0.0,0.0,0.0
9477041000,1513.0,1513.0,1347.0,1347.0,0.0,0.0,0.0,0.0
9577001000,1560.0,1560.0,1436.0,1436.0,0.0,0.0,0.0,0.0
9676961000,1615.0,1615.0,1517.0,1517.0,0.0,0.0,0.0,0.0
9776921000,1667.0,1667.0,1582.0,1582.0,0.0,0.0,0.0,0.0
9876881000,1690.0,1690.0,1609.0,1610.0,0.0,0.0,0.0,0.0
9976841000,1717.0,1716.0,1630.0,1631.0,0.0,0.0,0.0,0.0
10076801000,1742.0,1742.0,1658.0,1658.0,0.0,0.0,0.0,0.0
10176761000,1764.0,1764.0,1686.0,1686.0,0.0,0.0,0.0,0.0
10276721000,1681.0,1681.0,1625.0,1624.0,0.0,0.0,0.0,0.0
10376681000,1555.0,1555.0,1547.0,1547.0,0.0,0.0,0.0,0.0
10476641000,1527.0,1527.0,1556.0,1556.0,0.0,0.0,0.0,0.0
10576601000,1560.0,1559.0,1586.0,1586.0,0.0,0.0,0.0,0.0
10677394000,1595.0,1594.0,1602.0,1602.0,0.0,0.0,0.0,0.0
10777354000,1603.0,1602.0,1607.0,1608.0,0.0,0.0,0.0,0.0
10877314000,1605.0,1605.0,1595.0,1595.0,0.0,0.0,0.0,0.0
10977274000,1608.0,1607.0,1578.0,1579.0,0.0,0.0,0.0,0.0
11077234000,1599.0,1599.0,1578.0,1579.0,0.0,0.0,0.0,0.0
11177194000,1585.0,1584.0,1590.0,1591.0,0.0,0.0,0.0,0.0
11277154000,1561.0,1560.0,1615.0,1615.0,0.0,0.0,0.0,0.0
11377114000,1542.0,1541.0,1634.0,1634.0,0.0,0.0,0.0,0.0
11477074000,1552.0,1552.0,1628.0,1628.0,0.0,0.0,0.0,0.0
11577034000,1573.0,1573.0,1610.0,1609.0,0.0,0.0,0.0,0.0
11676994000,1598.0,1598.0,1587.0,1587.0,0.0,0.0,0.0,0.0
11776954000,1603.0,1603.0,1584.0,1584.0,0.0,0.0,0.0,0.0
11876914000,1595.0,1595.0,1593.0,1593.0,0.0,0.0,0.0,0.0
11976874000,1595.0,1595.0,1595.0,1596.0,0.0,0.0,0.0,0.0
12076834000,1607.0,1607.0,1585.0,1585.0,0.0,0.0,0.0,0.0
12176794000,1629.0,1628.0,1563.0,1563.0,0.0,0.0,0.0,0.0
12276754000,1633.0,1633.0,1559.0,1559.0,0.0,0.0,0.0,0.0
12376714000,1631.0,1632.0,1562.0,1561.0,0.0,0.0,0.0,0.0
12476674000,1625.0,1625.0,1569.0,1569.0,0.0,0.0,0.0,0.0
12576634000,1616.0,1616.0,1580.0,1580.0,0.0,0.0,0.0,0.0
12676594000,1594.0,1594.0,1602.0,1602.0,0.0,0.0,0.0,0.0
12777387000,1563.0,1563.0,1632.0,1632.0,0.0,0.0,0.0,0.0
12877347000,1552.0,1552.0,1642.0,1642.0,0.0,0.0,0.0,0.0
12977307000,1563.0,1562.0,1633.0,1632.0,0.0,0.0,0.0,0.0
13077267000,1583.0,1583.0,1614.0,1614.0,0.0,0.0,0.0,0.0
13177227000,1591.0,1591.0,1606.0,1606.0,0.0,0.0,0.0,0.0
13277187000,1588.0,1588.0,1609.0,1609.0,0.0,0.0,0.0,0.0
13377147000,1589.0,1589.0,1608.0,1608.0,0.0,0.0,0.0,0.0
13477107000,1592.0,1592.0,1605.0,1604.0,0.0,0.0,0.0,0.0
13577067000,1597.0,1597.0,1600.0,1600.0,0.0,0.0,0.0,0.0
13677027000,1601.0,1601.0,1596.0,1596.0,0.0,0.0,0.0,0.0
13776987000,1603.0,1603.0,1594.0,1594.0,0.0,0.0,0.0,0.0
13876947000,1592.0,1592.0,1605.0,1605.0,0.0,0.0,0.0,0.0
13976907000,1586.0,1586.0,1610.0,1610.0,0.0,0.0,0.0,0.0
14076867000,1591.0,1591.0,1606.0,1606.0,0.0,0.0,0.0,0.0
14176827000,1605.0,1605.0,1592.0,1592.0,0.0,0.0,0.0,0.0
14276787000,1618.0,1618.0,1578.0,1578.0,0.0,0.0,0.0,0.0
14376747000,1620.0,1620.0,1575.0,1576.0,0.0,0.0,0.0,0.0
14476707000,1620.0,1619.0,1576.0,1576.0,0.0,0.0,0.0,0.0
14576667000,1618.0,1617.0,1578.0,1579.0,0.0,0.0,0.0,0.0
14676627000,1614.0,1615.0,1582.0,1582.0,0.0,0.0,0.0,0.0
14777420000,1611.0,1611.0,1586.0,1585.0,0.0,0.0,0.0,0.0
14877380000,1608.0,1607.0,1590.0,1590.0,0.0,0.0,0.0,0.0
14977340000,1604.0,1603.0,1594.0,1594.0,0.0,0.0,0.0,0.0
15077300000,1600.0,1599.0,1598.0,1599.0,0.0,0.0,0.0,0.0
15177260000,1596.0,1595.0,1602.0,1602.0,0.0,0.0,0.0,0.0
15277220000,1592.0,1592.0,1605.0,1605.0,0.0,0.0,0.0,0.0
15377180000,1590.0,1590.0,1608.0,1608.0,0.0,0.0,0.0,0.0
15477140000,1588.0,1588.0,1610.0,1609.0,0.0,0.0,0.0,0.0
15577100000,1587.0,1587.0,1611.0,1610.0,0.0,0.0,0.0,0.0
15677060000,1587.0,1587.0,1610.0,1611.0,0.0,0.0,0.0,0.0
15777020000,1588.0,1588.0,1609.0,1610.0,0.0,0.0,0.0,0.0
15876980000,1589.0,1589.0,1608.0,1608.0,0.0,0.0,0.0,0.0
15976940000,1591.0,1591.0,1606.0,1606.0,0.0,0.0,0.0,0.0
16076900000,1593.0,1593.0,1604.0,1604.0,0.0,0.0,0.0,0.0
16176860000,1595.0,1595.0,1602.0,1602.0,0.0,0.0,0.0,0.0
16276820000,1597.0,1597.0,1599.0,1599.0,0.0,0.0,0.0,0.0
16376780000,1599.0,1599.0,1597.0,1597.0,0.0,0.0,0.0,0.0
16476740000,1601.0,1601.0,1595.0,1595.0,0.0,0.0,0.0,0.0
16576700000,1602.0,1603.0,1594.0,1593.0,0.0,0.0,0.0,0.0
16676660000,1604.0,1604.0,1592.0,1593.0,0.0,0.0,0.0,0.0
16776620000,1604.0,1605.0,1592.0,1591.0,0.0,0.0,0.0,0.0
16877413000,1605.0,1604.0,1591.0,1592.0,0.0,0.0,0.0,0.0
16977373000,1604.0,1605.0,1592.0,1592.0,0.0,0.0,0.0,0.0
17077333000,1604.0,1604.0,1593.0,1592.0,0.0,0.0,0.0,0.0
17177293000,1597.0,1597.0,1587.0,1587.0,0.0,0.0,0.0,0.0
17277253000,1583.0,1583.0,1576.0,1576.0,0.0,0.0,0.0,0.0
17377213000,1573.0,1573.0,1568.0,1568.0,0.0,0.0,0.0,0.0
17477173000,1567.0,1568.0,1565.0,1565.0,0.0,0.0,0.0,0.0
17577133000,1563.0,1563.0,1563.0,1563.0,0.0,0.0,0.0,0.0
17677093000,1559.0,1559.0,1562.0,1562.0,0.0,0.0,0.0,0.0
17777053000,1556.0,1556.0,1562.0,1562.0,0.0,0.0,0.0,0.0
17877013000,1554.0,1554.0,1562.0,1561.0,0.0,0.0,0.0,0.0
17976973000,1553.0,1553.0,1561.0,1561.0,0.0,0.0,0.0,0.0
18076933000,1553.0,1552.0,1561.0,1561.0,0.0,0.0,0.0,0.0
18176893000,1552.0,1553.0,1561.0,1561.0,0.0,0.0,0.0,0.0
18276853000,1552.0,1553.0,1561.0,1561.0,0.0,0.0,0.0,0.0
18376813000,1553.0,1552.0,1560.0,1561.0,0.0,0.0,0.0,0.0
18476773000,1555.0,1554.0,1561.0,1561.0,0.0,0.0,0.0,0.0
18576733000,1564.0,1564.0,1569.0,1569.0,0.0,0.0,0.0,0.0
18676693000,1570.0,1570.0,1573.0,1573.0,0.0,0.0,0.0,0.0
18776653000,1576.0,1576.0,1578.0,1578.0,0.0,0.0,0.0,0.0
18876613000,1582.0,1582.0,1582.0,1582.0,0.0,0.0,0.0,0.0
18977406000,1586.0,1587.0,1585.0,1585.0,0.0,0.0,0.0,0.0
19077366000,1589.0,1590.0,1587.0,1587.0,0.0,0.0,0.0,0.0
19177326000,1592.0,1592.0,1588.0,1589.0,0.0,0.0,0.0,0.0
19277286000,1594.0,1593.0,1589.0,1589.0,0.0,0.0,0.0,0.0
19377246000,1594.0,1594.0,1590.0,1590.0,0.0,0.0,0.0,0.0
19477206000,1594.0,1594.0,1590.0,1590.0,0.0,0.0,0.0,0.0
19577166000,1594.0,1594.0,1590.0,1590.0,0.0,0.0,0.0,0.0
19677126000,1594.0,1593.0,1590.0,1590.0,0.0,0.0,0.0,0.0
19777086000,1593.0,1593.0,1590.0,1590.0,0.0,0.0,0.0,0.0
