received_time_ns,event_type,field_name,previous_value,current_value
1775658461249054126,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775658461249054126,vehicle_control_mode_events,flag_control_auto_enabled,True,False
1775658461586811791,vehicle_control_mode_events,flag_armed,False,True
1775658461586811791,vehicle_control_mode_events,flag_control_manual_enabled,True,False
1775658461586811791,vehicle_control_mode_events,flag_control_offboard_enabled,False,True
1775658472448582429,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775658472448582429,vehicle_control_mode_events,flag_control_offboard_enabled,True,False
1775658480490191715,vehicle_control_mode_events,flag_control_manual_enabled,True,False
1775658480490191715,vehicle_control_mode_events,flag_control_auto_enabled,False,True
1775658486186753282,vehicle_control_mode_events,flag_armed,True,False
1775658486186753282,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775658486186753282,vehicle_control_mode_events,flag_control_auto_enabled,True,False
