received_time_ns,timestamp,roll,pitch,yaw,thrust_body_x,thrust_body_y,thrust_body_z,reset_integral
1775885517922387968,4440000,-0.009371011517941952,0.0020233956165611744,-0.0002569058269727975,0.0,0.0,-0.0010000000474974513,False
1775885517926387968,4444000,-0.009465728886425495,0.001991489203646779,-0.0005148480995558202,0.0,0.0,-0.0010000000474974513,False
1775885517942387968,4460000,-0.009834513068199158,0.001844853046350181,-0.0005189115181565285,0.0,0.0,-0.0010000000474974513,False
1775885517962387968,4480000,-0.010255078785121441,0.0016641770489513874,-0.00021926431509200484,0.0,0.0,-0.0010000000474974513,False
1775885517982387968,4500000,-0.010759236291050911,0.0014548265608027577,-0.000391597393900156,0.0,0.0,-0.0010000000474974513,False
1775885518006387968,4524000,-0.011253532022237778,0.0012296100612729788,-0.00014045379066374153,0.0,0.0,-0.0010000000474974513,False
1775885518022387968,4540000,-0.011668208055198193,0.0010309439385309815,-0.00016203071572817862,0.0,0.0,-0.0010000000474974513,False
1775885518042387968,4560000,-0.012133819051086903,0.0008289089892059565,-0.0003076817956753075,0.0,0.0,-0.0010000000474974513,False
1775885518058387968,4576000,-0.01244544517248869,0.0006747804000042379,-0.00031218351796269417,0.0,0.0,-0.0010000000474974513,False
1775885518082387968,4600000,-0.01287543773651123,0.00045395619235932827,-0.0004701729631051421,0.0,0.0,-0.0010000000474974513,False
1775885518102387968,4620000,-0.012946764007210732,0.00012228483683429658,-0.00018861386342905462,0.0,0.0,-0.0010000000474974513,False
1775885518126387968,4644000,-0.01285469625145197,-0.0003069685189984739,-0.0003531857510097325,0.0,0.0,-0.0010000000474974513,False
1775885518142387968,4660000,-0.012760701589286327,-0.0006322250119410455,-0.00033853022614493966,0.0,0.0,-0.0010000000474974513,False
1775885518162387968,4680000,-0.012601426802575588,-0.0010563069954514503,-0.0002309826377313584,0.0,0.0,-0.0010000000474974513,False
1775885518182387968,4700000,-0.012430723756551743,-0.0014291685074567795,-0.00046038877917453647,0.0,0.0,-0.0010000000474974513,False
1775885518202387968,4720000,-0.012224500998854637,-0.001815918949432671,-0.00021636633027810603,0.0,0.0,-0.0010000000474974513,False
1775885518222387968,4740000,-0.011958793736994267,-0.0021688288543373346,-0.0004263528680894524,0.0,0.0,-0.0010000000474974513,False
1775885518242387968,4760000,-0.01163061149418354,-0.0024806135334074497,-0.0004011340788565576,0.0,0.0,-0.0010000000474974513,False
1775885518262387968,4780000,-0.011278255842626095,-0.0027820684481412172,-0.0007816223660483956,0.0,0.0,-0.0010000000474974513,False
1775885518282387968,4800000,-0.01092777494341135,-0.0030423973221331835,-0.000375142612028867,0.0,0.0,-0.0010000000474974513,False
1775885518302387968,4820000,-0.010593642480671406,-0.0032650644425302744,-0.0006906247581355274,0.0,0.0,-0.0010000000474974513,False
1775885518322387968,4840000,-0.01025110948830843,-0.003476776648312807,-0.0003309013554826379,0.0,0.0,-0.0010000000474974513,False
1775885518342387968,4860000,-0.0099700428545475,-0.0036337811034172773,-0.0003589903353713453,0.0,0.0,-0.0010000000474974513,False
1775885518362387968,4880000,-0.009575639851391315,-0.0035273823887109756,-0.0007008705288171768,0.0,0.0,-0.0010000000474974513,False
1775885518382387968,4900000,-0.00922867376357317,-0.0033189947716891766,-0.00037900672759860754,0.0,0.0,-0.0010000000474974513,False
1775885518402387968,4920000,-0.008892628364264965,-0.0031154786702245474,-0.0007123182294890285,0.0,0.0,-0.0010000000474974513,False
1775885518422387968,4940000,-0.008585427887737751,-0.0029095299541950226,-0.00032097514485940337,0.0,0.0,-0.0010000000474974513,False
1775885518442387968,4960000,-0.008295495063066483,-0.0026951010804623365,-0.000608273025136441,0.0,0.0,-0.0010000000474974513,False
1775885518462387968,4980000,-0.008028306998312473,-0.0024463911540806293,-0.0002400094672339037,0.0,0.0,-0.0010000000474974513,False
1775885518482387968,5000000,-0.00792935024946928,-0.002157457871362567,-0.0004489340935833752,0.0,0.0,-0.0010000000474974513,False
1775885518502387968,5020000,-0.008065450936555862,-0.0018499261932447553,-0.00020191105431877077,0.0,0.0,-0.0010000000474974513,False
1775885518522387968,5040000,-0.0082302400842309,-0.0015162060735747218,-0.00022348039783537388,0.0,0.0,-0.0010000000474974513,False
1775885518542387968,5060000,-0.008373969234526157,-0.0012558260932564735,-0.00018697492487262934,0.0,0.0,-0.0010000000474974513,False
