received_time_ns,event_type,field_name,previous_value,current_value
1775897080336435681,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775897080336435681,vehicle_control_mode_events,flag_control_auto_enabled,True,False
1775897081630691672,vehicle_control_mode_events,flag_armed,False,True
1775897081630691672,vehicle_control_mode_events,flag_control_manual_enabled,True,False
1775897081630691672,vehicle_control_mode_events,flag_control_offboard_enabled,False,True
1775897092952753680,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775897092952753680,vehicle_control_mode_events,flag_control_offboard_enabled,True,False
1775897101044866010,vehicle_control_mode_events,flag_control_manual_enabled,True,False
1775897101044866010,vehicle_control_mode_events,flag_control_auto_enabled,False,True
1775897107059013613,vehicle_control_mode_events,flag_armed,True,False
1775897107059013613,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775897107059013613,vehicle_control_mode_events,flag_control_auto_enabled,True,False
