scenario,accepted_count,attempt_count,ready,median_active_pair_rate,median_baseline_pair_rate,median_pair_specificity,median_pair_sign_consistency,median_pair_to_collective_ratio,pair_tier_range_specificity,dominant_direction,blocking_reasons
nominal,15,15,True,0.1875,0.01910828025477707,0.17544875506658947,1.0,0.7836206896551725,0.024310729577894985,12_gt_34,
throttle_biased,15,15,True,0.2,0.0189873417721519,0.1751552795031056,1.0,0.8650306748466259,0.024064171122994638,12_gt_34,
