flight_mode,scenario,amplitude_tier,config_key,config_name,run_id,study_name,config_profile,artifact_dir,analysis_status,baseline_pair_split_rate,active_pair_split_rate,pair_split_specificity,pair_split_sign_consistency,pair_split_direction,baseline_collective_floor_rate,active_collective_floor_rate,collective_floor_specificity,accepted,failsafe_during_experiment,completion_reason,rejection_reasons,anomaly_summary,status,exit_code,research_acceptance
GUIDED_NOGPS,nominal,micro,nominal-micro,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro.yaml,20260415_100123_ardupilot_attitude_pulse_train_throttle_r1,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100123_ardupilot_attitude_pulse_train_throttle_r1,ok,0.006369426751592357,0.18181818181818182,0.17544875506658947,1.0,12_gt_34,0.3821656050955414,0.6060606060606061,0.22389500096506465,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
GUIDED_NOGPS,nominal,micro,nominal-micro,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro.yaml,20260415_100157_ardupilot_attitude_pulse_train_throttle_r2,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100157_ardupilot_attitude_pulse_train_throttle_r2,ok,0.019230769230769232,0.20588235294117646,0.18665158371040724,1.0,12_gt_34,0.391025641025641,0.5882352941176471,0.19720965309200605,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
GUIDED_NOGPS,nominal,micro,nominal-micro,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro.yaml,20260415_100232_ardupilot_attitude_pulse_train_throttle_r3,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100232_ardupilot_attitude_pulse_train_throttle_r3,ok,0.01910828025477707,0.20588235294117646,0.1867740726863994,1.0,12_gt_34,0.3885350318471338,0.5882352941176471,0.1997002622705133,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
GUIDED_NOGPS,nominal,micro,nominal-micro,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro.yaml,20260415_100306_ardupilot_attitude_pulse_train_throttle_r4,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100306_ardupilot_attitude_pulse_train_throttle_r4,ok,0.012987012987012988,0.21212121212121213,0.19913419913419914,1.0,12_gt_34,0.3961038961038961,0.5757575757575758,0.17965367965367968,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
GUIDED_NOGPS,nominal,micro,nominal-micro,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro.yaml,20260415_100340_ardupilot_attitude_pulse_train_throttle_r5,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100340_ardupilot_attitude_pulse_train_throttle_r5,ok,0.012903225806451613,0.2,0.1870967741935484,1.0,12_gt_34,0.3870967741935484,0.6,0.2129032258064516,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
GUIDED_NOGPS,nominal,probe,nominal-probe,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe.yaml,20260415_100414_ardupilot_attitude_pulse_train_throttle_r1,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100414_ardupilot_attitude_pulse_train_throttle_r1,ok,0.025157232704402517,0.1875,0.1623427672955975,1.0,12_gt_34,0.3836477987421384,0.625,0.2413522012578616,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
GUIDED_NOGPS,nominal,probe,nominal-probe,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe.yaml,20260415_100448_ardupilot_attitude_pulse_train_throttle_r2,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100448_ardupilot_attitude_pulse_train_throttle_r2,ok,0.01910828025477707,0.21875,0.19964171974522293,1.0,12_gt_34,0.39490445859872614,0.59375,0.19884554140127386,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
GUIDED_NOGPS,nominal,probe,nominal-probe,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe.yaml,20260415_100522_ardupilot_attitude_pulse_train_throttle_r3,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100522_ardupilot_attitude_pulse_train_throttle_r3,ok,0.012738853503184714,0.21875,0.2060111464968153,1.0,12_gt_34,0.39490445859872614,0.59375,0.19884554140127386,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
GUIDED_NOGPS,nominal,probe,nominal-probe,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe.yaml,20260415_100557_ardupilot_attitude_pulse_train_throttle_r4,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100557_ardupilot_attitude_pulse_train_throttle_r4,ok,0.01935483870967742,0.18181818181818182,0.1624633431085044,1.0,12_gt_34,0.3870967741935484,0.6060606060606061,0.2189638318670577,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
GUIDED_NOGPS,nominal,probe,nominal-probe,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe.yaml,20260415_100631_ardupilot_attitude_pulse_train_throttle_r5,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100631_ardupilot_attitude_pulse_train_throttle_r5,ok,0.018867924528301886,0.1875,0.16863207547169812,1.0,12_gt_34,0.3836477987421384,0.625,0.2413522012578616,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
GUIDED_NOGPS,nominal,confirm,nominal-confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm.yaml,20260415_100705_ardupilot_attitude_pulse_train_throttle_r1,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100705_ardupilot_attitude_pulse_train_throttle_r1,ok,0.01935483870967742,0.18181818181818182,0.1624633431085044,1.0,12_gt_34,0.3870967741935484,0.6060606060606061,0.2189638318670577,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
