received_time_ns,timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
1775898132955384064,2872000,0.0,0.0,0.0,0.0
1775898132959384064,2876000,0.0,0.0,0.0,0.0
1775898133155384064,3072000,0.0,0.0,0.0,0.0
1775898133355384064,3272000,0.0,0.0,0.0,0.0
1775898133555384064,3472000,0.0,0.0,0.0,0.0
1775898133755384064,3672000,0.0,0.0,0.0,0.0
1775898133955384064,3872000,0.0,0.0,0.0,0.0
1775898134155384064,4072000,0.0,0.0,0.0,0.0
1775898134359384064,4276000,0.0,0.0,0.0,0.0
1775898134555384064,4472000,0.0,0.0,0.0,0.0
1775898134755384064,4672000,0.0,0.0,0.0,0.0
1775898134955384064,4872000,0.0,0.0,0.0,0.0
1775898135155384064,5072000,0.0,0.0,0.0,0.0
1775898135355384064,5272000,0.0,0.0,0.0,0.0
1775898135555384064,5472000,0.0,0.0,0.0,0.0
1775898135755384064,5672000,0.0,0.0,0.0,0.0
1775898135951384064,5868000,0.0,0.0,0.0,0.0
1775898136155384064,6072000,0.0,0.0,0.0,0.0
1775898136355384064,6272000,0.0,0.0,0.0,0.0
1775898136559384064,6476000,0.0,0.0,0.0,0.0
1775898136755384064,6672000,0.0,0.0,0.0,0.0
1775898136955384064,6872000,0.0,0.0,0.0,0.0
1775898137155384064,7072000,0.0,0.0,0.0,0.0
1775898137355384064,7272000,0.0,0.0,0.0,0.0
1775898137555384064,7472000,0.0,0.0,0.0,0.0
1775898137755384064,7672000,0.0,0.0,0.0,0.0
1775898137955384064,7872000,0.0,0.0,0.0,0.0
1775898138155384064,8072000,0.0,0.0,0.0,0.0
1775898138355384064,8272000,0.0,0.0,0.0,0.0
1775898138555384064,8472000,0.0,0.0,0.0,0.0
1775898138755384064,8672000,0.0,0.0,0.0,0.0
1775898138955384064,8872000,0.0,0.0,0.0,0.0
1775898139155384064,9072000,0.0,0.0,0.0,0.0
1775898139359384064,9276000,0.0,0.0,0.0,0.0
1775898139555384064,9472000,0.0,0.0,0.0,0.0
1775898139755384064,9672000,0.0,0.0,0.0,0.0
1775898139955384064,9872000,0.0,0.0,0.0,0.0
1775898140155384064,10072000,0.0,0.0,0.0,0.0
1775898140355384064,10272000,0.0,0.0,0.0,0.0
1775898140555384064,10472000,0.0,0.0,0.0,0.0
1775898140755384064,10672000,0.0,0.0,0.0,0.0
1775898140955384064,10872000,0.0,0.0,0.0,0.0
1775898141155384064,11072000,0.0,0.0,0.0,0.0
1775898141355384064,11272000,0.0,0.0,0.0,0.0
1775898141555384064,11472000,0.0,0.0,0.0,0.0
1775898141755384064,11672000,0.0,0.0,0.0,0.0
1775898141955384064,11872000,0.0,0.0,0.0,0.0
1775898142155384064,12072000,0.0,0.0,0.0,0.0
1775898142355384064,12272000,0.0,0.0,0.0,0.0
1775898142555384064,12472000,0.0,0.0,0.0,0.0
1775898142755384064,12672000,0.0,0.0,0.0,0.0
1775898142955384064,12872000,0.0,0.0,0.0,0.0
1775898143155384064,13072000,0.0,0.0,0.0,0.0
1775898143355384064,13272000,0.0,0.0,0.0,0.0
1775898143555384064,13472000,0.0,0.0,0.0,0.0
1775898143755384064,13672000,0.0,0.0,0.0,0.0
1775898143951384064,13868000,0.0,0.0,0.0,0.0
1775898144155384064,14072000,0.0,0.0,0.0,0.0
1775898144351384064,14268000,0.0,0.0,0.0,0.0
1775898144555384064,14472000,0.0,0.0,0.0,0.0
1775898144755384064,14672000,0.0,0.0,0.0,0.0
1775898144947384064,14864000,0.0,0.0,0.0,0.0
1775898145151384064,15068000,0.0,0.0,0.0,0.0
1775898145355384064,15272000,0.0,0.0,0.0,0.0
1775898145555384064,15472000,0.0,0.0,0.0,0.0
1775898145755384064,15672000,0.0,0.0,0.0,0.0
1775898145955384064,15872000,0.0,0.0,0.0,0.0
1775898146155384064,16072000,0.0,0.0,0.0,0.0
1775898146355384064,16272000,0.0,0.0,0.0,0.0
1775898146555384064,16472000,0.0,0.0,0.0,0.0
1775898146755384064,16672000,0.0,0.0,0.0,0.0
1775898146955384064,16872000,0.0,0.0,0.0,0.0
1775898147155384064,17072000,0.0,0.0,0.0,0.0
1775898147355384064,17272000,0.0,0.0,0.0,0.0
1775898147555384064,17472000,0.0,0.0,0.0,0.0
1775898147755384064,17672000,0.0,0.0,0.0,0.0
1775898147955384064,17872000,0.0,0.0,0.0,0.0
1775898148155384064,18072000,0.0,0.0,0.0,0.0
1775898148355384064,18272000,0.0,0.0,0.0,0.0
1775898148555384064,18472000,0.0,0.0,0.0,0.0
1775898148755384064,18672000,0.0,0.0,0.0,0.0
1775898148955384064,18872000,0.000816121872048825,-0.0011116840178146958,1.806321961339563e-05,0.0
1775898149155384064,19072000,0.001417000312358141,-0.0022706373129040003,4.0298353269463405e-05,0.0
1775898149355384064,19272000,0.0011072554625570774,-0.002864027628675103,6.558489985764027e-05,0.0
1775898149555384064,19472000,0.0005044002318754792,-0.0028941405471414328,7.634005305590108e-05,0.0
1775898149759384064,19676000,0.001052942592650652,-0.0028359575662761927,4.4184413127368316e-05,0.0
1775898149959384064,19876000,0.002624040236696601,-0.003308168612420559,-5.127570329932496e-05,0.0
1775898150155384064,20072000,0.0039015335496515036,-0.003457023296505213,-0.00018236575124319643,0.0
1775898150355384064,20272000,0.002493753097951412,-0.0024771469179540873,-0.0002869429881684482,0.0
1775898150555384064,20472000,0.002036457182839513,-0.0017967545427381992,-0.00026725666248239577,0.0
1775898150755384064,20672000,0.0015620539197698236,-0.0015684489626437426,-0.000176992776687257,0.0
1775898150955384064,20872000,0.001097927917726338,-0.001145259360782802,-0.00011095459922216833,0.0
1775898151155384064,21072000,0.0008297492167912424,-0.0007949494756758213,-9.462842717766762e-05,0.0
1775898151355384064,21272000,0.0009026880143210292,-0.0005981849390082061,-9.700538794277236e-05,0.0
1775898151555384064,21472000,0.0007672192878089845,-0.0004713628441095352,-7.497307524317876e-05,0.0
1775898151763384064,21680000,0.00037610536674037576,-0.00037217451608739793,-4.7195284423651174e-05,0.0
1775898151955384064,21872000,0.0003706066927406937,-0.0001445114758098498,-2.40376921283314e-05,0.0
1775898152155384064,22072000,0.0005965373129583895,-0.00021777261281386018,3.8539685192517936e-05,0.0
1775898152355384064,22272000,0.0005605749320238829,-0.00027806227444671094,9.159210458165035e-05,0.0
1775898152555384064,22472000,0.00033406089642085135,-0.0005931411287747324,0.00010049521370092407,0.0
1775898152755384064,22672000,6.66830746922642e-05,-0.000491369457449764,7.296887633856386e-05,0.0
1775898152955384064,22872000,2.616076380945742e-05,-0.00036756735062226653,2.2836460630060174e-05,0.0
1775898153163384064,23080000,0.00038954155752435327,-0.00027790700551122427,-2.7601345209404826e-05,0.0
1775898153355384064,23272000,0.00024502657470293343,-0.00021001255663577467,-4.264277231413871e-05,0.0
1775898153555384064,23472000,9.99065741780214e-05,-6.672961171716452e-05,-4.798586087417789e-05,0.0
1775898153755384064,23672000,-0.00012613620492629707,0.00024424714501947165,-5.9019574109697714e-05,0.0
1775898153955384064,23872000,-0.0003987317031715065,4.2235624277964234e-05,-7.218633982120082e-05,0.0
1775898154155384064,24072000,-0.00015247603005263954,-6.958717858651653e-05,-6.421709258574992e-05,0.0
1775898154355384064,24272000,2.486049743311014e-05,-0.00010752223897725344,-5.766334288637154e-05,0.0
1775898154555384064,24472000,-2.599923209345434e-05,-9.455883628106676e-06,-5.851221430930309e-05,0.0
