received_time_ns,x,y,z,vx,vy,vz
1775929912616195331,-3936620.3297610707,16604998.271425765,-0.573,0.0,0.0,-1.65
1775929912670073135,-3936620.3297610707,16604998.271425765,-0.752,0.0,0.0,-1.63
1775929912721937078,-3936620.3297610707,16604998.271425765,-0.752,0.0,0.0,-1.6
1775929912773949756,-3936620.3297610707,16604998.271425765,-0.922,0.0,0.0,-1.56
1775929912825791972,-3936620.3297610707,16604998.271425765,-0.922,0.0,0.0,-1.52
1775929912878186244,-3936620.3297610707,16604998.271425765,-1.081,0.0,0.0,-1.48
1775929912930007084,-3936620.3297610707,16604998.271425765,-1.081,0.0,0.0,-1.43
1775929912982037266,-3936620.3297610707,16604998.271425765,-1.229,0.0,0.0,-1.39
1775929913034754253,-3936620.3297610707,16604998.271425765,-1.229,0.0,0.0,-1.35
1775929913049005701,-3936620.3297610707,16604998.271425765,-1.361,0.0,0.0,-1.3
1775929913101334407,-3936620.3297610707,16604998.271425765,-1.361,0.0,0.0,-1.25
1775929913155220626,-3936620.3297610707,16604998.271425765,-1.501,0.0,0.0,-1.19
1775929913207478644,-3936620.3297610707,16604998.271425765,-1.501,0.0,0.0,-1.12
1775929913259314204,-3936620.3297610707,16604998.271425765,-1.611,0.0,0.0,-1.05
1775929913311536607,-3936620.3297610707,16604998.271425765,-1.611,0.0,0.0,-0.98
1775929913363268073,-3936620.3297610707,16604998.271425765,-1.723,0.0,0.0,-0.9
1775929913415155728,-3936620.3297610707,16604998.271425765,-1.723,0.0,0.0,-0.83
1775929913468164616,-3936620.3297610707,16604998.271425765,-1.806,0.0,0.0,-0.76
1775929913520548008,-3936620.3297610707,16604998.271425765,-1.806,0.0,0.0,-0.7
1775929913572900681,-3936620.3297610707,16604998.271425765,-1.863,0.0,0.0,-0.65
1775929913624752689,-3936620.3297610707,16604998.271425765,-1.863,0.0,0.0,-0.62
1775929913677290255,-3936620.3297610707,16604998.271425765,-1.929,0.0,0.0,-0.59
1775929913729233366,-3936620.3297610707,16604998.271425765,-1.929,0.0,0.0,-0.58
1775929913782272525,-3936620.3297610707,16604998.271425765,-1.984,0.0,0.0,-0.59
1775929913835230246,-3936620.3297610707,16604998.271425765,-1.984,0.0,0.0,-0.6
1775929913887253227,-3936620.3297610707,16604998.271425765,-2.031,0.0,0.0,-0.64
1775929913939089267,-3936620.3297610707,16604998.271425765,-2.031,0.0,0.0,-0.67
1775929913940291394,-3936620.3297610707,16604998.271425765,-2.099,0.0,0.0,-0.71
1775929913991948589,-3936620.3297610707,16604998.271425765,-2.099,0.0,0.0,-0.74
1775929914044388717,-3936620.3297610707,16604998.271425765,-2.162,0.0,0.0,-0.78
1775929914096208405,-3936620.3297610707,16604998.271425765,-2.162,0.0,0.0,-0.82
1775929914148626869,-3936620.3297610707,16604998.271425765,-2.234,0.0,0.0,-0.87
1775929914201206195,-3936620.3297610707,16604998.271425765,-2.234,0.0,0.0,-0.92
1775929914253261560,-3936620.3297610707,16604998.271425765,-2.322,0.0,0.0,-0.98
1775929914305384796,-3936620.3297610707,16604998.271425765,-2.322,0.0,0.0,-1.04
1775929914357243588,-3936620.3297610707,16604998.271425765,-2.412,0.0,0.0,-1.1
1775929914409489831,-3936620.3297610707,16604998.271425765,-2.412,0.0,0.0,-1.16
1775929914461346799,-3936620.3297610707,16604998.271425765,-2.519,0.0,0.0,-1.22
1775929914513326869,-3936620.3297610707,16604998.271425765,-2.519,0.0,0.0,-1.27
1775929914565278524,-3936620.3297610707,16604998.260293817,-2.646,0.0,0.0,-1.31
1775929914619162663,-3936620.3297610707,16604998.260293817,-2.646,0.0,0.0,-1.34
1775929914671374058,-3936620.3297610707,16604998.260293817,-2.775,0.0,0.0,-1.36
1775929914723614125,-3936620.3297610707,16604998.260293817,-2.775,0.0,0.0,-1.36
1775929914776142059,-3936620.3297610707,16604998.260293817,-2.909,0.0,0.0,-1.35
1775929914828018387,-3936620.3297610707,16604998.260293817,-2.909,0.0,0.0,-1.33
1775929914880778574,-3936620.3297610707,16604998.260293817,-3.035,0.0,0.0,-1.3
1775929914933023505,-3936620.3297610707,16604998.260293817,-3.035,0.0,-0.01,-1.26
1775929914985177941,-3936620.3297610707,16604998.260293817,-3.17,0.0,-0.01,-1.23
1775929915037712307,-3936620.3297610707,16604998.260293817,-3.17,0.0,-0.01,-1.19
1775929915089652346,-3936620.3297610707,16604998.260293817,-3.288,0.0,-0.01,-1.16
1775929915091067718,-3936620.3297610707,16604998.260293817,-3.288,0.0,-0.02,-1.14
1775929915142704817,-3936620.3297610707,16604998.260293817,-3.403,0.0,-0.02,-1.11
1775929915194595449,-3936620.3297610707,16604998.260293817,-3.403,0.0,-0.02,-1.09
1775929915247030457,-3936620.3297610707,16604998.260293817,-3.51,0.0,-0.03,-1.07
1775929915299351738,-3936620.3297610707,16604998.260293817,-3.51,0.0,-0.03,-1.05
1775929915352239284,-3936620.3297610707,16604998.260293817,-3.615,0.0,-0.04,-1.03
1775929915404781810,-3936620.3297610707,16604998.260293817,-3.615,0.0,-0.04,-1.02
1775929915457370064,-3936620.3297610707,16604998.260293817,-3.708,0.0,-0.05,-1.0
1775929915509474101,-3936620.3297610707,16604998.260293817,-3.708,0.0,-0.06,-0.99
1775929915561550746,-3936620.3297610707,16604998.260293817,-3.804,0.01,-0.06,-0.98
1775929915614728751,-3936620.3297610707,16604998.260293817,-3.804,0.01,-0.07,-0.97
1775929915667220270,-3936620.3297610707,16604998.260293817,-3.895,0.01,-0.08,-0.97
1775929915719523696,-3936620.318629121,16604998.260293817,-3.895,0.01,-0.09,-0.96
1775929915773163007,-3936620.318629121,16604998.260293817,-3.996,0.01,-0.09,-0.96
1775929915825199237,-3936620.318629121,16604998.260293817,-3.996,0.02,-0.1,-0.95
1775929915877740579,-3936620.318629121,16604998.260293817,-4.078,0.02,-0.11,-0.95
1775929915929756841,-3936620.318629121,16604998.260293817,-4.078,0.02,-0.12,-0.95
1775929915982429030,-3936620.318629121,16604998.260293817,-4.172,0.02,-0.13,-0.95
1775929916036003254,-3936620.318629121,16604998.260293817,-4.172,0.03,-0.14,-0.95
1775929916088531476,-3936620.318629121,16604998.260293817,-4.257,0.03,-0.14,-0.95
1775929916090937715,-3936620.318629121,16604998.260293817,-4.257,0.03,-0.15,-0.95
1775929916143557744,-3936620.318629121,16604998.260293817,-4.353,0.03,-0.16,-0.95
1775929916195384697,-3936620.318629121,16604998.260293817,-4.353,0.04,-0.17,-0.96
1775929916250023482,-3936620.318629121,16604998.260293817,-4.446,0.04,-0.18,-0.96
1775929916301922433,-3936620.318629121,16604998.260293817,-4.446,0.04,-0.19,-0.96
1775929916353882056,-3936620.318629121,16604998.260293817,-4.529,0.04,-0.2,-0.96
1775929916415324554,-3936620.318629121,16604998.260293817,-4.529,0.05,-0.21,-0.97
1775929916467256017,-3936620.318629121,16604998.260293817,-4.625,0.05,-0.22,-0.97
1775929916519140345,-3936620.318629121,16604998.260293817,-4.625,0.05,-0.23,-0.97
1775929916571337660,-3936620.318629121,16604998.260293817,-4.721,0.05,-0.23,-0.97
1775929916625627458,-3936620.318629121,16604998.260293817,-4.721,0.05,-0.24,-0.97
1775929916677455115,-3936620.318629121,16604998.260293817,-4.817,0.05,-0.25,-0.98
1775929916729381970,-3936620.318629121,16604998.260293817,-4.817,0.05,-0.26,-0.98
1775929916781533526,-3936620.318629121,16604998.260293817,-4.899,0.05,-0.26,-0.98
