received_time_ns,th_limit,lift_max
4377415000,1.0,0.9728989601135254
4477375000,1.0,0.9728853106498718
4577335000,1.0,0.97287517786026
4677295000,1.0,0.9728674292564392
4777255000,1.0,0.9728627800941467
4877215000,1.0,0.9728589057922363
4977175000,1.0,0.9728549718856812
5077135000,1.0,0.9728535413742065
5177095000,1.0,0.9728535413742065
5277055000,1.0,0.9728535413742065
5377015000,1.0,0.9728535413742065
5476975000,1.0,0.9728535413742065
5576935000,1.0,0.9728535413742065
5676895000,1.0,0.9728535413742065
5776855000,1.0,0.9728535413742065
5876815000,1.0,0.9728535413742065
5976775000,1.0,0.9728535413742065
6076735000,1.0,0.9728535413742065
6176695000,1.0,0.9728535413742065
6276655000,1.0,0.9728535413742065
6376615000,1.0,0.9728535413742065
6477408000,1.0,0.972853422164917
6577368000,1.0,0.972853422164917
6677328000,1.0,0.972853422164917
6777288000,1.0,0.972853422164917
6877248000,1.0,0.972853422164917
6977208000,1.0,0.972853422164917
7077168000,1.0,0.972853422164917
7177128000,1.0,0.972853422164917
7277088000,1.0,0.972853422164917
7377048000,1.0,0.972853422164917
7477008000,1.0,0.972853422164917
7576968000,1.0,0.972853422164917
7676928000,1.0,0.972853422164917
7776888000,1.0,0.972853422164917
7876848000,1.0,0.972853422164917
7976808000,1.0,0.972853422164917
8076768000,1.0,0.972853422164917
8176728000,1.0,0.972853422164917
8276688000,1.0,0.972853422164917
8376648000,1.0,0.972853422164917
8476608000,1.0,0.972853422164917
8577401000,1.0,0.9728533625602722
8677361000,1.0,0.9728533625602722
8777321000,1.0,0.9728533625602722
8877281000,1.0,0.9728533625602722
8977241000,1.0,0.9728533625602722
9077201000,1.0,0.9728533625602722
9177161000,1.0,0.9728533625602722
9277121000,1.0,0.9728533625602722
9377081000,1.0,0.9728533625602722
9477041000,1.0,0.9728533625602722
9577001000,1.0,0.9728533625602722
9676961000,1.0,0.9728533625602722
9776921000,1.0,0.9728533625602722
9876881000,1.0,0.9728533625602722
9976841000,1.0,0.9728533625602722
10076801000,1.0,0.9728533625602722
10176761000,1.0,0.9728533625602722
10276721000,1.0,0.9728533625602722
10376681000,1.0,0.9728533625602722
10476641000,1.0,0.9739539623260498
10576601000,1.0,0.9757272005081177
10677394000,1.0,0.9772996306419373
10777354000,1.0,0.9786039590835571
10877314000,1.0,0.9795793890953064
10977274000,1.0,0.9802435040473938
11077234000,1.0,0.9806649684906006
11177194000,1.0,0.9813160300254822
11277154000,1.0,0.9820863604545593
11377114000,1.0,0.9826685190200806
11477074000,1.0,0.9831124544143677
11577034000,1.0,0.9834461808204651
11676994000,1.0,0.983699381351471
11776954000,1.0,0.9839119911193848
11876914000,1.0,0.9840674996376038
11976874000,1.0,0.9841814637184143
12076834000,1.0,0.9843013286590576
12176794000,1.0,0.9843981862068176
12276754000,1.0,0.9844506978988647
12376714000,1.0,0.9844890236854553
12476674000,1.0,0.984516978263855
12576634000,1.0,0.9845468401908875
12676594000,1.0,0.9845776557922363
12777387000,1.0,0.984600305557251
12877347000,1.0,0.9846081137657166
12977307000,1.0,0.9846222996711731
13077267000,1.0,0.9846222996711731
13177227000,1.0,0.9846222996711731
13277187000,1.0,0.9846222996711731
13377147000,1.0,0.9846222996711731
13477107000,1.0,0.9846222996711731
13577067000,1.0,0.9846222996711731
13677027000,1.0,0.9846222996711731
13776987000,1.0,0.9846328496932983
13876947000,1.0,0.9846498370170593
13976907000,1.0,0.9846621155738831
14076867000,1.0,0.9846543073654175
14176827000,1.0,0.9846504330635071
14276787000,1.0,0.9846485257148743
14376747000,1.0,0.9846485257148743
14476707000,1.0,0.9846485257148743
14576667000,1.0,0.9846397638320923
14676627000,1.0,0.9846436977386475
14777420000,1.0,0.9846466779708862
14877380000,1.0,0.9846481680870056
14977340000,1.0,0.9846495389938354
15077300000,1.0,0.9846604466438293
15177260000,1.0,0.9846604466438293
15277220000,1.0,0.9846604466438293
15377180000,1.0,0.9846604466438293
15477140000,1.0,0.9846682548522949
15577100000,1.0,0.984674334526062
15677060000,1.0,0.9846782088279724
15777020000,1.0,0.9846727848052979
15876980000,1.0,0.9846688508987427
15976940000,1.0,0.9846649765968323
16076900000,1.0,0.9846610426902771
16176860000,1.0,0.9846605658531189
16276820000,1.0,0.9846601486206055
16376780000,1.0,0.9846599698066711
16476740000,1.0,0.9846482872962952
16576700000,1.0,0.9846396446228027
16676660000,1.0,0.9846318364143372
16776620000,1.0,0.9846272468566895
16877413000,1.0,0.984623372554779
16977373000,1.0,0.9846194386482239
17077333000,1.0,0.9846155643463135
17177293000,1.0,0.9846141934394836
17277253000,1.0,0.9845636487007141
17377213000,1.0,0.9843879342079163
17477173000,1.0,0.9841350317001343
17577133000,1.0,0.9838991165161133
17677093000,1.0,0.9836763739585876
17777053000,1.0,0.9834734797477722
17877013000,1.0,0.9832951426506042
17976973000,1.0,0.9831457138061523
18076933000,1.0,0.9830280542373657
18176893000,1.0,0.9829329252243042
18276853000,1.0,0.9828633666038513
18376813000,1.0,0.9828125834465027
18476773000,1.0,0.9827753901481628
18576733000,1.0,0.98274827003479
18676693000,1.0,0.9828076958656311
18776653000,1.0,0.9829129576683044
18876613000,1.0,0.9830429553985596
18977406000,1.0,0.9831920266151428
19077366000,1.0,0.9833352565765381
19177326000,1.0,0.9834665656089783
19277286000,1.0,0.9835800528526306
19377246000,1.0,0.9836807250976562
19477206000,1.0,0.9837632775306702
19577166000,1.0,0.9838237166404724
19677126000,1.0,0.983867883682251
19777086000,1.0,0.9838912487030029
19877046000,1.0,0.9839084148406982
19977006000,1.0,0.9839122891426086
20076966000,1.0,0.9839161038398743
20176926000,1.0,0.9839082956314087
20276886000,1.0,0.9839043021202087
20376846000,1.0,0.9838916063308716
20476806000,1.0,0.9838825464248657
20576766000,1.0,0.9838667511940002
20676726000,1.0,0.9838550090789795
20776686000,1.0,0.9838472008705139
20876646000,1.0,0.9838409423828125
20976606000,1.0,0.9838370680809021
21077399000,1.0,0.9838331341743469
21177359000,1.0,0.9838300347328186
21277319000,1.0,0.9838300347328186
