feature,future_state_roll,future_state_pitch,future_state_yaw,future_state_roll_rate,future_state_pitch_rate,future_state_yaw_rate,future_state_position_x,future_state_position_y,future_state_position_z,future_state_velocity_x,future_state_velocity_y,future_state_velocity_z,future_state_altitude,future_state_vertical_speed,future_state_heading
command_roll,0.0,0.0,0.0,0.0,0.0,0.0,-80973.12545465407,341550.6698937304,-0.003933219016074151,0.044343660020023136,0.19899166883303077,0.20857828395656947,0.003933219016074151,-0.20857828395656947,0.0
command_pitch,0.0,0.0,0.0,0.0,0.0,0.0,-107777.50870032684,454615.026475503,0.007687473399758157,-0.222783144644086,-0.012304920064909323,-0.030757436802615258,-0.007687473399758157,0.030757436802615258,0.0
command_yaw,0.0,0.0,0.0,0.0,0.0,0.0,-407472.6098922412,1718755.9213178703,-0.0049550862660021205,-0.07111715770903902,0.17134481110511823,-0.17134310144203801,0.0049550862660021205,0.17134310144203801,0.0
command_throttle,0.0,0.0,0.0,0.0,0.0,0.0,1403242.352128341,-5918995.376489,-0.005675568999808367,-0.04368650807057951,-0.2454498364713375,0.3802774080966574,0.005675568999808367,-0.3802774080966574,0.0
roll,0.9904295097037967,0.0,0.0,0.008102394831485863,0.0030720899063102353,-0.0006737211157807849,3437358.5333198593,-14499068.571693148,-0.000773945643682694,-0.2226143221266483,-0.015858332203381655,0.11348656809937918,0.000773945643682694,-0.11348656809937918,0.0
pitch,0.0,0.497569243110632,0.0,0.0,0.0,0.0,-2416683.4344642963,10193781.016132254,-0.007555174668323605,-0.019877465664183542,0.5719549995155591,-0.49283067677478654,0.007555174668323605,0.49283067677478654,0.0
yaw,0.0,0.0,0.4862613495195631,-0.9791937177697128,0.603941411799796,-0.4963981356402451,1987488.5590268995,-8383394.393087972,-7.123270796900318,0.07013621074097337,-0.3047581903318485,-1.385730334771707,7.123270796900318,1.385730334771707,0.4862613495195631
roll_rate,0.04461238686260657,0.0,0.0,0.5847339696828809,0.07717462149615117,-0.0017554175541757086,8186825.80398004,-34532767.90630383,0.0014803585174549864,0.008594537754574005,-0.04989494435955526,0.04076388210692887,-0.0014803585174549864,-0.04076388210692887,0.0
pitch_rate,0.05139406785317154,0.0,0.0,0.0569500195109332,0.563449016051272,0.0,9375110.857583046,-39545071.114268415,-0.00032349530502218024,-0.006030328604399739,-0.003524821284017422,0.006045904174993046,0.00032349530502218024,-0.006045904174993046,0.0
yaw_rate,-0.010714773843370877,0.0,0.0,0.0,0.0,0.4997683567854757,27041515.943104673,-114064036.58259802,3.1104704239986496e-05,0.03226308814202987,-0.0014948371432585384,-0.020597562958959325,-3.1104704239986496e-05,0.020597562958959325,0.0
position_x,0.0,0.0,0.0,0.0,0.0,0.0,0.9082571526186753,-3.8311056675620705,-2.9142407609899647e-10,-2.3788079832981383e-10,8.67712925048431e-10,7.173255259629838e-09,2.9142407609899647e-10,-7.173255259629838e-09,0.0
position_y,0.0,0.0,0.0,0.0,0.0,0.0,-1.680780164853745e-12,-3.6005497429591435e-10,0.0,0.0,0.0,-1.3305507207291978e-22,0.0,1.3305507207291978e-22,0.0
position_z,0.0,0.0,0.0,0.0,0.0,0.0,154.0358348530788,-649.8005808403111,0.5034636968785066,-0.00661300108003861,0.016779863903329213,0.042443723366367474,-0.5034636968785066,-0.042443723366367474,0.0
velocity_x,0.0,0.0,0.0,0.0,0.0,0.0,550.3377610745033,-2321.5683980412905,0.0001691488625871248,0.5211392844799714,-0.05627597619633592,0.04270486507366927,-0.0001691488625871248,-0.04270486507366927,0.0
velocity_y,0.0,0.0,0.0,0.0,0.0,0.0,-453177.70654424245,1911541.3012986018,0.00043324265571034477,0.025940043664138192,0.6087480742078097,0.030155040060363215,-0.00043324265571034477,-0.030155040060363215,0.0
velocity_z,0.0,0.0,0.0,0.0,0.0,0.0,2220078.254827882,-9364478.233728386,0.040462504027753546,0.013693684137500124,-0.05036564412361223,0.8086331887393328,-0.040462504027753546,-0.8086331887393328,0.0
altitude,0.0,0.0,0.0,0.0,0.0,0.0,810.2377726585985,-3417.684271694392,0.0037588577982347587,-0.005007581468494929,0.01596632592168375,0.046618210758366724,-0.0037588577982347587,-0.046618210758366724,0.0
vertical_speed,0.0,0.0,0.0,0.0,0.0,0.0,-2538.320213388466,10706.952115673857,-0.01181765357244952,0.006398775427915022,-0.040718882871803794,-0.14598618377931336,0.01181765357244952,0.14598618377931336,0.0
heading,0.0,0.0,0.012752400520649017,0.9778627882044587,-0.6026453204999314,0.495004150535168,-444135.3948274938,1873397.0476961704,7.11110451693942,-0.07799323692370955,-0.016039341092741216,1.6812956148713285,-7.11110451693942,-1.6812956148713285,0.012752400520649017
