received_time_ns,event_type,field_name,previous_value,current_value
1775555966163754683,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775555966163754683,vehicle_control_mode_events,flag_control_auto_enabled,True,False
1775555966516974623,vehicle_control_mode_events,flag_armed,False,True
1775555966516974623,vehicle_control_mode_events,flag_control_manual_enabled,True,False
1775555966516974623,vehicle_control_mode_events,flag_control_offboard_enabled,False,True
1775555975573994117,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775555975573994117,vehicle_control_mode_events,flag_control_offboard_enabled,True,False
1775555983678447285,vehicle_control_mode_events,flag_control_manual_enabled,True,False
1775555983678447285,vehicle_control_mode_events,flag_control_auto_enabled,False,True
1775555989887234505,vehicle_control_mode_events,flag_armed,True,False
1775555989887234505,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775555989887234505,vehicle_control_mode_events,flag_control_auto_enabled,True,False
