received_time_ns,timestamp,timestamp_sample,x,y,z,vx,vy,vz,heading,dist_bottom,dist_bottom_valid,xy_valid,z_valid,v_xy_valid,v_z_valid
1775640417318718487,1775640417137890,1775640417125890,0.12265124917030334,-0.17215357720851898,-0.6877332925796509,-0.0016670443583279848,0.004754410590976477,0.008057032711803913,1.568204641342163,0.10614508390426636,True,True,True,True,True
1775640417332411875,1775640417153890,1775640417141890,0.12163327634334564,-0.1722017377614975,-0.6875064969062805,-0.002065817592665553,0.005092180334031582,0.008310820907354355,1.5682179927825928,0.1060640811920166,True,True,True,True,True
1775640417340219493,1775640417161890,1775640417149890,0.12113835662603378,-0.1722222864627838,-0.6873918175697327,-0.002279762178659439,0.005261067766696215,0.008407500572502613,1.5682241916656494,0.10602343082427979,True,True,True,True,True
1775640417352343915,1775640417169890,1775640417157890,0.12067063897848129,-0.17225588858127594,-0.6872630715370178,-0.00245267734862864,0.0054244971834123135,0.008522766642272472,1.568231463432312,0.10638397932052612,True,True,True,True,True
1775640417359642496,1775640417177890,1775640417165890,0.12039277702569962,-0.17178791761398315,-0.6868935823440552,-0.0025200259406119585,0.005840366240590811,0.008855351246893406,1.5682430267333984,0.11357277631759644,True,True,True,True,True
1775640417374683611,1775640417193890,1775640417181890,0.11985116451978683,-0.17087556421756744,-0.6861633062362671,-0.002646725159138441,0.006636535748839378,0.009496049024164677,1.5682893991470337,0.11310452222824097,True,True,True,True,True
1775640417380712767,1775640417201890,1775640417189890,0.11958713829517365,-0.17043069005012512,-0.6858022809028625,-0.002707267412915826,0.007024005986750126,0.009800121188163757,1.5683106184005737,0.11287558078765869,True,True,True,True,True
1775640417392818948,1775640417209890,1775640417197890,0.1193276196718216,-0.16999295353889465,-0.6854438185691833,-0.0027555262204259634,0.007411763537675142,0.01011479552835226,1.568331003189087,0.11264991760253906,True,True,True,True,True
1775640417400005566,1775640417217890,1775640417205890,0.11907254904508591,-0.16956208646297455,-0.6850769519805908,-0.0028096598107367754,0.007782433182001114,0.010419338941574097,1.5683523416519165,0.11275488138198853,True,True,True,True,True
1775640417414444878,1775640417233890,1775640417221890,0.11857544630765915,-0.16871975362300873,-0.6843510866165161,-0.0029004623647779226,0.008554917760193348,0.011015121825039387,1.5683953762054443,0.11229997873306274,True,True,True,True,True
1775640417421346802,1775640417241890,1775640417229890,0.11831475794315338,-0.16829726099967957,-0.6839920282363892,-0.0029911287128925323,0.00896865501999855,0.011292973533272743,1.5684157609939575,0.11207783222198486,True,True,True,True,True
1775640417434751209,1775640417249890,1775640417237890,0.11805825680494308,-0.16788193583488464,-0.683635413646698,-0.0030832593329250813,0.00936131551861763,0.011577787809073925,1.5684298276901245,0.11185890436172485,True,True,True,True,True
1775640417442920542,1775640417261890,1775640417249890,0.11780600249767303,-0.16747215390205383,-0.6832811832427979,-0.003138648346066475,0.009741092100739479,0.011846395209431648,1.568444013595581,0.11164331436157227,True,True,True,True,True
1775640417466371910,1775640417269890,1775640417257890,0.11755800992250443,-0.16706767678260803,-0.682929277420044,-0.003212195122614503,0.010133063420653343,0.012123050168156624,1.5684581995010376,0.11143100261688232,True,True,True,True,True
1775640417474569658,1775640417277890,1775640417265890,0.11731413751840591,-0.16666819155216217,-0.6825689077377319,-0.0032742524053901434,0.010515404865145683,0.012391457334160805,1.5684716701507568,0.11154329776763916,True,True,True,True,True
1775640417491765286,1775640417293890,1775640417281890,0.11683857440948486,-0.16588351130485535,-0.6818549633026123,-0.0034118678886443377,0.011275364086031914,0.012933758087456226,1.568497896194458,0.1111137866973877,True,True,True,True,True
1775640417504666575,1775640417301890,1775640417289890,0.11730630695819855,-0.16547082364559174,-0.681107759475708,-0.003264698665589094,0.011572100222110748,0.013250240124762058,1.5685089826583862,0.12277030944824219,True,True,True,True,True
1775640417513869951,1775640417309890,1775640417297890,0.11776112765073776,-0.16506439447402954,-0.6803731918334961,-0.0031224696431308985,0.01185406930744648,0.013543126173317432,1.568512201309204,0.12219524383544922,True,True,True,True,True
