received_time_ns,timestamp,timestamp_sample,x,y,z,vx,vy,vz,heading,dist_bottom,dist_bottom_valid,xy_valid,z_valid,v_xy_valid,v_z_valid
1775658611184460037,1775658611025528,1775658611021528,0.055220067501068115,-0.005406422074884176,-0.1644068956375122,0.016490008682012558,-0.02742486260831356,0.040084607899188995,1.563225507736206,0.08924757689237595,True,True,True,True,True
1775658611191607394,1775658611033528,1775658611029528,0.05454578995704651,-0.004916022997349501,-0.1640099734067917,0.016212865710258484,-0.026929765939712524,0.04017410799860954,1.5632050037384033,0.09904252737760544,True,True,True,True,True
1775658611209256281,1775658611041528,1775658611037528,0.05385510250926018,-0.004459408111870289,-0.16361363232135773,0.01587151736021042,-0.02650756947696209,0.04027922824025154,1.5631831884384155,0.09898639470338821,True,True,True,True,True
1775658611215643670,1775658611049528,1775658611045528,0.05318249762058258,-0.0040148040279746056,-0.1632177084684372,0.015544707886874676,-0.026078583672642708,0.04037992283701897,1.5631917715072632,0.09893395751714706,True,True,True,True,True
1775658611225358162,1775658611065528,1775658611061528,0.05188974738121033,-0.0031602573581039906,-0.1624627709388733,0.014916406944394112,-0.02527901530265808,0.040598563849925995,1.5632123947143555,0.09830228239297867,True,True,True,True,True
1775658611233657518,1775658611073528,1775658611069528,0.05126877501606941,-0.002749933861196041,-0.16208507120609283,0.01463137287646532,-0.024882888421416283,0.04069634899497032,1.5632243156433105,0.09826815873384476,True,True,True,True,True
1775658611249852870,1775658611081528,1775658611077528,0.05066434293985367,-0.0023504046257585287,-0.16170716285705566,0.014349044300615788,-0.024491867050528526,0.040799710899591446,1.5632379055023193,0.09823430329561234,True,True,True,True,True
1775658611257035042,1775658611089528,1775658611085528,0.050078026950359344,-0.001961326226592064,-0.16132910549640656,0.014088490977883339,-0.024108869954943657,0.04088245704770088,1.5632520914077759,0.09820093959569931,True,True,True,True,True
1775658611267132990,1775658611105528,1775658611101528,0.04895211383700371,-0.001213961048051715,-0.16057264804840088,0.013564092107117176,-0.023388221859931946,0.04102111607789993,1.5632811784744263,0.09813416749238968,True,True,True,True,True
1775658611273443898,1775658611113528,1775658611109528,0.04842453822493553,-0.0008578351698815823,-0.16021312773227692,0.013342955149710178,-0.023056669160723686,0.04107937961816788,1.5632985830307007,0.09753770381212234,True,True,True,True,True
1775658611290354898,1775658611121528,1775658611117528,0.04791159927845001,-0.0005114354426041245,-0.159852996468544,0.013134648092091084,-0.022733598947525024,0.04114549979567528,1.5633145570755005,0.09752235561609268,True,True,True,True,True
1775658611297827151,1775658611129528,1775658611125528,0.047412946820259094,-0.00017449032748118043,-0.15949223935604095,0.01292656734585762,-0.022408578544855118,0.04121460020542145,1.563332200050354,0.09750678390264511,True,True,True,True,True
1775658611309394089,1775658611145528,1775658611141528,0.04645710811018944,0.00047191561316139996,-0.15876883268356323,0.012535539455711842,-0.02179919183254242,0.041330307722091675,1.5633655786514282,0.09747489541769028,True,True,True,True,True
1775658611315097351,1775658611153528,1775658611149528,0.045999202877283096,0.0007818361045792699,-0.15840628743171692,0.012350918725132942,-0.021500395610928535,0.04138157144188881,1.5633834600448608,0.09745877236127853,True,True,True,True,True
1775658611330949439,1775658611161528,1775658611157528,0.045934539288282394,0.0008968188194558024,-0.1585853397846222,0.012358499690890312,-0.021435383707284927,0.04126978665590286,1.5634022951126099,0.08109284192323685,True,True,True,True,True
1775658611336023324,1775658611169528,1775658611165528,0.04587412253022194,0.0010051475837826729,-0.15875081717967987,0.012331808917224407,-0.021375121548771858,0.041168443858623505,1.5634262561798096,0.08156224340200424,True,True,True,True,True
