scenario,amplitude_tier,config_key,config_name,run_id,study_name,config_profile,artifact_dir,analysis_status,baseline_command_throttle,baseline_actuator_1,baseline_actuator_2,baseline_actuator_3,baseline_actuator_4,baseline_sample_count,active_sample_count,aligned_sample_count,pulse_count_seen,mean_delta_actuator_pos,mean_delta_actuator_neg,slope_median,slope_abs_median,baseline_noise_mad,snr,accepted,failsafe_during_experiment,completion_reason,rejection_reasons,anomaly_summary,status,exit_code,research_acceptance
nominal,small,nominal-small,ardupilot_a2_stabilize_readiness_nominal_small.yaml,20260415_071105_ardupilot_manual_alternating_pulse_train_throttle_r1,ardupilot_a2_stabilize_readiness_nominal_small,ardupilot_a2_stabilize_readiness_nominal_small,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_071105_ardupilot_manual_alternating_pulse_train_throttle_r1,ok,0.65,0.1,0.1,0.1,0.1,155,33,188,5,-0.1,-0.1,0.0,3.7037037037037006,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,small,nominal-small,ardupilot_a2_stabilize_readiness_nominal_small.yaml,20260415_071141_ardupilot_manual_alternating_pulse_train_throttle_r2,ardupilot_a2_stabilize_readiness_nominal_small,ardupilot_a2_stabilize_readiness_nominal_small,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_071141_ardupilot_manual_alternating_pulse_train_throttle_r2,ok,0.65,0.1,0.1,0.1,0.1,156,34,190,5,-0.1,-0.099,0.0,3.7037037037037006,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,small,nominal-small,ardupilot_a2_stabilize_readiness_nominal_small.yaml,20260415_071215_ardupilot_manual_alternating_pulse_train_throttle_r3,ardupilot_a2_stabilize_readiness_nominal_small,ardupilot_a2_stabilize_readiness_nominal_small,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_071215_ardupilot_manual_alternating_pulse_train_throttle_r3,ok,0.65,0.1,0.1,0.1,0.1,156,33,189,5,-0.1,-0.1,0.0,3.7037037037037006,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,small,nominal-small,ardupilot_a2_stabilize_readiness_nominal_small.yaml,20260415_071249_ardupilot_manual_alternating_pulse_train_throttle_r4,ardupilot_a2_stabilize_readiness_nominal_small,ardupilot_a2_stabilize_readiness_nominal_small,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_071249_ardupilot_manual_alternating_pulse_train_throttle_r4,ok,0.65,0.1,0.1,0.1,0.1,159,31,190,5,-0.1,-0.099,0.0,3.7037037037037006,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,small,nominal-small,ardupilot_a2_stabilize_readiness_nominal_small.yaml,20260415_071323_ardupilot_manual_alternating_pulse_train_throttle_r5,ardupilot_a2_stabilize_readiness_nominal_small,ardupilot_a2_stabilize_readiness_nominal_small,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_071323_ardupilot_manual_alternating_pulse_train_throttle_r5,ok,0.65,0.1,0.1,0.1,0.1,160,31,191,5,-0.1,-0.099,0.0,3.7037037037037006,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,medium,nominal-medium,ardupilot_a2_stabilize_readiness_nominal_medium.yaml,20260415_071357_ardupilot_manual_alternating_pulse_train_throttle_r1,ardupilot_a2_stabilize_readiness_nominal_medium,ardupilot_a2_stabilize_readiness_nominal_medium,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_071357_ardupilot_manual_alternating_pulse_train_throttle_r1,ok,0.65,0.1,0.1,0.1,0.1,158,33,191,5,-0.1,-0.099,0.0,1.8518518518518503,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,medium,nominal-medium,ardupilot_a2_stabilize_readiness_nominal_medium.yaml,20260415_071432_ardupilot_manual_alternating_pulse_train_throttle_r2,ardupilot_a2_stabilize_readiness_nominal_medium,ardupilot_a2_stabilize_readiness_nominal_medium,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_071432_ardupilot_manual_alternating_pulse_train_throttle_r2,ok,0.65,0.1,0.1,0.1,0.1,156,34,190,5,-0.1,-0.0995,0.0,1.8518518518518503,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,medium,nominal-medium,ardupilot_a2_stabilize_readiness_nominal_medium.yaml,20260415_071506_ardupilot_manual_alternating_pulse_train_throttle_r3,ardupilot_a2_stabilize_readiness_nominal_medium,ardupilot_a2_stabilize_readiness_nominal_medium,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_071506_ardupilot_manual_alternating_pulse_train_throttle_r3,ok,0.65,0.1,0.1,0.1,0.1,156,33,189,5,-0.1,-0.0995,0.0,1.8518518518518503,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,medium,nominal-medium,ardupilot_a2_stabilize_readiness_nominal_medium.yaml,20260415_071540_ardupilot_manual_alternating_pulse_train_throttle_r4,ardupilot_a2_stabilize_readiness_nominal_medium,ardupilot_a2_stabilize_readiness_nominal_medium,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_071540_ardupilot_manual_alternating_pulse_train_throttle_r4,ok,0.65,0.1,0.1,0.1,0.1,154,35,189,5,-0.1,-0.0985,0.0,1.8518518518518503,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,medium,nominal-medium,ardupilot_a2_stabilize_readiness_nominal_medium.yaml,20260415_071615_ardupilot_manual_alternating_pulse_train_throttle_r5,ardupilot_a2_stabilize_readiness_nominal_medium,ardupilot_a2_stabilize_readiness_nominal_medium,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_071615_ardupilot_manual_alternating_pulse_train_throttle_r5,ok,0.65,0.1,0.1,0.1,0.1,158,32,190,5,-0.1,-0.099,0.0,1.8518518518518503,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
