received_time_ns,des_roll,roll,des_pitch,pitch,des_yaw,yaw,err_rp,err_yaw
12777387000,-8.37,-7.66,0.0,-0.23,0.06,357.37,0.02,0.18
12877347000,-8.28,-7.64,0.0,-0.23,0.03,357.47,0.02,0.18
12977307000,-8.0,-7.44,0.0,-0.19,0.01,357.78,0.02,0.17
13077267000,-7.48,-6.99,0.0,-0.13,0.0,358.27,0.02,0.16
13177227000,-6.78,-6.35,0.0,-0.06,0.0,358.87,0.02,0.16
13277187000,-5.91,-5.52,0.0,0.0,0.0,359.56,0.02,0.15
13377147000,-4.86,-4.49,0.0,0.07,0.0,0.26,0.02,0.15
13477107000,-3.62,-3.29,0.0,0.1,0.0,0.95,0.02,0.14
13577067000,-2.27,-1.96,0.0,0.1,0.0,1.57,0.02,0.14
13677027000,-0.83,-0.54,0.0,0.07,0.0,2.1,0.02,0.13
13776987000,0.63,0.9,0.0,0.0,0.0,2.49,0.02,0.13
13876947000,2.12,2.37,0.0,-0.07,0.0,2.74,0.02,0.12
13976907000,3.54,3.76,0.0,-0.16,0.0,2.84,0.02,0.12
14076867000,4.55,4.97,0.0,-0.23,0.0,2.8,0.02,0.12
14176827000,2.4,3.01,0.0,-0.13,0.0,2.64,0.02,0.12
14276787000,1.22,1.53,0.0,-0.05,0.0,2.37,0.02,0.13
14376747000,0.62,0.74,0.0,0.0,0.0,2.01,0.02,0.13
14476707000,0.31,0.36,0.0,0.01,0.0,1.59,0.02,0.13
14576667000,0.16,0.19,0.0,0.01,0.0,1.15,0.02,0.13
14676627000,0.08,0.12,0.0,0.02,0.0,0.72,0.02,0.13
14777420000,0.04,0.09,0.0,0.02,0.0,0.3,0.02,0.13
14877380000,0.02,0.07,0.0,0.01,0.0,359.95,0.02,0.13
14977340000,0.01,0.07,0.0,0.01,0.0,359.66,0.01,0.13
15077300000,0.0,0.07,0.0,0.01,0.0,359.43,0.01,0.13
15177260000,0.0,0.08,0.0,0.01,0.0,359.3,0.01,0.13
15277220000,0.0,0.08,0.0,0.01,0.0,359.25,0.01,0.12
15377180000,0.0,0.09,0.0,0.01,0.0,359.28,0.01,0.12
15477140000,0.0,0.1,0.0,0.0,0.0,359.38,0.01,0.12
15577100000,0.0,0.11,0.0,0.01,0.0,359.53,0.0,0.12
15677060000,0.0,0.11,0.0,0.0,0.0,359.73,0.0,0.12
15777020000,0.0,0.12,0.0,0.0,0.0,359.95,0.0,0.11
15876980000,0.0,0.11,0.0,0.01,0.0,0.16,0.0,0.11
15976940000,0.0,0.12,0.0,0.0,0.0,0.38,0.0,0.11
16076900000,0.0,0.12,0.0,0.0,0.0,0.59,0.0,0.11
16176860000,0.0,0.13,0.0,-0.01,0.0,0.76,0.0,0.11
16276820000,0.0,0.13,0.0,0.0,0.0,0.89,0.0,0.11
16376780000,0.0,0.12,0.0,0.0,0.0,0.98,0.0,0.11
16476740000,0.0,0.12,0.0,0.0,0.0,1.01,0.0,0.1
16576700000,0.0,0.12,0.0,0.0,0.0,1.0,0.0,0.1
16676660000,0.0,0.12,0.0,0.0,0.0,0.95,0.0,0.1
16776620000,0.0,0.12,0.0,0.01,0.0,0.87,0.0,0.1
16877413000,0.0,0.11,0.0,0.02,0.0,0.76,0.0,0.1
16977373000,0.0,0.11,0.0,0.01,0.0,0.64,0.0,0.1
17077333000,0.0,0.11,0.0,0.02,0.0,0.51,0.0,0.1
17177293000,0.0,0.1,0.0,0.02,0.0,0.39,0.0,0.1
17277253000,0.0,0.1,0.0,0.01,0.0,0.28,0.0,0.1
17377213000,0.0,0.09,0.0,0.01,0.0,0.19,0.0,0.1
17477173000,0.0,0.09,0.0,0.01,0.0,0.12,0.0,0.09
17577133000,0.0,0.08,0.0,0.01,0.0,0.07,0.0,0.09
17677093000,0.0,0.08,0.0,0.01,0.0,0.05,0.0,0.09
17777053000,0.0,0.08,0.0,0.0,0.0,0.06,0.0,0.09
17877013000,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.09
17976973000,0.0,0.07,0.0,0.01,0.0,0.12,0.0,0.09
18076933000,0.0,0.06,0.0,0.0,0.0,0.18,0.0,0.09
18176893000,0.0,0.06,0.0,0.0,0.0,0.26,0.0,0.09
18276853000,0.0,0.05,0.0,0.0,0.0,0.34,0.0,0.09
18376813000,0.0,0.04,0.0,0.01,0.0,0.42,0.0,0.08
18476773000,0.0,0.04,0.0,0.01,0.0,0.49,0.0,0.08
18576733000,0.0,0.04,0.0,0.01,0.0,0.56,0.0,0.08
18676693000,0.0,0.03,0.0,0.02,0.0,0.62,0.0,0.08
18776653000,0.0,0.02,0.0,0.04,0.0,0.68,0.0,0.08
18876613000,0.0,0.01,0.0,0.05,0.0,0.72,0.0,0.08
18977406000,0.0,0.01,0.0,0.06,0.0,0.74,0.0,0.08
19077366000,0.0,0.01,0.0,0.06,0.0,0.74,0.0,0.08
19177326000,0.0,0.0,0.0,0.06,0.0,0.73,0.0,0.08
19277286000,0.0,0.0,0.0,0.05,0.0,0.69,0.0,0.08
19377246000,0.0,0.0,0.0,0.06,0.0,0.65,0.0,0.07
