received_time_ns,event_type,field_name,previous_value,current_value
1775658711214056268,vehicle_status_events,nav_state,4,2
1775658711214056268,vehicle_status_events,pre_flight_checks_pass,True,False
1775658711323577737,vehicle_status_events,pre_flight_checks_pass,False,True
1775658711605566180,vehicle_status_events,arming_state,1,2
1775658711605566180,vehicle_status_events,nav_state,2,14
1775658720718614388,vehicle_status_events,nav_state,14,2
1775658728769072590,vehicle_status_events,nav_state,2,18
1775658735094347656,vehicle_status_events,arming_state,2,1
1775658735094347656,vehicle_status_events,nav_state,18,2
1775658735754161439,vehicle_status_events,pre_flight_checks_pass,True,False
