received_time_ns,event_type,field_name,previous_value,current_value
1775639189286007273,vehicle_status_events,pre_flight_checks_pass,False,True
1775639189738588409,vehicle_status_events,arming_state,1,2
1775639197640532083,vehicle_status_events,nav_state,14,4
1775639197640532083,vehicle_status_events,failsafe,False,True
1775639199272168616,vehicle_status_events,nav_state,4,2
1775639199272168616,vehicle_status_events,failsafe,True,False
1775639204130382741,vehicle_status_events,nav_state,2,4
1775639204130382741,vehicle_status_events,failsafe,False,True
1775639207336374314,vehicle_status_events,nav_state,4,5
1775639207397753755,vehicle_status_events,nav_state,5,18
1775639207397753755,vehicle_status_events,failsafe,True,False
1775639215247413733,vehicle_status_events,arming_state,2,1
1775639215247413733,vehicle_status_events,nav_state,18,2
1775639216112902095,vehicle_status_events,pre_flight_checks_pass,True,False
