received_time_ns,instance,voltage_v,current_a,battery_remaining_pct
4377415000,0,12.587977409362793,0.0,100.0
4477375000,0,12.587977409362793,0.0,100.0
4577335000,0,12.587977409362793,0.0,100.0
4677295000,0,12.587977409362793,0.0,100.0
4777255000,0,12.587977409362793,0.0,100.0
4877215000,0,12.587977409362793,0.0,100.0
4977175000,0,12.587977409362793,0.0,100.0
5077135000,0,12.587977409362793,0.0,100.0
5177095000,0,12.587977409362793,0.0,100.0
5277055000,0,12.587977409362793,0.0,100.0
5377015000,0,12.587977409362793,0.0,100.0
5476975000,0,12.587977409362793,0.0,100.0
5576935000,0,12.587977409362793,0.0,100.0
5676895000,0,12.587977409362793,0.0,100.0
5776855000,0,12.587977409362793,0.0,100.0
5876815000,0,12.587977409362793,0.0,100.0
5976775000,0,12.587977409362793,0.0,100.0
6076735000,0,12.587977409362793,0.0,100.0
6176695000,0,12.587977409362793,0.0,100.0
6276655000,0,12.587977409362793,0.0,100.0
6376615000,0,12.587977409362793,0.0,100.0
6477408000,0,12.587977409362793,0.0,100.0
6577368000,0,12.587977409362793,0.0,100.0
6677328000,0,12.587977409362793,0.0,100.0
6777288000,0,12.587977409362793,0.0,100.0
6877248000,0,12.587977409362793,0.0,100.0
6977208000,0,12.587977409362793,0.0,100.0
7077168000,0,12.587977409362793,0.0,100.0
7177128000,0,12.587977409362793,0.0,100.0
7277088000,0,12.587977409362793,0.0,100.0
7377048000,0,12.587977409362793,0.0,100.0
7477008000,0,12.587977409362793,0.0,100.0
7576968000,0,12.587977409362793,0.0,100.0
7676928000,0,12.587977409362793,0.0,100.0
7776888000,0,12.587977409362793,0.0,100.0
7876848000,0,12.587977409362793,0.0,100.0
7976808000,0,12.587977409362793,0.0,100.0
8076768000,0,12.587977409362793,0.0,100.0
8176728000,0,12.587977409362793,0.0,100.0
8276688000,0,12.587977409362793,0.0,100.0
8376648000,0,12.587977409362793,0.0,100.0
8476608000,0,12.587977409362793,0.0,100.0
8577401000,0,12.587977409362793,0.0,100.0
8677361000,0,12.587977409362793,0.0,100.0
8777321000,0,12.587977409362793,0.0,100.0
8877281000,0,12.587977409362793,0.0,100.0
8977241000,0,12.587977409362793,0.4154447615146637,99.0
9077201000,0,12.587977409362793,1.2463343143463135,99.0
9177161000,0,12.587977409362793,3.406647205352783,99.0
9277121000,0,12.587977409362793,6.896383285522461,99.0
9377081000,0,12.587977409362793,10.63538646697998,99.0
9477041000,0,12.587977409362793,14.956011772155762,99.0
9577001000,0,12.587977409362793,20.024436950683594,99.0
9676961000,0,12.587977409362793,25.75757598876953,99.0
9776921000,0,12.587977409362793,31.490713119506836,99.0
9876881000,0,12.587977409362793,34.149559020996094,99.0
9976841000,0,12.587977409362793,36.64223098754883,99.0
10076801000,0,12.587977409362793,39.55034255981445,99.0
10176761000,0,12.587977409362793,42.3753662109375,99.0
10276721000,0,12.587977409362793,34.73118209838867,99.0
10376681000,0,12.587977409362793,24.511241912841797,99.0
10476641000,0,12.587977409362793,23.51417350769043,99.0
10576601000,0,12.587977409362793,26.422286987304688,99.0
10677394000,0,12.587977409362793,28.91495704650879,99.0
10777354000,0,12.587977409362793,29.579668045043945,99.0
10877314000,0,12.587977409362793,29.081134796142578,99.0
10977274000,0,12.587977409362793,28.41642189025879,99.0
11077234000,0,12.587977409362793,28.0009765625,99.0
11177194000,0,12.587977409362793,27.83479881286621,99.0
11277154000,0,12.587977409362793,27.83479881286621,99.0
11377114000,0,12.587977409362793,28.0009765625,99.0
11477074000,0,12.587977409362793,28.08406639099121,99.0
11577034000,0,12.587977409362793,28.16715431213379,99.0
11676994000,0,12.587977409362793,28.250244140625,99.0
11776954000,0,12.587977409362793,28.333332061767578,99.0
11876914000,0,12.587977409362793,28.41642189025879,99.0
11976874000,0,12.587977409362793,28.499509811401367,99.0
12076834000,0,12.587977409362793,28.582599639892578,99.0
12176794000,0,12.587977409362793,28.665687561035156,99.0
12276754000,0,12.587977409362793,28.748779296875,99.0
12376714000,0,12.587977409362793,28.748779296875,99.0
12476674000,0,12.587977409362793,28.831867218017578,99.0
12576634000,0,12.587977409362793,28.831867218017578,99.0
12676594000,0,12.587977409362793,28.831867218017578,99.0
12777387000,0,12.587977409362793,28.831867218017578,99.0
12877347000,0,12.587977409362793,28.91495704650879,99.0
12977307000,0,12.587977409362793,28.831867218017578,99.0
13077267000,0,12.587977409362793,28.831867218017578,99.0
13177227000,0,12.587977409362793,28.831867218017578,99.0
13277187000,0,12.587977409362793,28.831867218017578,99.0
13377147000,0,12.587977409362793,28.831867218017578,99.0
13477107000,0,12.587977409362793,28.831867218017578,98.0
13577067000,0,12.587977409362793,28.831867218017578,98.0
13677027000,0,12.587977409362793,28.831867218017578,98.0
13776987000,0,12.587977409362793,28.831867218017578,98.0
13876947000,0,12.587977409362793,28.831867218017578,98.0
13976907000,0,12.587977409362793,28.831867218017578,98.0
14076867000,0,12.587977409362793,28.831867218017578,98.0
14176827000,0,12.587977409362793,28.831867218017578,98.0
14276787000,0,12.587977409362793,28.831867218017578,98.0
14376747000,0,12.587977409362793,28.831867218017578,98.0
14476707000,0,12.587977409362793,28.831867218017578,98.0
14576667000,0,12.587977409362793,28.831867218017578,98.0
14676627000,0,12.587977409362793,28.748779296875,98.0
14777420000,0,12.587977409362793,28.831867218017578,98.0
14877380000,0,12.587977409362793,28.831867218017578,98.0
14977340000,0,12.587977409362793,28.831867218017578,98.0
15077300000,0,12.587977409362793,28.831867218017578,98.0
15177260000,0,12.587977409362793,28.91495704650879,98.0
15277220000,0,12.587977409362793,28.831867218017578,98.0
15377180000,0,12.587977409362793,28.831867218017578,98.0
15477140000,0,12.587977409362793,28.831867218017578,98.0
15577100000,0,12.587977409362793,28.831867218017578,98.0
15677060000,0,12.587977409362793,28.831867218017578,98.0
15777020000,0,12.587977409362793,28.831867218017578,98.0
15876980000,0,12.587977409362793,28.831867218017578,98.0
15976940000,0,12.587977409362793,28.831867218017578,98.0
16076900000,0,12.587977409362793,28.831867218017578,98.0
16176860000,0,12.587977409362793,28.748779296875,98.0
16276820000,0,12.587977409362793,28.831867218017578,98.0
16376780000,0,12.587977409362793,28.748779296875,98.0
16476740000,0,12.587977409362793,28.831867218017578,98.0
16576700000,0,12.587977409362793,28.748779296875,98.0
16676660000,0,12.587977409362793,28.831867218017578,98.0
16776620000,0,12.587977409362793,28.748779296875,98.0
16877413000,0,12.587977409362793,28.748779296875,98.0
16977373000,0,12.587977409362793,28.831867218017578,98.0
17077333000,0,12.587977409362793,28.748779296875,98.0
17177293000,0,12.587977409362793,28.08406639099121,98.0
17277253000,0,12.587977409362793,26.837732315063477,98.0
17377213000,0,12.587977409362793,26.173019409179688,98.0
17477173000,0,12.587977409362793,25.75757598876953,98.0
17577133000,0,12.587977409362793,25.425220489501953,97.0
17677093000,0,12.587977409362793,25.259042739868164,97.0
17777053000,0,12.587977409362793,25.092864990234375,97.0
17877013000,0,12.587977409362793,25.009775161743164,97.0
17976973000,0,12.587977409362793,25.009775161743164,97.0
18076933000,0,12.587977409362793,24.926687240600586,97.0
18176893000,0,12.587977409362793,24.926687240600586,97.0
18276853000,0,12.587977409362793,24.926687240600586,97.0
18376813000,0,12.587977409362793,24.926687240600586,97.0
18476773000,0,12.587977409362793,25.175952911376953,97.0
18576733000,0,12.587977409362793,25.84066390991211,97.0
18676693000,0,12.587977409362793,26.422286987304688,97.0
18776653000,0,12.587977409362793,26.920822143554688,97.0
18876613000,0,12.587977409362793,27.336265563964844,97.0
18977406000,0,12.587977409362793,27.668621063232422,97.0
19077366000,0,12.587977409362793,27.917888641357422,97.0
19177326000,0,12.587977409362793,28.08406639099121,97.0
19277286000,0,12.587977409362793,28.16715431213379,97.0
19377246000,0,12.587977409362793,28.250244140625,97.0
19477206000,0,12.587977409362793,28.250244140625,97.0
19577166000,0,12.587977409362793,28.250244140625,97.0
19677126000,0,12.587977409362793,28.16715431213379,97.0
19777086000,0,12.587977409362793,28.16715431213379,97.0
19877046000,0,12.587977409362793,28.08406639099121,97.0
19977006000,0,12.587977409362793,28.0009765625,97.0
20076966000,0,12.587977409362793,28.0009765625,97.0
20176926000,0,12.587977409362793,27.917888641357422,97.0
20276886000,0,12.587977409362793,27.917888641357422,97.0
20376846000,0,12.587977409362793,27.917888641357422,97.0
20476806000,0,12.587977409362793,27.917888641357422,97.0
20576766000,0,12.587977409362793,27.83479881286621,97.0
20676726000,0,12.587977409362793,27.83479881286621,97.0
20776686000,0,12.587977409362793,27.83479881286621,97.0
20876646000,0,12.587977409362793,27.83479881286621,97.0
