received_time_ns,timestamp,timestamp_sample,valid,data_source,roll,pitch,yaw,throttle,sticks_moving,buttons
1775658511514502127,1775658511349655,1775658511329655,True,2,0.0,0.0,0.0,0.0,False,0
1775658511548796942,1775658511381655,1775658511381655,True,2,0.0,0.0,0.0,0.0,False,0
1775658511597547946,1775658511429655,1775658511429655,True,2,0.0,0.0,0.0,0.0,False,0
1775658511645915688,1775658511477655,1775658511477655,True,2,0.0,0.0,0.0,0.0,False,0
1775658511695720799,1775658511525655,1775658511525655,True,2,0.0,0.0,0.0,0.0,False,0
1775658511745097656,1775658511573655,1775658511573655,True,2,0.0,0.0,0.0,0.0,False,0
1775658511795285293,1775658511621655,1775658511621655,True,2,0.0,0.0,0.0,0.0,False,0
1775658511847625048,1775658511673655,1775658511673655,True,2,0.0,0.0,0.0,0.0,False,0
1775658511896519891,1775658511721655,1775658511721655,True,2,0.0,0.0,0.0,0.0,False,0
1775658511945206544,1775658511769655,1775658511769655,True,2,0.0,0.0,0.0,0.0,False,0
1775658511999666385,1775658511821655,1775658511821655,True,2,0.0,0.0,0.0,0.0,False,0
1775658512047390900,1775658511869655,1775658511869655,True,2,0.0,0.0,0.0,0.0,False,0
1775658512095764436,1775658511917655,1775658511917655,True,2,0.0,0.0,0.0,0.0,False,0
1775658512148332929,1775658511969655,1775658511969655,True,2,0.0,0.0,0.0,0.0,False,0
1775658512195992228,1775658512017655,1775658512017655,True,2,0.0,0.0,0.0,0.0,False,0
1775658512246193852,1775658512065655,1775658512065655,True,2,0.0,0.0,0.0,0.0,False,0
1775658512296379379,1775658512113655,1775658512113655,True,2,0.0,0.0,0.0,0.0,False,0
1775658512346367116,1775658512161655,1775658512161655,True,2,0.0,0.0,0.0,0.0,False,0
1775658512399043288,1775658512213655,1775658512213655,True,2,0.0,0.0,0.0,0.0,False,0
1775658512448297012,1775658512261655,1775658512261655,True,2,0.0,0.0,0.0,0.0,False,0
1775658512495296923,1775658512309655,1775658512309655,True,2,0.0,0.0,0.0,0.0,False,0
1775658512548516996,1775658512361655,1775658512361655,True,2,0.0,0.0,0.0,0.0,False,0
1775658512599087482,1775658512409655,1775658512409655,True,2,0.0,0.0,0.0,0.0,False,0
1775658512647448283,1775658512457655,1775658512457655,True,2,0.0,0.0,0.0,0.0,False,0
1775658512699749001,1775658512509655,1775658512509655,True,2,0.0,0.0,0.0,0.0,False,0
1775658512744968535,1775658512553655,1775658512553655,True,2,0.0,0.0,0.0,0.0,False,0
1775658512796103531,1775658512601655,1775658512601655,True,2,0.0,0.0,0.0,0.0,False,0
1775658512847756988,1775658512653655,1775658512653655,True,2,0.0,0.0,0.0,0.0,False,0
1775658512896313403,1775658512701655,1775658512701655,True,2,0.0,0.0,0.0,0.0,False,0
1775658512945698134,1775658512749655,1775658512749655,True,2,0.0,0.0,0.0,0.0,False,0
1775658512993403577,1775658512797655,1775658512797655,True,2,0.0,0.0,0.0,0.0,False,0
