feature,future_state_roll,future_state_pitch,future_state_yaw,future_state_roll_rate,future_state_pitch_rate,future_state_yaw_rate
command_roll,5.318571516545301e-07,6.903393774897188e-08,4.592475394303754e-07,2.364924205645139e-06,-1.0303266038244809e-05,5.034614377396401e-06
command_pitch,-1.6500789409191028e-08,2.2983651334385713e-07,-2.7822250245919e-07,4.35817514097362e-06,-6.2819752328315535e-06,-2.4430801861940276e-06
command_yaw,1.7946781346522754e-07,-2.6293486133849617e-07,5.897349968649427e-07,-3.1250052855633465e-06,6.842198642830566e-06,2.1032666881441067e-06
command_throttle,-1.6224805673925124e-08,9.758572569352885e-07,-4.474469214439569e-07,3.2265791698735016e-05,-2.6350021782468922e-05,-3.162152105336533e-05
roll,0.137107340229278,0.01058963111517734,-96.16597432769676,-0.042226562075613414,-0.010494846213362548,0.11193579179043472
pitch,0.05730811593095016,0.14957615014690387,-223.2000903440333,-0.09735681263365696,-0.024287693516763888,0.2605813861109053
yaw,5.608051397835167e-06,1.527222038557515e-05,0.1037253281651881,0.00019131336908497098,-0.00013181991278854685,1.0123582544629425e-05
roll_rate,-7.250660726631965e-06,-2.562633609800595e-05,-1.2068599819943596e-05,0.17115663805112147,0.07444614954386607,0.03797521079389207
pitch_rate,2.156316720391665e-07,2.4634076482526697e-06,-1.0563861971305473e-05,0.022207657057550362,0.16335795793428493,0.026372270354593795
yaw_rate,-1.2258968442442832e-06,5.453662336713887e-06,3.6970963039375954e-05,0.01879883754408213,0.043742201455774746,0.17638639453242044
position_x,1.8047761869045433e-15,6.325132501700616e-16,2.1667032024665958e-15,2.2766405932197e-14,-9.662516471787119e-14,2.5181122952844914e-15
position_y,-4.430590099863788e-16,-2.124377273753184e-16,-4.892001406377488e-16,-6.5352686348708284e-15,2.290375529610744e-14,-3.720856953876199e-16
position_z,0.06797050972735903,0.02928517400949673,-264.57385641144236,-0.11388436796884877,-0.029093344686468858,0.30853414828108394
velocity_x,6.036835316938598e-07,1.972751346771492e-06,-6.771174397798747e-07,3.509462896412789e-05,1.551114305821357e-06,-5.4544293893958376e-06
velocity_y,-7.205728127408838e-07,-6.61240251031932e-07,3.404126080363941e-07,-5.031542552831514e-06,1.8211124477670676e-05,-8.666584791392954e-06
velocity_z,2.1668947564781187e-08,-1.6028021530706288e-07,1.1619722500741331e-07,-2.157747055683786e-06,4.582482202483494e-06,4.6922204490705626e-07
altitude,-0.06797050972720715,-0.02928517400941372,264.5738564098805,0.11388436796817758,0.02909334468629984,-0.3085341482792654
vertical_speed,-2.1668947473097425e-08,1.6028021530560016e-07,-1.1619722525543896e-07,2.1577470557010644e-06,-4.582482202359181e-06,-4.6922204406368927e-07
heading,5.608051401636022e-06,1.5272220334768448e-05,0.10372532816447222,0.00019131336903212043,-0.00013181991214033462,1.0123582420914046e-05
mode_guided_nogps,0.0,0.0,0.0,0.0,0.0,0.0
mode_stabilize,0.0,0.0,0.0,0.0,0.0,0.0
integrator_yaw,-6.022554093130003,3.550014471195883,-389.17692717160264,44.940542570391614,-25.645840629895602,-1.2351298173839118
control_output_roll,-0.007500671265830943,-0.019020732099340357,0.007129105357731615,1.6570362129185268,2.4357739618757934,-0.5667153142356414
control_output_pitch,-0.006254781717571803,-0.004724327272157508,0.02259925718075515,-3.1254833576393506,-3.6381956756159406,1.0528216634370045
control_output_yaw,-0.0019858852279507825,0.005992133951427065,-0.08344814059172477,-25.21831718049516,-68.37532046253327,-93.32484354514537
actuator_1,-0.0033440880719388857,-0.005052216196050196,0.007399897219962986,-0.06497966780313497,0.09585814411347787,0.005678260514335575
actuator_2,-0.5001823290063488,0.002926840598067567,-0.004424289514708613,0.02259406432951651,-0.14552774329357068,-0.019444936080058345
actuator_3,0.006473379978039856,0.009872050296431461,-0.011874807817734175,0.16473277013612386,-0.01151495585105526,0.0507543902787192
actuator_4,-0.0013126353208400233,0.0031379650984073876,0.0006164978192545422,0.004350781054421135,-0.045102286905629625,-0.04228868261305921
command_roll__lag_1,-2.7006852140812538e-08,1.1509275957818927e-08,1.43358078993143e-08,1.7881205369343872e-07,1.3100904047670481e-07,-6.977458859041526e-07
command_pitch__lag_1,9.147268078941398e-09,3.141064899211341e-08,-2.2445147886153833e-08,4.101269611226327e-07,-4.609090971737207e-08,-7.541274531213221e-08
