feature,window_mean_roll,window_mean_pitch,window_mean_yaw,window_mean_roll_rate,window_mean_pitch_rate,window_mean_yaw_rate,window_peak_roll,window_peak_pitch,window_peak_yaw,window_peak_roll_rate,window_peak_pitch_rate,window_peak_yaw_rate
command_roll,0.3784332767766569,0.0002193501146079909,-2.6242510705549797,-0.0012966563375318516,-0.0020844355414886455,0.012795532771856423,0.05530833931225317,-0.0010016098595759559,-2.4618426925323256,3.270754807452337e-09,0.008149997090780263,-0.0049791559482472636
command_pitch,-0.0026625449696625727,0.2647162843478845,0.5830114598068928,-0.0019845394177673,-0.0019117829326656941,0.38127321085621746,0.0003803069093284791,0.0039812961746058416,1.1436318054471615,0.006382273434383981,0.0006219545382223156,-0.4102083992344587
command_yaw,0.09758010590031146,1.9852312124908243e-07,3.6679954570632254,0.01257429900175083,-0.0024056681091727053,2.040018177382862,0.001792270874542815,0.00030502466036263294,3.945912217422295,-0.04171703124633251,0.0017115131851575954,-2.1778629941206447
command_throttle,0.0021655525140815307,0.0006956468887820707,16.855668849692872,0.00025672333544213505,0.006239870729043838,2.6602924746759644,-0.22982354119780685,-0.10700533874968367,16.470432995631352,-0.4224876882418152,-0.1132227394097961,-2.943152099171638
roll,0.851222262240596,0.014169784312715697,-0.029148458837431807,-0.05620465470915806,-0.01816868122026013,-0.12879365331961157,-0.03731278568003381,0.01066132877147892,-0.017622514457580604,-0.1025296121552211,-0.0910474274919473,0.1289192165221351
pitch,0.003862066793597638,0.8541535556414208,-0.03796011756872821,-0.0363658613825548,-0.01842292614321552,0.11615378573996338,0.0239486236132906,0.06838369755828916,0.06774650661685924,-0.02687854899946865,0.07549877620921781,-0.15613276211176794
yaw,0.00886401917373825,0.002325335920852863,0.8281755711495338,0.01863834255157506,0.003626754418081796,0.05935398793365903,-0.001601842070739231,0.00642204526001657,0.7240996199923075,0.0076469936681678955,-0.012606035789787563,-0.061879866300925485
roll_rate,0.003459806283572754,0.0008455869336273209,-0.019688393774792378,0.6374568292535889,-0.10570117782096494,0.31922770889544544,0.007643685392696687,0.0023026997338142312,-0.02544746459864798,-0.037404596184236104,-0.03167083187922015,-0.480986785342093
pitch_rate,-0.0026560014300806302,-0.0001563657757522129,0.03235373209489234,0.2384004070272568,0.8191902214703337,-0.5067292624653724,0.001443850724810881,0.0024780675678593286,0.046780760641529515,-0.041473959376234215,0.012524154024656307,0.6810135506364463
yaw_rate,0.0025024123447840298,-0.002682354128497336,-0.0004664745482809859,0.048064449139560456,-0.03036824802868135,1.057692109064539,-0.001383760153471936,0.018896716337210556,0.0028943308655928267,0.007246546222941165,0.027222061329688005,-0.49900799301014326
position_x,-0.001232939454554587,-0.0004568213811046362,0.004138540923677719,-0.0013255531399875757,0.0007057246434793843,-0.00808594979277149,-0.0003042993929638345,0.0019993116060220205,-0.0010410938536507862,0.0022469965723127903,0.0025624849182979523,0.006828231456209588
position_y,-0.00013245976400010252,0.0003217104593702615,0.005556306587670307,-0.0011436048229842267,0.000209834356148052,0.005180672865430921,-0.0012562251777392818,-0.0012259283168383655,-0.02551366065449776,0.0024276700222018877,0.0003330091420048482,0.01337108486096759
position_z,3.459727455200977e-05,1.1295230172188808e-05,-0.00021132845007548124,2.1943684043160558e-05,6.878205405168238e-05,0.0001037993149663945,-0.00015988651987819372,-0.00013084329275136385,0.0019098967272669623,-0.0018128460469284105,-0.0019261336523348313,-0.0002868216085331006
velocity_x,0.01879249397733072,0.0028969256875078517,-0.025432604947369108,-0.00430448224185261,-0.006824226410484842,0.013355236670288475,0.0026259267801923025,-0.0015569811654088492,0.03826202188417373,0.005971535819656634,0.01105085907344974,-0.011189490632996525
velocity_y,-0.001920085046835343,0.013108976959166293,0.014941337190922216,0.0018456459308676893,-0.0013377866289727345,-0.004245274462732786,-0.0030155566209528837,0.0010701457167721622,-0.027302366469313503,-0.022573837811855863,-0.010467767494338252,-0.03482378867248958
velocity_z,-0.000496372287516367,0.0006099629781139058,-0.000689603743671391,-0.0007691301734675748,1.5657362534161375e-05,-0.0027592661090399474,-0.0042554225997403425,-0.0051930663685279205,-0.005242089027815145,0.008722313525732519,0.005088268180030253,0.0011786837211733093
altitude,-1.5013398683765118e-06,-2.0947735862026348e-06,-4.511818678087449e-06,-2.167200587368455e-06,4.590249236531024e-05,9.565757042171629e-05,0.0001272548170836133,8.829898451260745e-05,0.0,0.0006895947905895372,0.0002933368073716885,0.0004913976520625736
vertical_speed,2.0318627749080058e-05,-1.0775702043647588e-06,1.8815251627756153e-05,0.0001504634752452198,2.1889455569680274e-06,0.00033449891017656695,7.120412978367989e-05,7.385698178376658e-05,5.403535107226004e-05,-0.00012734952244629146,-2.884686840038949e-06,-0.00029781492530604894
heading,0.0019206062176306809,0.00040879438657008565,0.008673570917885553,-0.00523707759320844,5.353488269035814e-07,-0.08038412631269917,-0.0077954300963365385,0.0002634904169505651,-0.02652729073834792,0.021031649548003913,0.0013966004055445545,0.07876699108619839
mode_offboard_attitude,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode_posctl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clip__command_roll,-0.17741543963318018,-0.008300245742697226,1.8457469388900645,0.002150652468430884,-0.00011004836098958897,-0.16395996629695173,0.02073460453217503,-0.0008250502932009829,1.105576462771145,0.028649479712318262,0.05032578517160818,0.16128971650568485
sq__command_roll,0.19028424365284557,-0.09387152482279464,0.8887915891750129,-0.11601690222077883,-0.06261290874394781,-1.2808511000169978,2.3892121482083555,-0.08412513854506068,-2.189989286956112,-0.7522515118483843,-0.6302109653883248,-0.6883945262935133
clip__command_pitch,-0.004759353126530577,-0.09635713016007677,-1.7342749523873002,-0.00201410825191135,-1.5150211388148763e-06,-0.5920879972684613,-0.014160780684873565,4.571629906187812e-05,-2.1170768108721054,0.00369495438843933,0.010234054656386025,0.6238739270987644
sq__command_pitch,0.12334449960907547,-0.1669886896355693,0.5825820261788764,-0.51877556990188,-0.10386577052811996,1.4902595382070147,0.05238391601455318,2.765145617273124,-1.8369633175581983,-0.7904458612010545,-0.2173739494790251,-2.7258585507641917
clip__command_yaw,-0.1469228045145014,-0.013943183849391125,-3.8048675118487694,-0.0694899569811914,-0.027934963513040593,-1.536198072137159,1.545747784466098e-05,-0.03440030119852117,-3.077831583227473,0.16030809540974675,0.09713042848832941,2.0272750849117607
sq__command_yaw,0.31653004895229153,0.02302785396004987,-0.22392546964113882,0.5263166646172595,-1.2217470166043731,-24.036820583632842,0.691676050631848,-0.4637991133270972,6.93981258547066,-3.0278536397356506,-4.345309910717697,16.73061819957488
clip__command_throttle,2.5367559679922056e-05,0.0,1.2054047133841127e-06,-0.0035417621849070016,6.985843492440397e-06,0.0012721197010593457,-0.0003598601494163228,1.820009221449116e-05,0.0,0.00016094841279622304,0.0003221303892940899,0.00016138456522846057
sq__command_throttle,-0.005083427921300112,-0.0252961609339303,7.557060736757107,0.45156875556760256,-0.14496544107236087,1.6232972710283826,0.3123516765589676,-0.23374025445534885,5.3066116493518924,1.6229156396859359,-0.026734975369299835,-1.8462739492454905
sq__roll,-0.30829293571242466,0.281221271964771,-0.4220761429681136,0.6774933839155861,1.0508508243184402,-0.017061429991485147,20.119919395935554,0.361203757784416,-2.4656159031057188,0.3403203767458245,1.8465683876224839,-1.0801135399120616
sq__pitch,0.6301457370338925,0.12139909278862565,-0.5559658515373714,-0.29918034285277506,-0.11962180833020952,-2.955926360741035,1.469981431289052,19.014265498136886,-0.778187046671352,-0.03277007408624888,-0.7297907756036778,1.4323890956719016
sq__yaw,-0.002725742579855687,0.00019997835226678927,0.10806297386744444,-0.0020015996523408417,6.1515312979903245e-06,0.014660945964731928,-0.0027349213045268564,0.0015139438541481314,0.15402744584169384,-0.0028561896660428887,-0.005718472747867532,-0.01194378550848549
sq__roll_rate,0.005893212411802578,0.005876261663002067,0.025387665980787216,-0.31019239475719973,0.3768994598009968,-0.040634194762576806,-0.01695365379422376,0.001987684780713572,0.016662199082202032,2.8968678944358324,0.32391296793142776,0.3651903132666404
sq__pitch_rate,-0.01047753268832022,-0.0006542197623832343,-0.007852810456019026,0.14125289133979513,-0.24201526780818292,2.6222373328134,-0.026989465481166514,-0.05355154391641311,0.045095743187876666,1.7258441416011407,3.5278551717209483,-2.2498965791262378
sq__yaw_rate,-0.07261204108751632,-0.02132162135107127,0.04292754033452613,1.7503940378315541,-0.18960830101613338,0.24138213650881618,-0.7788138377986273,0.5408658502564447,0.010984707593090691,0.21141079023304538,4.625269016068292,14.095309803339436
backend_px4__command_roll,-0.023065159394043695,-0.003066767603426325,0.796631176624188,-0.007777840210100678,0.0005691426790425349,0.26152068582874866,-0.08372131151384736,-0.00764518312332435,1.3292755382970078,0.018137632120405763,0.0018810358805823003,-0.21858694482838126
backend_px4__command_pitch,-0.0022499564020576094,-0.0008530559860341958,1.2253164251179123,0.034390200018192624,0.0024009821552895745,0.17976979009804442,0.0004978903066405686,0.0029111553739171957,0.8201619606277101,0.008099298769802735,0.006664698321893751,-0.20080756735357927
backend_px4__command_yaw,-0.000631395811306804,0.00032530183867934874,0.10427579885857964,0.07629500853149594,-0.0007663465634133442,-0.010991713532015907,-0.043069391705149555,-0.006103929893112688,-0.49682294757319767,0.017055641700403,0.0028117214466178283,0.07318275642199096
backend_px4__command_throttle,0.0513606417443792,0.0,-6.038144164982894,0.4262947755992869,0.00712951673104357,-0.48882231316811264,0.2219758494332459,0.051213582372401555,-8.523831960362998,0.3325097318947396,0.17277617781882232,0.64055163188795
