received_time_ns,event_type,field_name,previous_value,current_value
1775885045562108654,vehicle_status_events,nav_state,4,2
1775885045562108654,vehicle_status_events,pre_flight_checks_pass,True,False
1775885045678249576,vehicle_status_events,pre_flight_checks_pass,False,True
1775885046968172195,vehicle_status_events,arming_state,1,2
1775885046968172195,vehicle_status_events,nav_state,2,14
1775885056745544171,vehicle_status_events,nav_state,14,2
1775885064782593242,vehicle_status_events,nav_state,2,18
1775885072020769484,vehicle_status_events,arming_state,2,1
1775885072020769484,vehicle_status_events,nav_state,18,2
1775885072858400652,vehicle_status_events,pre_flight_checks_pass,True,False
