received_time_ns,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
1775929532869481835,0.00010601860412862152,3.3488900953670964e-05,-0.34562867879867554,0.00016246919403783977,5.02230686834082e-05,9.054150723386556e-05
1775929532921310614,0.00010568011930445209,3.506286520860158e-05,-0.345630019903183,2.4945969926193357e-05,6.106540968175977e-05,9.14441352506401e-06
1775929532973632827,0.00010880375339183956,3.911366729880683e-05,-0.3456284701824188,0.00019921825150959194,0.000129348409245722,0.00010709743946790695
1775929533025783522,0.00010825083882082254,4.092115705134347e-05,-0.34562984108924866,4.6899669541744515e-05,8.84956752997823e-05,4.382280894787982e-05
1775929533078612511,0.00010935786849586293,4.6333261707331985e-05,-0.34563136100769043,0.0001100837325793691,0.00011291124974377453,3.819851917796768e-05
1775929533130648839,0.00010837190347956493,4.958510180586018e-05,-0.3456312417984009,4.3960113544017076e-05,9.553607378620654e-05,7.458643813151866e-05
1775929533182874637,0.00010860939073609188,5.460696775116958e-05,-0.34563136100769043,8.581527799833566e-05,9.21024548006244e-05,9.365041478304192e-05
1775929533236640252,0.00011104814620921388,5.7027536968234926e-05,-0.3456306755542755,7.698107219766825e-05,3.0876431992510334e-05,0.000137765659019351
1775929533238076038,0.00011166863987455145,6.194895831868052e-05,-0.34563103318214417,8.599225839134306e-05,0.0001286627957597375,0.00013051932910457253
1775929533290544073,0.00011111813364550471,6.527962250402197e-05,-0.345630407333374,4.51640116807539e-05,0.00010408407251816243,7.29702805983834e-05
1775929533342887501,0.00011040426034014672,6.951396790100262e-05,-0.34563127160072327,4.519195863394998e-05,0.00014935295621398836,6.313736230367795e-05
1775929533394743704,0.00011174051178386435,7.209920295281336e-05,-0.34562793374061584,0.00013249577023088932,9.190438140649348e-05,0.00011981950228800997
1775929533446729378,0.0001128338190028444,7.399412425002083e-05,-0.3456287086009979,9.704435797175393e-05,8.507061284035444e-05,9.142747148871422e-05
1775929533498588590,0.0001138534935307689,7.735307735856622e-05,-0.34562593698501587,0.00011712846753653139,0.0001044614109559916,0.0001245560561073944
1775929533550960370,0.00011360803182469681,8.108879410428926e-05,-0.345625102519989,4.982724931323901e-05,0.00010292648221366107,0.00010378028673585504
1775929533603322070,0.00011522387649165466,8.329629054060206e-05,-0.34562695026397705,9.928568033501506e-05,5.756137761636637e-05,6.084630877012387e-05
1775929533655215361,0.00011846549750771374,8.49687130539678e-05,-0.3456261456012726,0.00010395805293228477,8.268345118267462e-05,0.00013589566515292972
1775929533716930102,0.00011844038090202957,8.746873936615884e-05,-0.34562602639198303,0.00013367603241931647,9.642462828196585e-05,8.772179717198014e-05
1775929533769489687,0.00011842107051052153,9.267934365198016e-05,-0.3456256091594696,5.0997121434193105e-05,0.00019990105647593737,0.00013646324805449694
1775929533823136936,0.0001175019788206555,9.634550951886922e-05,-0.3456258177757263,1.783551851985976e-05,8.067408634815365e-05,4.903613080387004e-05
1775929533876003172,0.00011589578934945166,9.504946501692757e-05,-0.3456253111362457,3.706380448420532e-05,4.327790520619601e-06,9.031084482558072e-05
1775929533927863408,0.00011932486086152494,9.745271381689236e-05,-0.3456253409385681,0.0001763937616487965,0.00011518656538100913,6.078943988541141e-05
1775929533979669628,0.00012217549374327064,9.981694165617228e-05,-0.34562745690345764,0.00011624060425674543,0.00011717515008058399,1.37800434458768e-05
1775929534032308764,0.0001232180802617222,0.00010267965262755752,-0.34562623500823975,2.0097293599974364e-05,0.00010647898307070136,0.00012464678729884326
1775929534085366581,0.00012346304720267653,0.00010709287744248286,-0.34562787413597107,6.367042806232348e-05,0.0001342134492006153,8.085333683993667e-05
1775929534137626587,0.00012311767204664648,0.0001096153209800832,-0.345627099275589,5.624227924272418e-05,0.0001393854763591662,9.064827463589609e-05
1775929534138889544,0.00012476739357225597,0.00011172382801305503,-0.3456285297870636,6.978758028708398e-05,6.105346255935729e-05,5.8138888562098145e-05
1775929534190667829,0.00012852433428633958,0.00011540947161847726,-0.3456268310546875,0.0001775650744093582,0.00018665117386262864,0.00010651489719748497
1775929534243306645,0.0001313787215622142,0.00011431752500357106,-0.34562966227531433,8.994405652629212e-05,5.4785046813776717e-05,4.273684317013249e-05
1775929534295371774,0.0001346546341665089,0.00011715559958247468,-0.34563079476356506,8.460123353870586e-05,0.0001332382089458406,7.833092240616679e-05
1775929534348933744,0.00013528212730307132,0.0001193010393762961,-0.34563350677490234,6.008172204019502e-05,0.00016188040899578482,7.937909686006606e-06
1775929534401185365,0.00013795174891129136,0.00012240084470249712,-0.34563469886779785,8.450441964669153e-05,0.00012875044194515795,4.157919465797022e-05
1775929534452989282,0.00014283909695222974,0.00012165182852186263,-0.3430638015270233,0.00020126381423324347,-6.6535967562231235e-06,0.0021720854565501213
1775929534505227816,0.00014614999236073345,0.00012544212222564965,-0.3403230607509613,0.00015156346489675343,0.00019756628898903728,0.002207244746387005
1775929534557273553,0.00015010473725851625,0.00012860528659075499,-0.335338830947876,0.00013763377501163632,0.00015711260493844748,0.004304397385567427
1775929534609851026,0.0001549922308186069,0.00013041720376349986,-0.33084845542907715,0.00012605720257852226,0.00010183210542891175,0.004284916911274195
1775929534661648799,0.0001583884295541793,0.00013442736235447228,-0.3248843550682068,0.00011553434160305187,0.0001322439784416929,0.0062793861143291
1775929534713703336,0.00016050790145527571,0.00013576626952271909,-0.3199339509010315,9.376620437251404e-05,4.118217475479469e-05,0.0062503507360816
1775929534765962413,0.00016498954209964722,0.00013755321560893208,-0.3139721155166626,0.000173061533132568,7.449203258147463e-05,0.008200774900615215
1775929534819255587,0.00016815625713206828,0.00013900584599468857,-0.3091987073421478,0.00010638018284225836,7.545434345956892e-05,0.008147252723574638
1775929534871706598,0.00017333589494228363,0.00014245303464122117,-0.30357372760772705,0.00016530371794942766,0.00013961634249426425,0.010042120702564716
1775929534923549906,0.00017675802519079298,0.00014456875214818865,-0.29909855127334595,0.00010891680722124875,8.825222175801173e-05,0.01002075057476759
1775929534976055764,0.00018083504983223975,0.00014517926319967955,-0.2937960922718048,0.0001589949388289824,7.940699288155884e-05,0.011802741326391697
1775929535028190940,0.00018385291332378983,0.0001461105712223798,-0.28954222798347473,0.0001365190837532282,9.217669867211953e-05,0.01189087051898241
1775929535081342612,0.0001872131397249177,0.00014537041715811938,-0.28446415066719055,0.00015360154793597758,4.061416257172823e-05,0.01372880395501852
1775929535133998548,0.00019029196118935943,0.00014772979193367064,-0.28034287691116333,0.00010361407476011664,0.00012996868463233113,0.013896310701966286
1775929535186515606,0.00019300471467431635,0.0001499942154623568,-0.2754162549972534,0.00013078798656351864,0.0001705830218270421,0.01569933071732521
1775929535238977465,0.0001965106639545411,0.00015127196093089879,-0.27138054370880127,0.00015223122318275273,6.51004011160694e-05,0.015900276601314545
1775929535240997467,0.00020031575695611537,0.0001516140764579177,-0.2665802240371704,0.00012243259698152542,8.383466774830595e-05,0.017566531896591187
1775929535293020548,0.00020212598610669374,0.00015228186384774745,-0.26262199878692627,9.082180622499436e-05,9.992931154556572e-05,0.017747577279806137
1775929535345829058,0.00020306347869336605,0.000153167056851089,-0.25795087218284607,0.0001206736487802118,8.217827416956425e-05,0.01920703984797001
1775929535398003497,0.00020754702563863248,0.00015461407019756734,-0.2540745735168457,0.00014107825700193644,7.757312414469197e-05,0.019244812428951263
1775929535450811399,0.00021075895347166806,0.00015756412176415324,-0.24952009320259094,0.00013665476581081748,0.0001501768419984728,0.020673109218478203
1775929535502891695,0.00021524816111195832,0.00015990772226359695,-0.24575066566467285,0.00014780167839489877,8.113161311484873e-05,0.02081974782049656
1775929535555338866,0.00022019233438186347,0.00015944773622322828,-0.24135281145572662,0.0001051673389156349,0.0001379539753543213,0.02218851074576378
