scenario,amplitude_tier,config_key,config_name,run_id,study_name,config_profile,artifact_dir,analysis_status,baseline_command_throttle,baseline_min_actuator,baseline_sample_count,active_sample_count,aligned_sample_count,pulse_count_seen,triggered_pulse_count,pulse_trigger_rate,floor_hit_rate,baseline_false_trigger_rate,median_hit_latency_ms,recovery_rate,hit_pattern_consistency,accepted,failsafe_during_experiment,completion_reason,rejection_reasons,anomaly_summary,status,exit_code,research_acceptance
nominal,micro,nominal-micro,ardupilot_a2_stabilize_boundary_readiness_nominal_micro.yaml,20260415_090338_ardupilot_manual_pulse_train_throttle_r1,ardupilot_a2_stabilize_boundary_readiness_nominal_micro,ardupilot_a2_stabilize_boundary_readiness_nominal_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090338_ardupilot_manual_pulse_train_throttle_r1,ok,0.55,0.1,157,33,190,5,3,0.6,0.5757575757575758,0.39490445859872614,0.0,0.4444444444444444,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,micro,nominal-micro,ardupilot_a2_stabilize_boundary_readiness_nominal_micro.yaml,20260415_090412_ardupilot_manual_pulse_train_throttle_r2,ardupilot_a2_stabilize_boundary_readiness_nominal_micro,ardupilot_a2_stabilize_boundary_readiness_nominal_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090412_ardupilot_manual_pulse_train_throttle_r2,ok,0.55,0.1,157,34,191,5,3,0.6,0.6176470588235294,0.3821656050955414,0.0,0.5,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,micro,nominal-micro,ardupilot_a2_stabilize_boundary_readiness_nominal_micro.yaml,20260415_090446_ardupilot_manual_pulse_train_throttle_r3,ardupilot_a2_stabilize_boundary_readiness_nominal_micro,ardupilot_a2_stabilize_boundary_readiness_nominal_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090446_ardupilot_manual_pulse_train_throttle_r3,ok,0.55,0.1,157,32,189,5,3,0.6,0.59375,0.39490445859872614,0.0,0.5,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,micro,nominal-micro,ardupilot_a2_stabilize_boundary_readiness_nominal_micro.yaml,20260415_090520_ardupilot_manual_pulse_train_throttle_r4,ardupilot_a2_stabilize_boundary_readiness_nominal_micro,ardupilot_a2_stabilize_boundary_readiness_nominal_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090520_ardupilot_manual_pulse_train_throttle_r4,ok,0.55,0.1,156,34,190,5,3,0.6,0.5882352941176471,0.391025641025641,0.0,0.5,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,micro,nominal-micro,ardupilot_a2_stabilize_boundary_readiness_nominal_micro.yaml,20260415_090555_ardupilot_manual_pulse_train_throttle_r5,ardupilot_a2_stabilize_boundary_readiness_nominal_micro,ardupilot_a2_stabilize_boundary_readiness_nominal_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090555_ardupilot_manual_pulse_train_throttle_r5,ok,0.55,0.1,156,34,190,5,3,0.6,0.6176470588235294,0.3782051282051282,0.0,0.5,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,probe,nominal-probe,ardupilot_a2_stabilize_boundary_readiness_nominal_probe.yaml,20260415_090629_ardupilot_manual_pulse_train_throttle_r1,ardupilot_a2_stabilize_boundary_readiness_nominal_probe,ardupilot_a2_stabilize_boundary_readiness_nominal_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090629_ardupilot_manual_pulse_train_throttle_r1,ok,0.55,0.1,158,32,190,5,3,0.6,0.59375,0.3924050632911392,0.0,0.5,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,probe,nominal-probe,ardupilot_a2_stabilize_boundary_readiness_nominal_probe.yaml,20260415_090703_ardupilot_manual_pulse_train_throttle_r2,ardupilot_a2_stabilize_boundary_readiness_nominal_probe,ardupilot_a2_stabilize_boundary_readiness_nominal_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090703_ardupilot_manual_pulse_train_throttle_r2,ok,0.55,0.1,157,34,191,5,3,0.6,0.6176470588235294,0.3821656050955414,0.0,0.5,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,probe,nominal-probe,ardupilot_a2_stabilize_boundary_readiness_nominal_probe.yaml,20260415_090737_ardupilot_manual_pulse_train_throttle_r3,ardupilot_a2_stabilize_boundary_readiness_nominal_probe,ardupilot_a2_stabilize_boundary_readiness_nominal_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090737_ardupilot_manual_pulse_train_throttle_r3,ok,0.55,0.1,158,33,191,5,3,0.6,0.6060606060606061,0.3860759493670886,0.0,0.5,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,probe,nominal-probe,ardupilot_a2_stabilize_boundary_readiness_nominal_probe.yaml,20260415_090811_ardupilot_manual_pulse_train_throttle_r4,ardupilot_a2_stabilize_boundary_readiness_nominal_probe,ardupilot_a2_stabilize_boundary_readiness_nominal_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090811_ardupilot_manual_pulse_train_throttle_r4,ok,0.55,0.1,159,32,191,5,3,0.6,0.625,0.3836477987421384,0.0,0.5,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,probe,nominal-probe,ardupilot_a2_stabilize_boundary_readiness_nominal_probe.yaml,20260415_090846_ardupilot_manual_pulse_train_throttle_r5,ardupilot_a2_stabilize_boundary_readiness_nominal_probe,ardupilot_a2_stabilize_boundary_readiness_nominal_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090846_ardupilot_manual_pulse_train_throttle_r5,ok,0.55,0.1,158,32,190,5,3,0.6,0.59375,0.3924050632911392,0.0,0.47368421052631576,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
