received_time_ns,event_type,field_name,previous_value,current_value
1775896524207650252,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775896524207650252,vehicle_control_mode_events,flag_control_auto_enabled,True,False
1775896525460166623,vehicle_control_mode_events,flag_armed,False,True
1775896525460166623,vehicle_control_mode_events,flag_control_manual_enabled,True,False
1775896525460166623,vehicle_control_mode_events,flag_control_offboard_enabled,False,True
1775896535382518461,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775896535382518461,vehicle_control_mode_events,flag_control_offboard_enabled,True,False
1775896543408595221,vehicle_control_mode_events,flag_control_manual_enabled,True,False
1775896543408595221,vehicle_control_mode_events,flag_control_auto_enabled,False,True
1775896551475710938,vehicle_control_mode_events,flag_armed,True,False
1775896551475710938,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775896551475710938,vehicle_control_mode_events,flag_control_auto_enabled,True,False
