received_time_ns,event_type,field_name,previous_value,current_value
1775896524208697145,vehicle_status_events,nav_state,4,2
1775896524208697145,vehicle_status_events,pre_flight_checks_pass,True,False
1775896524325296525,vehicle_status_events,pre_flight_checks_pass,False,True
1775896525460015970,vehicle_status_events,arming_state,1,2
1775896525460015970,vehicle_status_events,nav_state,2,14
1775896535382396959,vehicle_status_events,nav_state,14,2
1775896543418684549,vehicle_status_events,nav_state,2,18
1775896551477262527,vehicle_status_events,arming_state,2,1
1775896551477262527,vehicle_status_events,nav_state,18,2
1775896552196457192,vehicle_status_events,pre_flight_checks_pass,True,False
