received_time_ns,timestamp,timestamp_sample,x,y,z,vx,vy,vz,heading,dist_bottom,dist_bottom_valid,xy_valid,z_valid,v_xy_valid,v_z_valid
1775897344877496675,1775897343903631,1775897343899631,0.34349510073661804,0.08164280652999878,-0.030449502170085907,-0.025954987853765488,0.015325671061873436,-0.05116521939635277,1.5692641735076904,0.12591451406478882,True,True,True,True,True
1775897344884515796,1775897343911631,1775897343907631,0.34266990423202515,0.08056759089231491,-0.030018514022231102,-0.026282839477062225,0.014857243746519089,-0.051080573350191116,1.5692663192749023,0.1239682212471962,True,True,True,True,True
1775897344902787960,1775897343927631,1775897343919631,0.3418704867362976,0.0795406773686409,-0.029627958312630653,-0.026603667065501213,0.014421670697629452,-0.051009971648454666,1.569270372390747,0.12323769181966782,True,True,True,True,True
1775897344911276765,1775897343935631,1775897343927631,0.3410215377807617,0.07843027263879776,-0.02917502261698246,-0.02694232203066349,0.013934970833361149,-0.05091942474246025,1.5692739486694336,0.12244359403848648,True,True,True,True,True
1775897344920037082,1775897343943631,1775897343935631,0.3402102589607239,0.07738865911960602,-0.028778428211808205,-0.027248624712228775,0.013498696498572826,-0.05083299055695534,1.56927490234375,0.12170463055372238,True,True,True,True,True
1775897344936767915,1775897343955631,1775897343943631,0.3394303023815155,0.07640451937913895,-0.028429025784134865,-0.027530379593372345,0.013075132854282856,-0.05078130215406418,1.5692765712738037,0.12101160734891891,True,True,True,True,True
1775897344939867600,1775897343963631,1775897343951631,0.3386765420436859,0.07546907663345337,-0.02811981737613678,-0.02782163955271244,0.012688140384852886,-0.05074598267674446,1.5692764520645142,0.120357446372509,True,True,True,True,True
1775897344945663716,1775897343971631,1775897343959631,0.33794495463371277,0.07457546889781952,-0.027884971350431442,-0.028107214719057083,0.012320016510784626,-0.05072434991598129,1.5692771673202515,0.11861135065555573,True,True,True,True,True
1775897344966771669,1775897343987631,1775897343975631,0.33661943674087524,0.07291566580533981,-0.02749842405319214,-0.028490854427218437,0.011667351238429546,-0.05073631554841995,1.5692821741104126,0.1175253689289093,True,True,True,True,True
1775897344980031469,1775897344003631,1775897343991631,0.33596551418304443,0.07168850302696228,-0.02798031084239483,-0.028349656611680984,0.011248200200498104,-0.050817377865314484,1.5692808628082275,0.10536670684814453,True,True,True,True,True
1775897344987361140,1775897344011631,1775897343999631,0.3356199860572815,0.07101695984601974,-0.028190694749355316,-0.02827311120927334,0.011011699214577675,-0.050846803933382034,1.5692760944366455,0.10521549731492996,True,True,True,True,True
1775897345009499750,1775897344019631,1775897344007631,0.33528655767440796,0.07038570940494537,-0.028452593833208084,-0.028214937075972557,0.010791935957968235,-0.050867073237895966,1.569270372390747,0.10409976541996002,True,True,True,True,True
1775897345016256734,1775897344027631,1775897344015631,0.33496320247650146,0.06978842616081238,-0.028725633397698402,-0.028147434815764427,0.010589269921183586,-0.050884902477264404,1.5692639350891113,0.10400684177875519,True,True,True,True,True
