feature,future_state_roll,future_state_pitch,future_state_yaw,future_state_roll_rate,future_state_pitch_rate,future_state_yaw_rate,future_state_position_x,future_state_position_y,future_state_position_z,future_state_velocity_x,future_state_velocity_y,future_state_velocity_z,future_state_altitude,future_state_vertical_speed,future_state_heading
command_roll,0.0,0.0,0.0,0.0,0.0,0.0,1517646.766172912,-6401564.876834054,0.768205705203383,-0.051989504722990715,0.5728698403482624,0.5431915094358799,-0.768205705203383,-0.5431915094358799,0.0
command_pitch,0.0,0.0,0.0,0.0,-0.0001695945350391553,-0.00026970136633977537,-6558362.809742421,27663729.99185082,-1.7066563720149892,0.17598468032522133,-1.5006109519429431,-0.7217984964589743,1.7066563720149892,0.7217984964589743,0.0
command_yaw,0.0,0.0,0.0,0.0,0.0,0.0,14056600.923229564,-59291928.327462904,2.993800593318616,-0.6726296030529286,2.912971555312668,1.695497822549478,-2.993800593318616,-1.695497822549478,0.0
command_throttle,0.0,0.0,0.0,-0.06897958299231893,0.04357698155726609,0.20173865171407362,6429251.397626287,-27119122.103794396,6.523269616305804,-0.2921194749587087,2.296112072152116,1.772059659032001,-6.523269616305804,-1.772059659032001,0.0
roll,0.9880482129835638,0.0,0.0,3.200387048467118,-1.4514247020818845,-1.5914401144689911,-3079997.2573078177,12991692.141095333,4.876291825672438,-0.8394947473223237,-0.7216146540191962,2.43297608890035,-4.876291825672438,-2.43297608890035,0.0
pitch,0.0,0.9950307254432803,0.0,0.3129145957924542,4.2543210149119055,0.46631764170279677,-5995470.114124809,25289400.815777205,4.547410012502729,-2.5843702736031284,0.03964786418818947,1.2104567470357825,-4.547410012502729,-1.2104567470357825,0.0
yaw,0.0,0.0,0.9876773343389771,1.2359274672610971,0.6658436644790715,-0.3371328242654908,2399617.061289544,-10121782.995478883,-2.476616623062337,2.840297774770953,-0.566135644496596,-0.7114905049831821,2.476616623062337,0.7114905049831821,0.9876773343389771
roll_rate,0.0,0.0,0.0,0.8563670625650951,0.0028811760169642642,-0.06796561354040931,49021.42849628802,-206776.44958336273,-0.21145422118867288,0.07474022710648268,-0.016571838197978573,-0.04568991981011373,0.21145422118867288,0.04568991981011373,0.0
pitch_rate,0.0,0.0,0.0,-0.024171955385182815,0.765308798655555,-0.06735168338194117,-4111.620691040924,17343.264037950576,0.008096715565829728,-0.00026280540817389026,0.0,0.02307894234666212,-0.008096715565829728,-0.02307894234666212,0.0
yaw_rate,0.0,0.0,0.0,0.0010148672483331774,-0.03452948593452475,0.8247392321921827,-747372.796840874,3152481.514432417,0.7942636027187067,-0.6109424906853789,0.030984108462791284,0.3432210461827234,-0.7942636027187067,-0.3432210461827234,0.0
position_x,0.0,0.0,0.0,0.0,0.0,0.0,0.900809020083838,-3.799688820088773,1.3370621027735322e-09,-9.225283760340239e-10,0.0,5.105729678901294e-09,-1.3370621027735322e-09,-5.105729678901294e-09,0.0
position_y,0.0,0.0,0.0,0.0,0.0,0.0,-2.055644476296673e-09,7.558617345034059e-09,-2.3744445994387402e-14,0.0,0.0,-1.2449874745378149e-15,2.3744445994387402e-14,1.2449874745378149e-15,0.0
position_z,0.0,0.0,0.0,0.0,0.0,0.0,-4861.801014478898,20507.376413280785,0.9958367724521957,-0.018893863028927337,0.05202262756389221,0.1293397002037297,-0.9958367724521957,-0.1293397002037297,0.0
velocity_x,0.0,0.0,0.0,0.0,0.0,0.0,-1146968.2068549134,4838006.407905012,0.2708558329049917,1.2022399638189432,-0.5258543960247357,0.24794234462676967,-0.2708558329049917,-0.24794234462676967,0.0
velocity_y,0.0,0.0,0.0,0.0,0.0,0.0,144040.31377893285,-607573.940791539,-0.13520675556270445,0.09576179843793521,1.0169055676793741,-0.16310364795451743,0.13520675556270445,0.16310364795451743,0.0
velocity_z,0.0,0.0,0.0,0.0,0.0,0.0,-129667.32591125803,546947.7045452937,0.12556733872908044,0.04423019922828092,-0.1619093736354602,1.2326538636999547,-0.12556733872908044,-1.2326538636999547,0.0
altitude,0.0,0.0,0.0,0.0,0.0,0.0,14239.349523939434,-60062.717469675,0.0029811802767588207,-0.012171778269636967,0.04055636594265198,0.15311758352990226,-0.0029811802767588207,-0.15311758352990226,0.0
vertical_speed,0.0,0.0,0.0,0.0,0.0,0.0,-44614.86623252863,188189.103547658,-0.010369019655121645,0.02853818138187244,-0.11744598620950272,-0.47956747147273693,0.010369019655121645,0.47956747147273693,0.0
heading,0.0,0.0,0.00039231553800302333,-1.1468649473234394,-0.3659912761888321,0.28472237762393526,3070790.5491684577,-12952847.466019377,4.78774299692045,-3.629435075553888,2.7428227082225387,1.27977778982283,-4.78774299692045,-1.27977778982283,0.00039231553800302333
integrator_yaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
control_output_roll,0.0,0.0,0.0,0.0,0.0,0.0,51291089.69370695,-216350215.89293072,-0.7319549976633919,-2.1101490740323623,5.64868858171901,-0.10798475010907793,0.7319549976633919,0.10798475010907793,0.0
control_output_pitch,0.0,0.0,0.0,0.0,0.0,0.0,24076769.697461396,-101557723.74895613,-0.5168265413675982,-0.5953549776820161,1.1393325410760924,-1.1805347879694605,0.5168265413675982,1.1805347879694605,0.0
