received_time_ns,timestamp,roll,pitch,yaw,thrust_body_x,thrust_body_y,thrust_body_z,reset_integral
1775898081267305728,4324000,0.0025203933473676443,0.0035184547305107117,-0.0011043611448258162,0.0,0.0,-0.0010000000474974513,False
1775898081275305728,4332000,0.0025651853065937757,0.0035563663113862276,-0.0022062542848289013,0.0,0.0,-0.0010000000474974513,False
1775898081287305728,4344000,0.0027350757736712694,0.00367103167809546,-0.0017673596739768982,0.0,0.0,-0.0010000000474974513,False
1775898081311305728,4368000,0.0029177535325288773,0.0037815305404365063,-0.0006763666169717908,0.0,0.0,-0.0010000000474974513,False
1775898081327305728,4384000,0.003058402566239238,0.003881420474499464,-0.0013177887303754687,0.0,0.0,-0.0010000000474974513,False
1775898081347305728,4404000,0.003187737427651882,0.003967045806348324,-0.0006491090753115714,0.0,0.0,-0.0010000000474974513,False
1775898081367305728,4424000,0.003267664462327957,0.003991488367319107,-0.00035910517908632755,0.0,0.0,-0.0010000000474974513,False
1775898081391305728,4448000,0.0034012701362371445,0.004075277131050825,-0.00013682193821296096,0.0,0.0,-0.0010000000474974513,False
1775898081407305728,4464000,0.003379284171387553,0.004161741118878126,-0.00011574122618185356,0.0,0.0,-0.0010000000474974513,False
1775898081427305728,4484000,0.0029710549861192703,0.004411968868225813,-0.00014447591092903167,0.0,0.0,-0.0010000000474974513,False
1775898081451305728,4508000,0.002541526220738888,0.004643016494810581,7.260404345288407e-06,0.0,0.0,-0.0010000000474974513,False
1775898081467305728,4524000,0.0021471520885825157,0.00481394724920392,4.736452683573589e-05,0.0,0.0,-0.0010000000474974513,False
1775898081487305728,4544000,0.001687829615548253,0.005010494031012058,0.0001636538509046659,0.0,0.0,-0.0010000000474974513,False
1775898081507305728,4564000,0.001208551344461739,0.005205230787396431,6.73909526085481e-05,0.0,0.0,-0.0010000000474974513,False
1775898081527305728,4584000,0.0006754622445441782,0.0054261223413050175,0.00017175343236885965,0.0,0.0,-0.0010000000474974513,False
1775898081547305728,4604000,0.0001429226394975558,0.005625174380838871,0.00010013299470301718,0.0,0.0,-0.0010000000474974513,False
1775898081567305728,4624000,-0.0004034131998196244,0.005848930217325687,0.00020822862279601395,0.0,0.0,-0.0010000000474974513,False
1775898081587305728,4644000,-0.0009353462373837829,0.006029185838997364,0.00019045734370592982,0.0,0.0,-0.0010000000474974513,False
1775898081607305728,4664000,-0.0014631657395511866,0.006212392821907997,0.0003827706095762551,0.0,0.0,-0.0010000000474974513,False
1775898081627305728,4684000,-0.0019654561765491962,0.006367396097630262,0.00019424964557401836,0.0,0.0,-0.0010000000474974513,False
1775898081647305728,4704000,-0.002114168368279934,0.0065055894665420055,0.0006733970367349684,0.0,0.0,-0.0010000000474974513,False
1775898081667305728,4724000,-0.0021839626133441925,0.006624218542128801,0.0003320941177662462,0.0,0.0,-0.0010000000474974513,False
1775898081687305728,4744000,-0.0022177931386977434,0.006732686888426542,0.0006560150650329888,0.0,0.0,-0.0010000000474974513,False
1775898081707305728,4764000,-0.0022177156060934067,0.0068182675167918205,0.00011292578710708767,0.0,0.0,-0.0010000000474974513,False
1775898081719305728,4776000,-0.0022055881563574076,0.00686252536252141,0.00021941642626188695,0.0,0.0,-0.0010000000474974513,False
1775898081747305728,4804000,-0.002136725466698408,0.006936389021575451,0.00020054263586644083,0.0,0.0,-0.0010000000474974513,False
1775898081767305728,4824000,-0.0020621055737137794,0.00696210702881217,0.0001744859473546967,0.0,0.0,-0.0010000000474974513,False
1775898081787305728,4844000,-0.002735675312578678,0.007693605497479439,-8.749379776418209e-05,0.0,0.0,-0.0010000000474974513,False
1775898081807305728,4864000,-0.003470194526016712,0.008488181978464127,-0.00013386507635004818,0.0,0.0,-0.0010000000474974513,False
1775898081835305728,4892000,-0.004361412487924099,0.00950960349291563,-0.00027542057796381414,0.0,0.0,-0.0010000000474974513,False
1775898081847305728,4904000,-0.004696979653090239,0.009905654937028885,-0.00017273663252126426,0.0,0.0,-0.0010000000474974513,False
1775898081851305728,4908000,-0.004807073622941971,0.010030200704932213,-0.0003458932042121887,0.0,0.0,-0.0010000000474974513,False
1775898081887305728,4944000,-0.005354221444576979,0.01063775084912777,-0.0001840623444877565,0.0,0.0,-0.0010000000474974513,False
1775898081907305728,4964000,-0.006120368838310242,0.011491340585052967,-0.0005152716767042875,0.0,0.0,-0.0010000000474974513,False
1775898081927305728,4984000,-0.006692960392683744,0.012178801000118256,-0.00020297149603720754,0.0,0.0,-0.0010000000474974513,False
