received_time_ns,event_type,field_name,previous_value,current_value
1775658362218559294,vehicle_status_events,nav_state,4,2
1775658362218559294,vehicle_status_events,pre_flight_checks_pass,True,False
1775658362325044838,vehicle_status_events,pre_flight_checks_pass,False,True
1775658362606979889,vehicle_status_events,arming_state,1,2
1775658362606979889,vehicle_status_events,nav_state,2,14
1775658372461598090,vehicle_status_events,nav_state,14,2
1775658380514534259,vehicle_status_events,nav_state,2,18
1775658386094788512,vehicle_status_events,arming_state,2,1
1775658386094788512,vehicle_status_events,nav_state,18,2
1775658386866471995,vehicle_status_events,pre_flight_checks_pass,True,False
