received_time_ns,timestamp,timestamp_sample,reversible_flags,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6,motor_7,motor_8,motor_9,motor_10,motor_11,motor_12,motors_peak
1775897555868943104,2840000,2840000,0,0.0,2.9037872367049244e-13,2.6398067759503263e-13,0.0,nan,nan,nan,nan,nan,nan,nan,nan,2.9037872367049244e-13
1775897555872943104,2844000,2844000,0,1.177799177631833e-12,0.0,6.411902259140234e-13,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.177799177631833e-12
1775897555968943104,2940000,2940000,0,0.0,8.978693439784524e-13,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,8.978693439784524e-13
1775897556072943104,3044000,3044000,0,1.6256440638073855e-12,0.0,1.93345339738471e-13,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.6256440638073855e-12
1775897556168943104,3140000,3140000,0,7.189821654707274e-13,0.0,0.0,7.908803278076915e-13,nan,nan,nan,nan,nan,nan,nan,nan,7.908803278076915e-13
1775897556272943104,3244000,3244000,0,5.558878010680779e-12,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,5.558878010680779e-12
1775897556368943104,3340000,3340000,0,0.0,0.0,0.0,1.918966287955959e-12,nan,nan,nan,nan,nan,nan,nan,nan,1.918966287955959e-12
1775897556472943104,3444000,3444000,0,0.0,9.926071466506703e-13,7.555674835790782e-14,8.263822568951862e-13,nan,nan,nan,nan,nan,nan,nan,nan,9.926071466506703e-13
1775897556572943104,3544000,3544000,0,1.5677424636262316e-12,0.0,5.708215150557194e-12,0.0,nan,nan,nan,nan,nan,nan,nan,nan,5.708215150557194e-12
1775897556672943104,3644000,3644000,0,0.0,0.0,0.0,2.502155817610263e-12,nan,nan,nan,nan,nan,nan,nan,nan,2.502155817610263e-12
1775897556772943104,3744000,3744000,0,2.721757931881119e-12,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,2.721757931881119e-12
1775897556872943104,3844000,3844000,0,1.4795456526606188e-14,1.8027144447346766e-12,0.0,1.627500116282727e-14,nan,nan,nan,nan,nan,nan,nan,nan,1.8027144447346766e-12
1775897556972943104,3944000,3944000,0,0.0012822413118556142,0.002475917339324951,0.0002417897921986878,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.002475917339324951
1775897557072943104,4044000,4044000,0,0.0011423103278502822,0.002101082354784012,0.0007566077983938158,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.002101082354784012
1775897557172943104,4144000,4144000,0,0.0008634007535874844,0.0015930793015286326,0.0011209488147869706,0.0004225716693326831,nan,nan,nan,nan,nan,nan,nan,nan,0.0015930793015286326
1775897557272943104,4244000,4244000,0,0.0006879265420138836,0.0012498510768637061,0.0012831888161599636,0.0007790340459905565,nan,nan,nan,nan,nan,nan,nan,nan,0.0012831888161599636
1775897557372943104,4344000,4344000,0,0.0007585504790768027,0.0012827343307435513,0.0010811827378347516,0.000877533049788326,nan,nan,nan,nan,nan,nan,nan,nan,0.0012827343307435513
1775897557472943104,4444000,4444000,0,0.0006330169271677732,0.0010370195377618074,0.0010880979243665934,0.0012418660335242748,nan,nan,nan,nan,nan,nan,nan,nan,0.0012418660335242748
1775897557572943104,4544000,4544000,0,0.0008701591868884861,0.0009042280726134777,0.000943484716117382,0.0012821285054087639,nan,nan,nan,nan,nan,nan,nan,nan,0.0012821285054087639
1775897557680943104,4652000,4652000,0,0.001142987166531384,0.0005386542761698365,0.0008797642076388001,0.0014385950053110719,nan,nan,nan,nan,nan,nan,nan,nan,0.0014385950053110719
1775897557776943104,4748000,4748000,0,0.00147489202208817,0.00024729158030822873,0.0008088998147286475,0.0014689171221107244,nan,nan,nan,nan,nan,nan,nan,nan,0.00147489202208817
1775897557872943104,4844000,4844000,0,0.0017764385556802154,6.380073318723589e-05,0.0008534057415090501,0.0013063554652035236,nan,nan,nan,nan,nan,nan,nan,nan,0.0017764385556802154
1775897557972943104,4944000,4944000,0,0.0017678547883406281,9.861479338724166e-05,0.0009546942310407758,0.0011788367992267013,nan,nan,nan,nan,nan,nan,nan,nan,0.0017678547883406281
1775897558076943104,5048000,5048000,0,0.0020197564736008644,2.1731982997152954e-05,0.0014550634659826756,0.0005034484202042222,nan,nan,nan,nan,nan,nan,nan,nan,0.0020197564736008644
1775897558172943104,5144000,5144000,0,0.002003862988203764,4.24908694185433e-06,0.0015169656835496426,0.00047492279554717243,nan,nan,nan,nan,nan,nan,nan,nan,0.002003862988203764
1775897558272943104,5244000,5244000,0,0.0020032604224979877,3.5864734400092857e-06,0.001530790119431913,0.0004623631830327213,nan,nan,nan,nan,nan,nan,nan,nan,0.0020032604224979877
1775897558372943104,5344000,5344000,0,0.0020000003278255463,0.0,0.0011681381147354841,0.0008318622130900621,nan,nan,nan,nan,nan,nan,nan,nan,0.0020000003278255463
1775897558472943104,5444000,5444000,0,0.0016923031071200967,0.0003239366924390197,0.0009408580372110009,0.0010429027024656534,nan,nan,nan,nan,nan,nan,nan,nan,0.0016923031071200967
