received_time_ns,timestamp,timestamp_sample,xyz_x,xyz_y,xyz_z,xyz_derivative_x,xyz_derivative_y,xyz_derivative_z
1775885935686002176,2816000,2816000,9.805889021663461e-06,0.0001273441594094038,-9.688489626569208e-06,0.006141942925751209,0.00960400328040123,0.006949526723474264
1775885935690002176,2820000,2820000,2.9812024877173826e-05,0.00013720114657189697,-6.985804066061974e-05,0.005651716608554125,0.006534844636917114,-0.0025041119661182165
1775885935698002176,2828000,2828000,0.00015328392328228801,-5.537992183235474e-05,-2.587187736935448e-05,0.01187919732183218,-0.016578596085309982,0.005969689227640629
1775885935706002176,2836000,2836000,0.00012815833906643093,-3.460228253970854e-05,7.833670679247007e-05,0.0007871233392506838,0.0017963938880711794,0.007868655025959015
1775885935718002176,2848000,2848000,9.23396073631011e-05,0.000392068614019081,-1.5464522221009247e-05,-0.003011418739333749,0.020160427317023277,-0.0006191380089148879
1775885935726002176,2856000,2856000,-0.0001174996214103885,0.00012053274986101314,0.000195720000192523,-0.017411882057785988,-0.01679338701069355,0.01645263284444809
1775885935734002176,2864000,2864000,-5.8067649661097676e-05,-4.031879871035926e-05,5.197130303713493e-05,-0.0004662879800889641,-0.01753929629921913,-0.008162906393408775
1775885935746002176,2876000,2876000,0.00014263915363699198,7.749904762022197e-05,-3.1627644148102263e-07,0.01527709886431694,0.008648648858070374,-0.0006492751999758184
1775885935758002176,2888000,2888000,0.00017588696209713817,1.994288686546497e-05,9.395088272867724e-05,-0.005487950053066015,-0.0018828317988663912,0.006878189276903868
1775885935766002176,2896000,2896000,-6.004830720485188e-05,5.557444455916993e-05,9.458112617721781e-05,-0.01806231401860714,0.00022662433912046254,0.0027542486786842346
1775885935774002176,2904000,2904000,2.9768496460746974e-05,4.62518582935445e-05,-4.615166471921839e-05,0.0009732675389386714,0.0018491725204512477,-0.011366127990186214
1775885935786002176,2916000,2916000,-2.0698476873803884e-05,-1.58349794219248e-05,0.00014250660024117678,-0.010356714949011803,-0.010876896791160107,0.012767339125275612
1775885935798002176,2928000,2928000,-0.0001561033568577841,0.00024121788737829775,5.852161848451942e-05,-0.004069722723215818,0.020848849788308144,-0.00557401729747653
1775885935806002176,2936000,2936000,2.645629683684092e-05,0.00015126382641028613,0.00015883504238445312,0.011103029362857342,-0.004458569455891848,0.008422457613050938
1775885935818002176,2948000,2948000,-9.611918358132243e-05,0.00012992185656912625,-8.481674012728035e-05,-0.0018943030154332519,0.004531530197709799,-0.021453993394970894
1775885935826002176,2956000,2956000,-0.00010629511962179095,4.616522346623242e-05,-0.0001224030420416966,0.0002978857373818755,-0.006277182605117559,-0.009658953174948692
1775885935838002176,2968000,2968000,-5.0720871513476595e-05,0.00011024170817108825,0.00013177344226278365,0.000736688612960279,0.0058456165716052055,0.019162092357873917
1775885935846002176,2976000,2976000,-6.966418004594743e-05,0.0001331402745563537,0.0001123442270909436,-0.0010281366994604468,0.0030141728930175304,0.0025389131624251604
1775885935858002176,2988000,2988000,-1.958004941116087e-05,7.099873619154096e-05,0.00012113406410207972,0.001353254308924079,-0.00124673533719033,0.003601702628657222
1775885935866002176,2996000,2996000,0.00014995745732448995,-6.831379141658545e-05,-6.907209899509326e-05,0.015543356537818909,-0.012762270867824554,-0.016135599464178085
1775885935878002176,3008000,3008000,-3.2969088351819664e-05,0.00015506843919865787,-0.0001188791065942496,-0.016369778662919998,0.014827347360551357,-0.001447568298317492
1775885935886002176,3016000,3016000,-0.00016711301577743143,5.748456533183344e-05,-6.696252239635214e-05,-0.01678142324090004,-0.0037342251744121313,0.004203141666948795
1775885935898002176,3028000,3028000,-0.0002207245270255953,0.0001617996022105217,4.555727628030581e-06,-0.0033295126631855965,0.0038185531739145517,0.0020964848808944225
1775885935906002176,3036000,3036000,-0.00034064470673911273,0.0001947975979419425,-2.1568672309513204e-05,-0.010662738233804703,0.003671797690913081,-0.000990842585451901
1775885935918002176,3048000,3048000,2.0610767023754306e-05,0.00010947426198981702,1.00202360044932e-05,0.02351633831858635,-0.006744405720382929,0.00974752102047205
1775885935926002176,3056000,3056000,6.664847751380876e-05,-4.384959174785763e-05,0.0001265816972590983,0.010857116430997849,-0.014509965665638447,0.008160805329680443
1775885935938002176,3068000,3068000,-0.0002205539058195427,0.00011347806866979226,0.00012475736730266362,-0.019354792311787605,0.009820417501032352,0.004284502938389778
1775885935946002176,3076000,3076000,-0.00012086913920938969,8.679145139467437e-06,3.0859129765303805e-05,0.005082063842564821,-0.006127739325165749,-0.00811209250241518
1775885935954002176,3084000,3084000,6.442978337872773e-05,-7.637077942490578e-05,-4.840788460569456e-05,0.017869234085083008,-0.008163455873727798,-0.0066530765034258366
1775885935970002176,3100000,3096000,4.2397095967317e-05,5.5028849601512775e-05,-9.883187158266082e-05,-0.0067248777486383915,0.004290164913982153,-0.009390497580170631
1775885935978002176,3108000,3108000,0.00017469255544710904,-2.7248026526649483e-05,0.0002645710192155093,0.01689031533896923,-0.004724529106169939,0.025056669488549232
1775885935986002176,3116000,3116000,-1.033945954986848e-05,-9.9007404060103e-05,0.0001372053666273132,-0.01727619580924511,-0.007407759316265583,-0.0050396122969686985
1775885935994002176,3124000,3124000,-0.0003177067555952817,-6.693262548651546e-05,0.00015094380069058388,-0.026479102671146393,0.0016761948354542255,0.0005239641177468002
1775885936006002176,3136000,3136000,-0.00019781601440627128,9.959741146303713e-05,-6.995740841375664e-05,0.0029913512989878654,0.007844021543860435,-0.011292827315628529
1775885936018002176,3148000,3148000,1.5581790648866445e-05,1.989337761187926e-05,4.508030178840272e-05,0.01082670222967863,-0.002439916832372546,0.005006430670619011
1775885936026002176,3156000,3156000,-0.00015671142318751663,8.467381849186495e-05,-5.7832843594951555e-05,-0.011761006899178028,0.004633991047739983,-0.007485982961952686
1775885936038002176,3168000,3168000,-0.00015239555796142668,0.00025726031162776053,-2.2561645891983062e-05,0.005734029226005077,0.00443425914272666,-0.0005268323584459722
1775885936046002176,3176000,3176000,-1.047208297677571e-05,2.3717557269264944e-05,1.915542088681832e-05,0.01252834964543581,-0.016868362203240395,0.004823992028832436
1775885936058002176,3188000,3188000,-3.433402525843121e-05,0.0002346607216168195,0.00014016975183039904,-0.0028605859261006117,0.012178384698927402,0.002427817555144429
1775885936066002176,3196000,3196000,2.6299279852537438e-05,0.0002929330221377313,0.00013483257498592138,0.006002187728881836,0.009085389785468578,-0.00014730273687746376
1775885936078002176,3208000,3208000,-9.228270209860057e-05,9.125752694671974e-05,-0.00019926913955714554,-0.012368357740342617,-0.013258117251098156,-0.0181050393730402
1775885936086002176,3216000,3216000,-0.00015770757454447448,9.153916471404955e-05,0.00013910597772337496,-0.006055808160454035,-0.004721989389508963,0.023059770464897156
1775885936098002176,3228000,3228000,-8.553318912163377e-05,3.9652164559811354e-05,0.0001484502136008814,-0.0025637862272560596,-0.003258379874750972,0.00239940220490098
1775885936106002176,3236000,3236000,-0.0002705033402889967,1.5029011592559982e-05,2.9607594115077518e-05,-0.0155115257948637,-0.0024529050569981337,-0.00774375768378377
1775885936118002176,3248000,3248000,1.716412225505337e-05,0.0002969857305288315,0.00016890137339942157,0.015552214346826077,0.017763465642929077,0.0081739267334342
1775885936130002176,3260000,3260000,-2.1992173060425557e-05,-5.8014888054458424e-05,-6.236033186723944e-06,0.001271464629098773,-0.026415161788463593,-0.010646812617778778
1775885936138002176,3268000,3268000,-6.39902864350006e-05,-6.545337964780629e-05,-2.3799728296580724e-05,-0.005529144778847694,-0.005678818095475435,-0.00607443368062377
1775885936146002176,3276000,3276000,-0.00012528366642072797,-7.729900971753523e-06,-6.17654513916932e-05,-0.0046377647668123245,0.0010106639238074422,-0.003826113184913993
1775885936154002176,3284000,3284000,1.6529827917111106e-05,-4.3853138777194545e-05,-6.609080446651205e-05,0.010186074301600456,-0.002334090881049633,-0.002594094956293702
1775885936166002176,3296000,3296000,-7.509038550779223e-05,3.3078180422307923e-05,7.364394696196541e-05,-0.005053702276200056,0.005019461270421743,0.016667760908603668
1775885936178002176,3308000,3308000,-6.704726547468454e-05,-7.046269456623122e-05,9.075411799130961e-05,0.003116273321211338,-0.003961806185543537,-0.01277545653283596
1775885936190002176,3320000,3316000,-0.00014369655400514603,-6.023559762979858e-06,-9.875328396447003e-05,-0.007711439393460751,0.0035516205243766308,-0.014951991848647594
