response_name,target_axis,baseline_top1_feature,baseline_top1_value,diagnostic_top1_feature,diagnostic_top1_value,baseline_direct_share,diagnostic_direct_share,baseline_lag_share,diagnostic_lag_share,baseline_same_axis_share,diagnostic_same_axis_share,baseline_command_share,diagnostic_command_share,baseline_cross_axis_share,diagnostic_cross_axis_share,baseline_yaw_heading_share,diagnostic_yaw_heading_share,baseline_top5_same_axis_count,diagnostic_top5_same_axis_count,top1_stable,top1_sign_match,response_ready,blocking_reasons,baseline_top5_features,diagnostic_top5_features
future_state_roll,roll,roll,2.3903503567271494,roll,2.3020723514737993,0.3135112238102148,0.3596481859155522,0.28226497653125465,0.3780632682318264,0.5957762003414695,0.7377114541473786,0.09632875829391901,0.05157818794077368,0.021295270705874437,0.029422686350315048,0.10897231602942149,0.05818571162805565,3,4,True,True,True,,"roll,roll__lag_1,roll__lag_3,yaw__lag_3,heading__lag_3","roll,roll__lag_1,roll__lag_2,roll__lag_3,yaw__lag_1"
future_state_pitch,pitch,pitch,2.21452629952317,pitch,2.117851564877715,0.31014279670431977,0.3630626320123466,0.2794469689794625,0.31892912691478736,0.5895897656837823,0.6819917589271339,0.13098081275095072,0.052600751175319184,0.01040804510288159,0.01799961244307137,0.16032674869972477,0.11493884360861334,4,4,True,True,True,,"pitch,pitch__lag_1,pitch__lag_2,pitch__lag_3,heading__lag_3","pitch,pitch__lag_1,pitch__lag_2,pitch__lag_3,heading__lag_2"
