received_time_ns,timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,thrust_body_x,thrust_body_y,thrust_body_z,reset_integral
1775658257821650432,5980000,-0.0,-0.0,-3.3745385735528544e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775658257829650432,5988000,-0.0,-0.0,-3.372914216015488e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775658257877650432,6036000,-0.0,-0.0,-2.939281148428563e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775658257917650432,6076000,-0.0,-0.0,-3.0034481824259274e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775658257973650432,6132000,-0.0,-0.0,-2.6318062737118453e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775658258021650432,6180000,-0.0,-0.0,-2.621781823108904e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775658258077650432,6236000,-0.0,-0.0,-1.9703180441865698e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775658258117650432,6276000,-0.0,-0.0,-2.2520735001307912e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775658258173650432,6332000,-0.0,-0.0,-2.1265981558826752e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775658258221650432,6380000,-0.0,-0.0,-1.5210405763355084e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775658258277650432,6436000,-0.0,-0.0,-1.0029022632807028e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775658258317650432,6476000,-0.0,-0.0,-6.1797359194315504e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775658258373650432,6532000,-0.0,-0.0,-1.2222028999531176e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775658258421650432,6580000,-0.0,-0.0,-8.813924068817869e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775658258469650432,6628000,-0.0,-0.0,-7.911092325230129e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775658258517650432,6676000,-0.0,-0.0,-1.0050549462903291e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775658258573650432,6732000,-0.0,-0.0,-7.119758720364189e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775658258621650432,6780000,-0.0,-0.0,-7.3032797445193864e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775658258677650432,6836000,-0.0,-0.0,-3.291920393166947e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775658258717650432,6876000,-0.0,-0.0,-3.012656179635087e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775658258773650432,6932000,-0.0,-0.0,-4.6126506276777945e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775658258821650432,6980000,-0.0,-0.0,-7.23960170034843e-07,0.0,0.0,0.0,-0.0010000000474974513,False
1775658258877650432,7036000,0.0,0.0,1.762250292358658e-07,0.0,0.0,0.0,-0.0010000000474974513,False
1775658258917650432,7076000,0.0,0.0,1.566808819770813,0.0,0.0,0.0,-0.0010000000474974513,False
1775658258973650432,7132000,0.0,0.0,1.567154884338379,0.0,0.0,0.0,-0.0010000000474974513,False
1775658259021650432,7180000,0.0,0.0,1.569209098815918,0.0,0.0,0.0,-0.0010000000474974513,False
1775658259077650432,7236000,0.0,-0.0,1.570940375328064,0.0,0.0,0.0,-0.0010000000474974513,False
1775658259117650432,7276000,0.0,-0.0,1.571987509727478,0.0,0.0,0.0,-0.0010000000474974513,False
1775658259173650432,7332000,0.0,-0.0,1.5726829767227173,0.0,0.0,0.0,-0.0010000000474974513,False
1775658259221650432,7380000,0.0,-0.0,1.5741205215454102,0.0,0.0,0.0,-0.0010000000474974513,False
1775658259277650432,7436000,0.0,-0.0,1.575490117073059,0.0,0.0,0.0,-0.0010000000474974513,False
1775658259325650432,7484000,0.0,-0.0,1.5758081674575806,0.0,0.0,0.0,-0.0010000000474974513,False
1775658259373650432,7532000,0.0,-0.0,1.5759472846984863,0.0,0.0,0.0,-0.0010000000474974513,False
1775658259421650432,7580000,0.0,-0.0,1.5757408142089844,0.0,0.0,0.0,-0.0010000000474974513,False
1775658259477650432,7636000,0.0,-0.0,1.57511568069458,0.0,0.0,0.0,-0.0010000000474974513,False
1775658259525650432,7684000,0.0,-0.0,1.5757737159729004,0.0,0.0,0.0,-0.0010000000474974513,False
1775658259573650432,7732000,0.0,-0.0,1.576599359512329,0.0,0.0,0.0,-0.0010000000474974513,False
1775658259621650432,7780000,0.0,-0.0,1.5779284238815308,0.0,0.0,0.0,-0.0010000000474974513,False
1775658259677650432,7836000,0.0,-0.0,1.5791760683059692,0.0,0.0,0.0,-0.0010000000474974513,False
1775658259725650432,7884000,0.0,-0.0,1.5797786712646484,0.0,0.0,0.0,-0.0010000000474974513,False
1775658259773650432,7932000,0.0,-0.0,1.5798801183700562,0.0,0.0,0.0,-0.0010000000474974513,False
1775658259821650432,7980000,0.0,-0.0,1.5789313316345215,0.0,0.0,0.0,-0.0010000000474974513,False
1775658259869650432,8028000,0.0,-0.0,1.577920913696289,0.0,0.0,0.0,-0.0010000000474974513,False
1775658259925650432,8084000,0.0,-0.0,1.5767722129821777,0.0,0.0,0.0,-0.0010000000474974513,False
1775658259973650432,8132000,0.0,-0.0,1.5757027864456177,0.0,0.0,0.0,-0.0010000000474974513,False
1775658260021650432,8180000,0.0,-0.0,1.5747464895248413,0.0,0.0,0.0,-0.0010000000474974513,False
1775658260077650432,8236000,0.0,-0.0,1.5737848281860352,0.0,0.0,0.0,-0.0010000000474974513,False
1775658260125650432,8284000,0.0,-0.0,1.5734546184539795,0.0,0.0,0.0,-0.0010000000474974513,False
1775658260173650432,8332000,0.0,-0.0,1.5731966495513916,0.0,0.0,0.0,-0.0010000000474974513,False
1775658260221650432,8380000,0.0,-0.0,1.5730785131454468,0.0,0.0,0.0,-0.0010000000474974513,False
1775658260277650432,8436000,0.0,-0.0,1.5729509592056274,0.0,0.0,0.0,-0.0010000000474974513,False
1775658260325650432,8484000,0.0,-0.0,1.5727016925811768,0.0,0.0,0.0,-0.0010000000474974513,False
1775658260373650432,8532000,0.0,-0.0,1.572460651397705,0.0,0.0,0.0,-0.0010000000474974513,False
1775658260421650432,8580000,0.0,-0.0,1.5726178884506226,0.0,0.0,0.0,-0.0010000000474974513,False
1775658260477650432,8636000,0.0,-0.0,1.5731133222579956,0.0,0.0,0.0,-0.0010000000474974513,False
1775658260517650432,8676000,0.0,-0.0,1.5737885236740112,0.0,0.0,0.0,-0.0010000000474974513,False
1775658260573650432,8732000,0.0,-0.0,1.5751069784164429,0.0,0.0,0.0,-0.0010000000474974513,False
1775658260621650432,8780000,0.0,-0.0,1.576171636581421,0.0,0.0,0.0,-0.0010000000474974513,False
1775658260677650432,8836000,0.0,-0.0,1.5775868892669678,0.0,0.0,0.0,-0.0010000000474974513,False
1775658260725650432,8884000,0.0,-0.0,1.5788592100143433,0.0,0.0,0.0,-0.0010000000474974513,False
1775658260773650432,8932000,0.0,-0.0,1.5796400308609009,0.0,0.0,0.0,-0.0010000000474974513,False
1775658260821650432,8980000,0.0,-0.0,1.58016836643219,0.0,0.0,0.0,-0.0010000000474974513,False
1775658260877650432,9036000,0.0,-0.0,1.5805442333221436,0.0,0.0,0.0,-0.0010000000474974513,False
1775658260925650432,9084000,0.0,-0.0,1.5806416273117065,0.0,0.0,0.0,-0.0010000000474974513,False
1775658260973650432,9132000,0.0,-0.0,1.5805431604385376,0.0,0.0,0.0,-0.0010000000474974513,False
1775658261021650432,9180000,0.0,-0.0,1.5802204608917236,0.0,0.0,0.0,-0.0010000000474974513,False
1775658261077650432,9236000,0.0,-0.0,1.5796257257461548,0.0,0.0,0.0,-0.0010000000474974513,False
