received_time_ns,roll_deg,pitch_deg,yaw_deg,alt_m,lat_deg,lon_deg
4377415000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
4477375000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
4577335000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
4677295000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
4777255000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
4877215000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
4977175000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
5077135000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
5177095000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
5277055000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
5377015000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
5476975000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
5576935000,0.01,0.0,340.19,-0.019999999552965164,0.0,0.0
5676895000,0.01,0.0,340.19,-0.019999999552965164,0.0,0.0
5776855000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
5876815000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
5976775000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
6076735000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
6176695000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
6276655000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
6376615000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
6477408000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
6577368000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
6677328000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
6777288000,0.0,0.0,340.19,-0.019999999552965164,0.0,0.0
6877248000,0.01,0.0,340.19,-0.019999999552965164,0.0,0.0
6977208000,0.01,0.0,340.19,-0.019999999552965164,0.0,0.0
7077168000,0.01,0.0,340.19,-0.019999999552965164,0.0,0.0
7177128000,0.01,0.0,340.19,-0.019999999552965164,0.0,0.0
7277088000,0.01,0.0,340.19,-0.019999999552965164,0.0,0.0
7377048000,0.01,0.0,340.19,-0.019999999552965164,0.0,0.0
7477008000,0.01,0.0,340.19,-0.019999999552965164,0.0,0.0
7576968000,0.01,0.0,340.19,-0.019999999552965164,0.0,0.0
7676928000,0.01,0.0,340.19,-0.019999999552965164,0.0,0.0
7776888000,0.01,0.0,340.19,-0.019999999552965164,0.0,0.0
7876848000,0.01,0.0,340.19,-0.019999999552965164,0.0,0.0
7976808000,0.01,0.0,340.19,-0.019999999552965164,0.0,0.0
8076768000,0.01,0.0,340.19,-0.019999999552965164,0.0,0.0
8176728000,0.01,0.0,340.19,-0.019999999552965164,0.0,0.0
8276688000,0.01,0.0,340.19,-0.019999999552965164,0.0,0.0
8376648000,0.01,0.0,340.19,-0.019999999552965164,0.0,0.0
8476608000,0.01,0.0,340.19,-0.019999999552965164,0.0,0.0
8577401000,0.01,0.0,340.19,-0.019999999552965164,-35.3632621,149.1652374
8677361000,0.01,0.0,340.32,-0.019999999552965164,-35.3632621,149.1652374
8777321000,0.01,0.0,340.46,-0.019999999552965164,-35.3632621,149.1652374
8877281000,0.01,0.0,340.59,-0.019999999552965164,-35.3632621,149.1652374
8977241000,0.01,0.0,340.72,-0.019999999552965164,-35.3632621,149.1652374
9077201000,0.01,0.0,340.85,-0.019999999552965164,-35.3632621,149.1652374
9177161000,0.01,0.0,340.97,-0.019999999552965164,-35.3632621,149.1652374
9277121000,0.02,0.0,341.1,-0.019999999552965164,-35.3632621,149.1652374
9377081000,0.02,0.0,341.22,-0.019999999552965164,-35.3632621,149.1652374
9477041000,0.02,0.0,341.35,-0.019999999552965164,-35.3632621,149.1652374
9577001000,0.02,0.01,341.47,-0.019999999552965164,-35.3632621,149.1652374
9676961000,0.02,0.01,341.59,-0.019999999552965164,-35.3632621,149.1652374
9776921000,0.02,0.01,341.71,-0.019999999552965164,-35.3632621,149.1652374
9876881000,0.02,0.01,341.83,-0.019999999552965164,-35.3632621,149.1652374
9976841000,0.02,0.01,341.95,-0.019999999552965164,-35.3632621,149.1652374
10076801000,0.02,0.01,342.06,-0.019999999552965164,-35.3632621,149.1652374
10176761000,0.02,0.01,342.18,-0.019999999552965164,-35.3632621,149.1652374
10276721000,0.02,0.01,342.29,-0.019999999552965164,-35.3632621,149.1652374
10376681000,0.02,0.01,342.41,-0.019999999552965164,-35.3632621,149.1652374
10476641000,0.02,0.01,342.52,-0.019999999552965164,-35.3632621,149.1652374
10576601000,0.02,0.01,342.63,-0.019999999552965164,-35.3632621,149.1652374
10677394000,0.02,0.01,342.74,-0.019999999552965164,-35.3632621,149.1652374
10777354000,0.02,0.01,342.84,-0.019999999552965164,-35.3632621,149.1652374
10877314000,0.02,0.01,342.95,-0.019999999552965164,-35.3632621,149.1652374
10977274000,0.02,0.01,343.05,-0.019999999552965164,-35.3632621,149.1652374
11077234000,0.02,0.01,343.16,-0.019999999552965164,-35.3632621,149.1652374
11177194000,0.02,0.01,343.26,-0.019999999552965164,-35.3632621,149.1652374
11277154000,0.02,0.01,343.36,-0.019999999552965164,-35.3632621,149.1652374
11377114000,0.02,0.01,343.47,-0.019999999552965164,-35.3632621,149.1652374
11477074000,0.02,0.01,343.57,-0.019999999552965164,-35.3632621,149.1652374
11577034000,0.03,0.01,343.66,-0.019999999552965164,-35.3632621,149.1652374
11676994000,0.03,0.01,343.76,-0.019999999552965164,-35.3632621,149.1652374
11776954000,0.03,0.01,343.86,-0.019999999552965164,-35.3632621,149.1652374
11876914000,0.03,0.01,343.96,-0.019999999552965164,-35.3632621,149.1652374
11976874000,0.03,0.01,344.05,-0.019999999552965164,-35.3632621,149.1652374
12076834000,0.03,0.01,344.15,-0.019999999552965164,-35.3632621,149.1652374
12176794000,0.03,0.01,344.24,-0.019999999552965164,-35.3632621,149.1652374
12276754000,0.03,0.01,344.33,-0.019999999552965164,-35.3632621,149.1652374
12376714000,0.03,0.02,344.42,-0.019999999552965164,-35.3632621,149.1652374
12476674000,0.03,0.02,344.52,-0.019999999552965164,-35.3632621,149.1652374
12576634000,0.03,0.02,344.61,-0.019999999552965164,-35.3632621,149.1652374
12676594000,0.03,0.02,344.7,-0.019999999552965164,-35.3632621,149.1652374
12777387000,0.03,0.02,344.79,-0.019999999552965164,-35.3632621,149.1652374
12877347000,0.03,0.02,344.88,-0.019999999552965164,-35.3632621,149.1652374
12977307000,0.03,0.02,344.97,-0.019999999552965164,-35.3632621,149.1652374
13077267000,0.03,0.02,345.06,-0.019999999552965164,-35.3632621,149.1652374
13177227000,0.03,0.02,345.15,-0.019999999552965164,-35.3632621,149.1652374
13277187000,0.03,0.02,345.24,-0.019999999552965164,-35.3632621,149.1652374
13377147000,0.03,0.02,345.32,-0.019999999552965164,-35.3632621,149.1652374
13477107000,0.03,0.02,345.41,-0.019999999552965164,-35.3632621,149.1652374
13577067000,0.03,0.02,345.49,-0.019999999552965164,-35.3632621,149.1652374
13677027000,0.03,0.02,345.57,-0.019999999552965164,-35.3632621,149.1652374
13776987000,0.03,0.02,345.65,-0.019999999552965164,-35.3632621,149.1652374
13876947000,0.03,0.02,345.74,-0.019999999552965164,-35.3632621,149.1652374
13976907000,0.03,0.02,345.82,-0.019999999552965164,-35.3632621,149.1652374
14076867000,0.04,0.02,345.9,-0.019999999552965164,-35.3632621,149.1652374
14176827000,0.04,0.02,345.98,-0.019999999552965164,-35.3632621,149.1652374
14276787000,0.04,0.02,346.05,-0.019999999552965164,-35.3632621,149.1652374
14376747000,0.04,0.02,346.13,-0.019999999552965164,-35.3632621,149.1652374
14476707000,0.04,0.02,346.21,-0.019999999552965164,-35.3632621,149.1652374
14576667000,0.04,0.02,346.28,-0.019999999552965164,-35.3632621,149.1652374
14676627000,0.04,0.02,346.36,-0.019999999552965164,-35.3632621,149.1652374
14777420000,0.04,0.02,346.43,-0.019999999552965164,-35.3632621,149.1652374
14877380000,0.04,0.02,346.5,-0.019999999552965164,-35.3632621,149.1652374
14977340000,0.04,0.02,346.58,-0.019999999552965164,-35.3632621,149.1652374
15077300000,0.04,0.02,346.65,-0.019999999552965164,-35.3632621,149.1652374
15177260000,0.04,0.03,346.72,-0.019999999552965164,-35.3632621,149.1652374
15277220000,0.04,0.03,346.79,-0.019999999552965164,-35.3632621,149.1652374
15377180000,0.04,0.03,346.86,-0.019999999552965164,-35.3632621,149.1652374
15477140000,0.04,0.03,346.93,-0.019999999552965164,-35.3632621,149.1652374
15577100000,0.04,0.03,346.99,-0.019999999552965164,-35.3632621,149.1652374
15677060000,0.04,0.03,347.06,-0.019999999552965164,-35.3632621,149.1652374
15777020000,0.04,0.03,347.13,-0.019999999552965164,-35.3632621,149.1652374
15876980000,0.04,0.03,347.19,-0.019999999552965164,-35.3632621,149.1652374
15976940000,0.04,0.03,347.26,-0.019999999552965164,-35.3632621,149.1652374
16076900000,0.04,0.03,347.32,-0.019999999552965164,-35.3632621,149.1652374
16176860000,0.04,0.03,347.39,-0.019999999552965164,-35.3632621,149.1652374
16276820000,0.04,0.03,347.45,-0.019999999552965164,-35.3632621,149.1652374
16376780000,0.04,0.03,347.51,-0.019999999552965164,-35.3632621,149.1652374
16476740000,0.04,0.02,347.96,-0.019999999552965164,-35.3632621,149.1652374
16576700000,0.03,0.02,348.38,-0.019999999552965164,-35.3632621,149.1652374
16676660000,0.03,0.02,348.77,-0.019999999552965164,-35.3632621,149.1652374
16776620000,0.02,0.01,349.12,-0.019999999552965164,-35.3632621,149.1652374
16877413000,0.02,0.01,349.45,-0.019999999552965164,-35.3632621,149.1652374
16977373000,0.02,0.01,349.75,-0.019999999552965164,-35.3632621,149.1652374
17077333000,0.02,0.0,350.02,-0.019999999552965164,-35.3632621,149.1652374
17177293000,0.02,0.0,350.27,-0.019999999552965164,-35.3632621,149.1652374
17277253000,0.02,0.0,350.5,-0.019999999552965164,-35.3632621,149.1652374
17377213000,0.01,0.0,350.71,-0.019999999552965164,-35.3632621,149.1652374
17477173000,0.01,0.0,350.91,-0.019999999552965164,-35.3632621,149.1652374
17577133000,0.01,0.0,351.09,-0.019999999552965164,-35.3632621,149.1652374
17677093000,0.01,0.0,351.25,-0.019999999552965164,-35.3632621,149.1652374
17777053000,0.01,0.0,351.41,-0.019999999552965164,-35.3632621,149.1652374
17877013000,0.01,0.0,351.55,-0.019999999552965164,-35.3632621,149.1652374
17976973000,0.01,0.0,351.68,-0.019999999552965164,-35.3632621,149.1652374
18076933000,0.01,0.0,351.8,-0.019999999552965164,-35.3632621,149.1652374
18176893000,0.01,0.0,351.9,-0.019999999552965164,-35.3632621,149.1652374
18276853000,0.01,0.0,352.0,-0.019999999552965164,-35.3632621,149.1652374
18376813000,0.01,0.0,352.09,-0.019999999552965164,-35.3632621,149.1652374
18476773000,0.01,0.0,352.18,-0.019999999552965164,-35.3632621,149.1652374
18576733000,0.01,0.0,352.25,-0.019999999552965164,-35.3632621,149.1652374
18676693000,0.01,0.0,352.32,584.0599975585938,-35.3632621,149.1652374
18776653000,0.01,0.0,352.39,584.0599975585938,-35.3632621,149.1652374
18876613000,0.01,0.0,352.45,584.0599975585938,-35.3632621,149.1652374
18977406000,0.01,0.0,352.5,584.0599975585938,-35.3632621,149.1652374
19077366000,0.01,0.0,352.55,584.0599975585938,-35.3632621,149.1652374
19177326000,0.01,0.0,352.59,584.0599975585938,-35.3632621,149.1652374
