scenario,amplitude_tier,config_key,config_name,run_id,study_name,config_profile,artifact_dir,analysis_status,baseline_command_throttle,baseline_actuator_1,baseline_actuator_2,baseline_actuator_3,baseline_actuator_4,baseline_sample_count,active_sample_count,aligned_sample_count,pulse_count_seen,mean_delta_actuator_pos,mean_delta_actuator_neg,effect_abs_median,slope_median,slope_abs_median,baseline_noise_mad,snr,accepted,failsafe_during_experiment,completion_reason,rejection_reasons,anomaly_summary,status,exit_code,research_acceptance
throttle_biased,small,throttle_biased-small,ardupilot_a2_stabilize_readiness_throttle_biased_small.yaml,20260415_083747_ardupilot_manual_pulse_train_throttle_r1,ardupilot_a2_stabilize_readiness_throttle_biased_small,ardupilot_a2_stabilize_readiness_throttle_biased_small,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_083747_ardupilot_manual_pulse_train_throttle_r1,ok,0.6920000000000001,0.1,0.1,0.1,0.1,157,33,190,5,-0.1,nan,0.1,-3.0864197530864215,3.0864197530864215,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,small,throttle_biased-small,ardupilot_a2_stabilize_readiness_throttle_biased_small.yaml,20260415_083821_ardupilot_manual_pulse_train_throttle_r2,ardupilot_a2_stabilize_readiness_throttle_biased_small,ardupilot_a2_stabilize_readiness_throttle_biased_small,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_083821_ardupilot_manual_pulse_train_throttle_r2,ok,0.6920000000000001,0.1,0.1,0.1,0.1,156,34,190,5,-0.1,nan,0.1,-3.0864197530864215,3.0864197530864215,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,small,throttle_biased-small,ardupilot_a2_stabilize_readiness_throttle_biased_small.yaml,20260415_083855_ardupilot_manual_pulse_train_throttle_r3,ardupilot_a2_stabilize_readiness_throttle_biased_small,ardupilot_a2_stabilize_readiness_throttle_biased_small,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_083855_ardupilot_manual_pulse_train_throttle_r3,ok,0.6920000000000001,0.1,0.1,0.1,0.1,157,32,189,5,-0.1,nan,0.1,-3.0864197530864215,3.0864197530864215,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,small,throttle_biased-small,ardupilot_a2_stabilize_readiness_throttle_biased_small.yaml,20260415_083930_ardupilot_manual_pulse_train_throttle_r4,ardupilot_a2_stabilize_readiness_throttle_biased_small,ardupilot_a2_stabilize_readiness_throttle_biased_small,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_083930_ardupilot_manual_pulse_train_throttle_r4,ok,0.6920000000000001,0.1,0.1,0.1,0.1,161,30,191,5,-0.1,nan,0.1,-3.0864197530864215,3.0864197530864215,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,small,throttle_biased-small,ardupilot_a2_stabilize_readiness_throttle_biased_small.yaml,20260415_084004_ardupilot_manual_pulse_train_throttle_r5,ardupilot_a2_stabilize_readiness_throttle_biased_small,ardupilot_a2_stabilize_readiness_throttle_biased_small,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_084004_ardupilot_manual_pulse_train_throttle_r5,ok,0.6920000000000001,0.1,0.1,0.1,0.1,156,35,191,5,-0.1,nan,0.1,-3.0864197530864215,3.0864197530864215,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,medium,throttle_biased-medium,ardupilot_a2_stabilize_readiness_throttle_biased_medium.yaml,20260415_084038_ardupilot_manual_pulse_train_throttle_r1,ardupilot_a2_stabilize_readiness_throttle_biased_medium,ardupilot_a2_stabilize_readiness_throttle_biased_medium,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_084038_ardupilot_manual_pulse_train_throttle_r1,ok,0.6920000000000001,0.1,0.1,0.1,0.1,159,32,191,5,-0.1,nan,0.1,-1.5432098765432107,1.5432098765432107,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,medium,throttle_biased-medium,ardupilot_a2_stabilize_readiness_throttle_biased_medium.yaml,20260415_084112_ardupilot_manual_pulse_train_throttle_r2,ardupilot_a2_stabilize_readiness_throttle_biased_medium,ardupilot_a2_stabilize_readiness_throttle_biased_medium,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_084112_ardupilot_manual_pulse_train_throttle_r2,ok,0.6920000000000001,0.1,0.1,0.1,0.1,158,33,191,5,-0.1,nan,0.1,-1.5432098765432107,1.5432098765432107,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,medium,throttle_biased-medium,ardupilot_a2_stabilize_readiness_throttle_biased_medium.yaml,20260415_084147_ardupilot_manual_pulse_train_throttle_r3,ardupilot_a2_stabilize_readiness_throttle_biased_medium,ardupilot_a2_stabilize_readiness_throttle_biased_medium,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_084147_ardupilot_manual_pulse_train_throttle_r3,ok,0.6920000000000001,0.1,0.1,0.1,0.1,157,32,189,5,-0.1,nan,0.1,-1.5432098765432107,1.5432098765432107,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,medium,throttle_biased-medium,ardupilot_a2_stabilize_readiness_throttle_biased_medium.yaml,20260415_084221_ardupilot_manual_pulse_train_throttle_r4,ardupilot_a2_stabilize_readiness_throttle_biased_medium,ardupilot_a2_stabilize_readiness_throttle_biased_medium,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_084221_ardupilot_manual_pulse_train_throttle_r4,ok,0.6920000000000001,0.1,0.1,0.1,0.1,157,34,191,5,-0.1,nan,0.1,-1.5432098765432107,1.5432098765432107,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,medium,throttle_biased-medium,ardupilot_a2_stabilize_readiness_throttle_biased_medium.yaml,20260415_084255_ardupilot_manual_pulse_train_throttle_r5,ardupilot_a2_stabilize_readiness_throttle_biased_medium,ardupilot_a2_stabilize_readiness_throttle_biased_medium,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_084255_ardupilot_manual_pulse_train_throttle_r5,ok,0.6920000000000001,0.1,0.1,0.1,0.1,156,34,190,5,-0.1,nan,0.1,-1.5432098765432107,1.5432098765432107,0.0,100000.00000000001,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
