received_time_ns,timestamp,timestamp_sample,x,y,z,vx,vy,vz,heading,dist_bottom,dist_bottom_valid,xy_valid,z_valid,v_xy_valid,v_z_valid
1775659306320025590,1775659306123013,1775659306107013,0.036041904240846634,-0.007317860145121813,0.54397052526474,-0.0013652824563905597,-0.005251014605164528,-0.017502127215266228,1.5854313373565674,0.11379939317703247,True,True,True,True,True
1775659306328181895,1775659306131013,1775659306115013,0.03634226322174072,-0.006965080741792917,0.5442190170288086,-0.0010695692617446184,-0.005066926125437021,-0.017407400533556938,1.5854460000991821,0.11342000961303711,True,True,True,True,True
1775659306340137176,1775659306147013,1775659306131013,0.03753839433193207,-0.005878398660570383,0.5442626476287842,-0.00029923077090643346,-0.00445755897089839,-0.017350006848573685,1.585474967956543,0.09990274906158447,True,True,True,True,True
1775659306348866613,1775659306155013,1775659306139013,0.03841964527964592,-0.005151488818228245,0.5440686345100403,0.00015590063412673771,-0.0040364451706409454,-0.017382437363266945,1.5854970216751099,0.09993618726730347,True,True,True,True,True
1775659306361028736,1775659306163013,1775659306147013,0.039281900972127914,-0.004438001196831465,0.543878972530365,0.0006076011341065168,-0.003622578689828515,-0.01741768978536129,1.5855162143707275,0.10006970167160034,True,True,True,True,True
1775659306368989143,1775659306171013,1775659306155013,0.04012570530176163,-0.0037375306710600853,0.5436901450157166,0.001050206134095788,-0.0032049324363470078,-0.01743237115442753,1.585537314414978,0.1000981330871582,True,True,True,True,True
1775659306382146849,1775659306187013,1775659306171013,0.041753776371479034,-0.002364150481298566,0.5433149933815002,0.0019105117535218596,-0.002363027073442936,-0.017467278987169266,1.5855761766433716,0.10015255212783813,True,True,True,True,True
1775659306389754403,1775659306195013,1775659306179013,0.04253888875246048,-0.0016908772522583604,0.5431285500526428,0.002284879796206951,-0.001972644589841366,-0.017482159659266472,1.5855835676193237,0.10017883777618408,True,True,True,True,True
1775659306401656983,1775659306203013,1775659306187013,0.04330719634890556,-0.001029451610520482,0.5429427623748779,0.002649684902280569,-0.0015838545514270663,-0.017502494156360626,1.5855915546417236,0.10020464658737183,True,True,True,True,True
1775659306410717129,1775659306211013,1775659306195013,0.04405929520726204,-0.0003795404336415231,0.5427606105804443,0.0030291483271867037,-0.0011997517431154847,-0.01752210594713688,1.5855991840362549,0.10031938552856445,True,True,True,True,True
1775659306422185739,1775659306227013,1775659306211013,0.04551707208156586,0.0008865462150424719,0.5423979759216309,0.003789848182350397,-0.0004903477383777499,-0.017540499567985535,1.5856122970581055,0.10036325454711914,True,True,True,True,True
1775659306430383034,1775659306235013,1775659306219013,0.04622362181544304,0.0015032453229650855,0.542217493057251,0.004167431965470314,-0.00014561109128408134,-0.01753588207066059,1.5856175422668457,0.10038459300994873,True,True,True,True,True
1775659306442750270,1775659306243013,1775659306227013,0.04691594839096069,0.0021093536633998156,0.5420376062393188,0.004551393911242485,0.00018800247926265,-0.01753658801317215,1.5856213569641113,0.10040545463562012,True,True,True,True,True
1775659306450163207,1775659306251013,1775659306235013,0.04759298637509346,0.0027050648350268602,0.5418582558631897,0.004914293996989727,0.0005178260034881532,-0.017541730776429176,1.5856276750564575,0.10042601823806763,True,True,True,True,True
1775659306463047801,1775659306267013,1775659306251013,0.04882052540779114,0.0038034929893910885,0.5415051579475403,0.005498799961060286,0.0010723201557993889,-0.017548253759741783,1.5856505632400513,0.10058581829071045,True,True,True,True,True
1775659306472605435,1775659306275013,1775659306259013,0.048726268112659454,0.004178599454462528,0.5419836640357971,0.0055894977413117886,0.0012422119034454226,-0.017328141257166862,1.5856668949127197,0.120280921459198,True,True,True,True,True
1775659306484276502,1775659306283013,1775659306267013,0.048636820167303085,0.004547610878944397,0.5424471497535706,0.005701820366084576,0.001410315278917551,-0.017110023647546768,1.585681676864624,0.11971902847290039,True,True,True,True,True
1775659306491406057,1775659306291013,1775659306275013,0.048552077263593674,0.00491072004660964,0.5428963303565979,0.005808163899928331,0.0015890935901552439,-0.01687670685350895,1.5856965780258179,0.11917173862457275,True,True,True,True,True
1775659306505412598,1775659306307013,1775659306291013,0.048395927995443344,0.005619673524051905,0.5437535047531128,0.006019120570272207,0.0019233750645071268,-0.01642652601003647,1.5857256650924683,0.1181192398071289,True,True,True,True,True
1775659306515293901,1775659306315013,1775659306299013,0.04832412302494049,0.0059656547382473946,0.5441614985466003,0.006124979816377163,0.0020871281158179045,-0.016219209879636765,1.585739254951477,0.11759018898010254,True,True,True,True,True
1775659306525457626,1775659306323013,1775659306307013,0.04825633764266968,0.0063060880638659,0.544556736946106,0.006243408657610416,0.002255575265735388,-0.01602010428905487,1.5857528448104858,0.11709797382354736,True,True,True,True,True
1775659306532549454,1775659306331013,1775659306315013,0.04818170145153999,0.0066318209283053875,0.5449397563934326,0.006359051913022995,0.0023955723736435175,-0.0158280897885561,1.5857638120651245,0.11661946773529053,True,True,True,True,True
1775659306545282278,1775659306347013,1775659306331013,0.04804382473230362,0.007266870234161615,0.5456699728965759,0.006577462889254093,0.0026488511357456446,-0.015460497699677944,1.585793375968933,0.11569714546203613,True,True,True,True,True
1775659306557318549,1775659306355013,1775659306339013,0.047980234026908875,0.00757620157673955,0.5460180044174194,0.00669479463249445,0.002771459287032485,-0.015288013964891434,1.585806965827942,0.11525356769561768,True,True,True,True,True
1775659306566895478,1775659306371013,1775659306355013,0.04786314442753792,0.008178881369531155,0.5466803908348083,0.006918844301253557,0.0030167929362505674,-0.01493512187153101,1.585834264755249,0.11438137292861938,True,True,True,True,True
1775659306575658866,1775659306379013,1775659306363013,0.04780932888388634,0.008472306653857231,0.546995997428894,0.007035784889012575,0.0031295567750930786,-0.014773296192288399,1.5858478546142578,0.11397117376327515,True,True,True,True,True
1775659306585460523,1775659306387013,1775659306371013,0.04775851592421532,0.008760501630604267,0.5473016500473022,0.007148547098040581,0.0032298278529196978,-0.014620392583310604,1.5858601331710815,0.11357134580612183,True,True,True,True,True
1775659306594935216,1775659306395013,1775659306379013,0.04771055653691292,0.009043402969837189,0.5475974678993225,0.007259352598339319,0.0033193135168403387,-0.014479776844382286,1.5858733654022217,0.11318176984786987,True,True,True,True,True
1775659306609597767,1775659306403013,1775659306387013,0.04766806587576866,0.008519306778907776,0.5472918748855591,0.007399765774607658,0.003082611598074436,-0.014461163431406021,1.5858867168426514,0.09495258331298828,True,True,True,True,True
1775659306617337445,1775659306411013,1775659306395013,0.0476287379860878,0.008008099161088467,0.5469958782196045,0.007564679719507694,0.0028659701347351074,-0.014444451779127121,1.5858818292617798,0.09523826837539673,True,True,True,True,True
1775659306632672838,1775659306427013,1775659306411013,0.04755949601531029,0.0070226844400167465,0.5464209914207458,0.007877853699028492,0.0024510719813406467,-0.014389857649803162,1.5858702659606934,0.0955662727355957,True,True,True,True,True
