received_time_ns,x,y,z,vx,vy,vz
1775925787738850627,-3936620.3297610707,16604998.271425765,-0.559,-0.14,0.08,-1.27
1775925787790845188,-3936620.3297610707,16604998.271425765,-0.699,-0.15,0.11,-1.23
1775925787843363559,-3936620.3520249687,16604998.271425765,-0.699,-0.16,0.14,-1.21
1775925787895749417,-3936620.3520249687,16604998.271425765,-0.828,-0.17,0.18,-1.2
1775925787897066958,-3936620.3520249687,16604998.271425765,-0.828,-0.17,0.22,-1.19
1775925787949057295,-3936620.3520249687,16604998.271425765,-0.941,-0.17,0.26,-1.18
1775925788001433329,-3936620.3854208156,16604998.304821616,-0.941,-0.17,0.3,-1.17
1775925788053803987,-3936620.3854208156,16604998.304821616,-1.07,-0.17,0.34,-1.17
1775925788106029877,-3936620.3854208156,16604998.304821616,-1.07,-0.16,0.38,-1.16
1775925788158168950,-3936620.3854208156,16604998.304821616,-1.185,-0.16,0.41,-1.14
1775925788210152695,-3936620.4188166633,16604998.371613309,-1.185,-0.16,0.44,-1.13
1775925788262392249,-3936620.4188166633,16604998.371613309,-1.298,-0.16,0.47,-1.11
1775925788314903772,-3936620.4188166633,16604998.371613309,-1.298,-0.16,0.5,-1.09
1775925788367922432,-3936620.4188166633,16604998.371613309,-1.405,-0.15,0.52,-1.07
1775925788420318402,-3936620.4633444594,16604998.47180085,-1.405,-0.15,0.53,-1.06
1775925788472570884,-3936620.4633444594,16604998.47180085,-1.509,-0.15,0.55,-1.04
1775925788525007687,-3936620.4633444594,16604998.47180085,-1.509,-0.14,0.55,-1.02
1775925788577287464,-3936620.4633444594,16604998.47180085,-1.611,-0.14,0.55,-1.01
1775925788629716491,-3936620.4967403067,16604998.594252288,-1.611,-0.13,0.55,-1.0
1775925788681802476,-3936620.4967403067,16604998.594252288,-1.707,-0.11,0.54,-0.99
1775925788734645744,-3936620.4967403067,16604998.594252288,-1.707,-0.09,0.53,-0.98
1775925788786689233,-3936620.4967403067,16604998.594252288,-1.806,-0.07,0.52,-0.97
1775925788842743073,-3936620.530136154,16604998.73896763,-1.806,-0.05,0.5,-0.97
1775925788895118403,-3936620.530136154,16604998.73896763,-1.902,-0.02,0.48,-0.96
1775925788896364424,-3936620.530136154,16604998.73896763,-1.902,0.0,0.46,-0.96
1775925788948075399,-3936620.530136154,16604998.73896763,-1.992,0.03,0.45,-0.96
1775925789000716298,-3936620.552400052,16604998.861419065,-1.992,0.07,0.43,-0.97
1775925789053371246,-3936620.552400052,16604998.861419065,-2.088,0.1,0.41,-0.97
1775925789105551631,-3936620.552400052,16604998.861419065,-2.088,0.14,0.39,-0.97
1775925789158029489,-3936620.552400052,16604998.861419065,-2.182,0.17,0.37,-0.97
1775925789210028946,-3936620.552400052,16604998.861419065,-2.182,0.2,0.35,-0.98
1775925789261979635,-3936620.57466395,16604998.983870508,-2.275,0.23,0.34,-0.98
1775925789314292117,-3936620.57466395,16604998.983870508,-2.275,0.25,0.32,-0.98
1775925789367134008,-3936620.57466395,16604998.983870508,-2.374,0.27,0.31,-0.98
