received_time_ns,timestamp,timestamp_sample,valid,data_source,roll,pitch,yaw,throttle,sticks_moving,buttons
1775898764008049493,1775898763295411,1775898763295411,True,2,0.0,0.0,0.0,0.03999999910593033,False,0
1775898764065688143,1775898763347411,1775898763347411,True,2,0.0,0.0,0.0,-0.2840000092983246,True,0
1775898764113708351,1775898763391411,1775898763391411,True,2,0.0,0.0,0.0,-0.2840000092983246,True,0
1775898764163374966,1775898763427411,1775898763427411,True,2,0.0,0.0,0.0,-0.2840000092983246,True,0
1775898764212078492,1775898763471411,1775898763471411,True,2,0.0,0.0,0.0,-0.2840000092983246,True,0
1775898764265996688,1775898763519411,1775898763519411,True,2,0.0,0.0,0.0,-0.2840000092983246,True,0
1775898764312598390,1775898763563411,1775898763563411,True,2,0.0,0.0,0.0,-0.2840000092983246,True,0
1775898764366255535,1775898763603411,1775898763603411,True,2,0.0,0.0,0.0,-0.2840000092983246,False,0
1775898764430299364,1775898763651411,1775898763651411,True,2,0.0,0.0,0.0,0.03999999910593033,True,0
1775898764464481037,1775898763683411,1775898763683411,True,2,0.0,0.0,0.0,0.03999999910593033,True,0
1775898764513628556,1775898763731411,1775898763731411,True,2,0.0,0.0,0.0,0.03999999910593033,True,0
1775898764568855852,1775898763775411,1775898763775411,True,2,0.0,0.0,0.0,0.03999999910593033,True,0
1775898764610219908,1775898763819411,1775898763819411,True,2,0.0,0.0,0.0,0.03999999910593033,True,0
1775898764663854237,1775898763867411,1775898763867411,True,2,0.0,0.0,0.0,0.03999999910593033,True,0
1775898764707594000,1775898763915411,1775898763915411,True,2,0.0,0.0,0.0,0.03999999910593033,False,0
1775898764762547380,1775898763955411,1775898763955411,True,2,0.0,0.0,0.0,0.03999999910593033,False,0
1775898764811264218,1775898763999411,1775898763999411,True,2,0.0,0.0,0.0,0.03999999910593033,False,0
1775898764864027104,1775898764043411,1775898764043411,True,2,0.0,0.0,0.0,0.03999999910593033,False,0
1775898764911536537,1775898764083411,1775898764083411,True,2,0.0,0.0,0.0,0.03999999910593033,False,0
1775898764966351391,1775898764131411,1775898764131411,True,2,0.0,0.0,0.0,0.03999999910593033,False,0
1775898765008926692,1775898764171411,1775898764171411,True,2,0.0,0.0,0.0,0.03999999910593033,False,0
1775898765064072229,1775898764223411,1775898764223411,True,2,0.0,0.0,0.0,0.36399999260902405,True,0
1775898765111982424,1775898764271411,1775898764271411,True,2,0.0,0.0,0.0,0.36399999260902405,True,0
1775898765167017594,1775898764311411,1775898764311411,True,2,0.0,0.0,0.0,0.36399999260902405,True,0
1775898765207909019,1775898764355411,1775898764355411,True,2,0.0,0.0,0.0,0.36399999260902405,True,0
1775898765265347128,1775898764403411,1775898764403411,True,2,0.0,0.0,0.0,0.36399999260902405,True,0
1775898765313516550,1775898764451411,1775898764451411,True,2,0.0,0.0,0.0,0.36399999260902405,True,0
1775898765367005953,1775898764503411,1775898764503411,True,2,0.0,0.0,0.0,0.03999999910593033,True,0
1775898765414159711,1775898764551411,1775898764551411,True,2,0.0,0.0,0.0,0.03999999910593033,True,0
1775898765475068550,1775898764611411,1775898764611411,True,2,0.0,0.0,0.0,0.03999999910593033,True,0
