scenario,accepted_count,attempt_count,ready,median_active_pair_rate,median_baseline_pair_rate,median_pair_specificity,median_pair_sign_consistency,median_pair_to_collective_ratio,pair_tier_range_specificity,dominant_direction,blocking_reasons
nominal,15,15,True,0.20588235294117646,0.01910828025477707,0.18717948717948718,1.0,0.9165927240461402,0.024380856394736944,12_gt_34,
throttle_biased,15,15,True,0.20588235294117646,0.01910828025477707,0.19301293186643506,1.0,0.9464627151051624,0.0,12_gt_34,
