received_time_ns,event_type,field_name,previous_value,current_value
1775658560979564846,vehicle_status_events,nav_state,4,2
1775658560979564846,vehicle_status_events,pre_flight_checks_pass,True,False
1775658561086970318,vehicle_status_events,pre_flight_checks_pass,False,True
1775658561395360498,vehicle_status_events,arming_state,1,2
1775658561395360498,vehicle_status_events,nav_state,2,14
1775658571911571324,vehicle_status_events,nav_state,14,2
1775658579962392759,vehicle_status_events,nav_state,2,18
1775658586107153480,vehicle_status_events,arming_state,2,1
1775658586107153480,vehicle_status_events,nav_state,18,2
1775658586769284822,vehicle_status_events,pre_flight_checks_pass,True,False
