received_time_ns,timestamp,roll,pitch,yaw,thrust_body_x,thrust_body_y,thrust_body_z,reset_integral
1775658555037664512,4736000,-0.003964002709835768,-0.0012862664880231023,0.00029689649818465114,0.0,0.0,-0.0010000000474974513,False
1775658555041664512,4740000,-0.003950450103729963,-0.0013084087986499071,0.0005913267377763987,0.0,0.0,-0.0010000000474974513,False
1775658555057664512,4756000,-0.003879405092447996,-0.0014014390762895346,0.00010992608440574259,0.0,0.0,-0.0010000000474974513,False
1775658555077664512,4776000,-0.003775903722271323,-0.0014954524813219905,6.315136852208525e-05,0.0,0.0,-0.0010000000474974513,False
1775658555097664512,4796000,-0.003679298795759678,-0.0015507590724155307,0.00014592443767469376,0.0,0.0,-0.0010000000474974513,False
1775658555113664512,4812000,-0.003612022614106536,-0.001588447717949748,8.654819976072758e-05,0.0,0.0,-0.0010000000474974513,False
1775658555137664512,4836000,-0.003428112016990781,-0.001814096118323505,0.00012936702114529908,0.0,0.0,-0.0010000000474974513,False
1775658555157664512,4856000,-0.003174385754391551,-0.0022147223353385925,4.6016433771001175e-05,0.0,0.0,-0.0010000000474974513,False
1775658555177664512,4876000,-0.0029322889167815447,-0.0026046771090477705,6.651452713413164e-05,0.0,0.0,-0.0010000000474974513,False
1775658555197664512,4896000,-0.0027000082191079855,-0.0029959771782159805,0.0001416130253346637,0.0,0.0,-0.0010000000474974513,False
1775658555217664512,4916000,-0.0024689296260476112,-0.0033486378379166126,0.00028128878329880536,0.0,0.0,-0.0010000000474974513,False
1775658555237664512,4936000,-0.0022351089864969254,-0.003711288096383214,0.00013326163752935827,0.0,0.0,-0.0010000000474974513,False
1775658555257664512,4956000,-0.002000510459765792,-0.0040811700746417046,0.00014101536362431943,0.0,0.0,-0.0010000000474974513,False
1775658555277664512,4976000,-0.0016577038913965225,-0.004288203082978725,5.492507261806168e-05,0.0,0.0,-0.0010000000474974513,False
1775658555297664512,4996000,-0.0013095415197312832,-0.004487091209739447,9.958711598301306e-05,0.0,0.0,-0.0010000000474974513,False
1775658555317664512,5016000,-0.0009834435768425465,-0.004656943958252668,0.00017889001173898578,0.0,0.0,-0.0010000000474974513,False
1775658555337664512,5036000,-0.0006974866846576333,-0.004791610408574343,0.000353895389707759,0.0,0.0,-0.0010000000474974513,False
1775658555357664512,5056000,-0.00042432037298567593,-0.004903902765363455,0.00016677172970958054,0.0,0.0,-0.0010000000474974513,False
1775658555377664512,5076000,-0.00014446591376326978,-0.005018915049731731,0.0003222859522793442,0.0,0.0,-0.0010000000474974513,False
1775658555397664512,5096000,0.0004471960128284991,-0.005422608926892281,9.865438914857805e-05,0.0,0.0,-0.0010000000474974513,False
1775658555417664512,5116000,0.0010316980769857764,-0.00578532787039876,0.00018002466822508723,0.0,0.0,-0.0010000000474974513,False
1775658555437664512,5136000,0.0015868532937020063,-0.006131270434707403,8.925753354560584e-05,0.0,0.0,-0.0010000000474974513,False
1775658555457664512,5156000,0.0020867863204330206,-0.006461121141910553,0.00016988979768939316,0.0,0.0,-0.0010000000474974513,False
1775658555477664512,5176000,0.002585651120170951,-0.006787375081330538,7.609825843246654e-06,0.0,0.0,-0.0010000000474974513,False
1775658555497664512,5196000,0.003079536836594343,-0.00710100494325161,-3.3545329642947763e-06,0.0,0.0,-0.0010000000474974513,False
1775658555517664512,5216000,0.0034046703949570656,-0.007770401891320944,4.59874609077815e-05,0.0,0.0,-0.0010000000474974513,False
1775658555537664512,5236000,0.0036203297786414623,-0.008646389469504356,0.0001025730452965945,0.0,0.0,-0.0010000000474974513,False
1775658555557664512,5256000,0.0038221634458750486,-0.009526715613901615,4.301575245335698e-05,0.0,0.0,-0.0010000000474974513,False
1775658555577664512,5276000,0.0039585186168551445,-0.010356087237596512,6.8835994170513e-05,0.0,0.0,-0.0010000000474974513,False
1775658555597664512,5296000,0.004047182854264975,-0.011168072000145912,2.829870572895743e-05,0.0,0.0,-0.0010000000474974513,False
1775658555617664512,5316000,0.00412347074598074,-0.01196008175611496,4.8372443416155875e-05,0.0,0.0,-0.0010000000474974513,False
1775658555637664512,5336000,0.004160341341048479,-0.012757658958435059,2.950476118712686e-05,0.0,0.0,-0.0010000000474974513,False
