received_time_ns,event_type,field_name,previous_value,current_value
1775896627899801816,vehicle_status_events,nav_state,4,2
1775896627899801816,vehicle_status_events,pre_flight_checks_pass,True,False
1775896628028995822,vehicle_status_events,pre_flight_checks_pass,False,True
1775896629231120175,vehicle_status_events,arming_state,1,2
1775896629231120175,vehicle_status_events,nav_state,2,14
1775896640988078009,vehicle_status_events,nav_state,14,2
1775896649097606801,vehicle_status_events,nav_state,2,18
1775896656526716022,vehicle_status_events,arming_state,2,1
1775896656526716022,vehicle_status_events,nav_state,18,2
1775896657377205382,vehicle_status_events,pre_flight_checks_pass,True,False
