received_time_ns,event_type,field_name,previous_value,current_value
1775896968860217073,vehicle_status_events,nav_state,4,2
1775896968860217073,vehicle_status_events,pre_flight_checks_pass,True,False
1775896968962572964,vehicle_status_events,pre_flight_checks_pass,False,True
1775896970195583825,vehicle_status_events,arming_state,1,2
1775896970195583825,vehicle_status_events,nav_state,2,14
1775896980284694386,vehicle_status_events,nav_state,14,2
1775896988369183209,vehicle_status_events,nav_state,2,18
1775896994960988568,vehicle_status_events,arming_state,2,1
1775896994960988568,vehicle_status_events,nav_state,18,2
1775896995789214670,vehicle_status_events,pre_flight_checks_pass,True,False
