feature,future_state_roll,future_state_pitch,future_state_yaw,future_state_roll_rate,future_state_pitch_rate,future_state_yaw_rate,future_state_position_x,future_state_position_y,future_state_position_z,future_state_velocity_x,future_state_velocity_y,future_state_velocity_z,future_state_altitude,future_state_vertical_speed,future_state_heading
command_roll,6.460293624470207e-07,-5.599445375778611e-07,8.146416378834308e-07,1.126868516162601e-05,1.589182228393849e-05,-2.9007667899532864e-06,-558365.0446511211,2355230.528465717,-0.0021644379310093676,-0.010372744427934035,0.23402400015182517,-0.08333440976631303,0.0021644379310093676,0.08333440976631303,8.146416378834308e-07
command_pitch,-8.432703898861802e-07,-2.694904993895044e-06,-9.282605436459218e-07,9.6303419530677e-06,1.0025581265207358e-05,3.029837428120843e-06,154437.31399005756,-651418.2842505506,-0.0019978829524544012,-0.30332238606091055,-0.014713658055943697,-0.0680268585555523,0.0019978829524544012,0.0680268585555523,-9.282605436459218e-07
command_yaw,1.0688892248453786e-06,1.6285648992344083e-06,3.4913620570664663e-06,-1.9036088968900408e-05,-2.4731714397680072e-05,-2.182355539869772e-05,-527165.3141407182,2223627.8753447514,-0.008856961926193325,0.0006794224610770973,-0.002019333042946581,0.04458323396444141,0.008856961926193325,-0.04458323396444141,3.4913620570664663e-06
command_throttle,4.510845267410996e-06,4.540641221844337e-06,7.992668987710606e-06,-6.33696999448941e-05,-6.57662287105992e-05,-0.00010629507465612178,96901.14039330787,-408737.90305437637,-0.0060208913422824025,0.0006534472840810983,0.0039118931826105955,0.30205115969622154,0.0060208913422824025,-0.30205115969622154,7.992668987710606e-06
roll,0.6246220399161366,0.05288368861887439,-333.17172867428854,88.98893858450505,174.47332427021635,156.65820280620352,-1603023365.777523,6735265237.362449,0.07152837541893661,-0.164411082082838,-0.002814121275873903,38.63483415054684,-0.07152837541893661,-38.63483415054684,-333.17172867428854
pitch,0.2944525766683164,0.6247459215024203,-786.5026647423712,210.06943132526357,411.8647492801096,369.81679501249016,-3785491157.929472,15905253307.01958,0.10848215422712958,-0.4245284449967369,-0.03980749397176654,91.73300901208893,-0.10848215422712958,-91.73300901208893,-786.5026647423712
yaw,-1.403965823693651e-06,3.6406140592028235e-06,0.4276709706408337,0.019249949543698807,0.03774013842147164,0.03395392465721929,-333932.1876356712,1408552.8493136435,-0.0022743796725777066,0.00016351043326798265,-0.0062591206646056535,0.009972593601991946,0.0022743796725777066,-0.009972593601991946,0.4276709706408337
roll_rate,1.6181883300710814e-06,1.3105821184365752e-05,0.09897563662290768,0.6516700607698331,0.2603988694290441,0.1694313424216821,1671979.590634621,-7052553.789534571,-0.0010374076485766227,0.007851292586994404,-0.0066051938323629,-0.006289276246653652,0.0010374076485766227,0.006289276246653652,0.09897563662290768
pitch_rate,9.643804778509788e-06,1.1024648259823678e-05,0.05782692432459961,0.07733907160188891,0.6372758250028077,0.09868013310844824,580014.9229194932,-2446556.637409487,-0.0002263263857858732,0.009677186699264467,-0.0031337784308950022,0.006125286181220725,0.0002263263857858732,-0.006125286181220725,0.05782692432459961
yaw_rate,1.7612101756749277e-05,1.659289991957434e-05,0.08596508749303615,0.0828462550904629,0.16253574995617204,0.6458714151776898,-285843.11286062177,1205711.2105896755,-0.0013285207028686109,0.0014915679097637874,0.005379712659039995,0.056180339491317455,0.0013285207028686109,-0.056180339491317455,0.08596508749303615
position_x,-2.672091698969109e-15,-1.6740452102996322e-15,-1.5276699420890425e-14,8.719037613658271e-15,4.783601910104049e-14,-8.96068421609411e-16,0.45363281044355963,-1.913461639338484,-1.5546157922553724e-10,-2.469707315254837e-10,3.154051779639843e-10,3.957810689529651e-09,1.5546157922553724e-10,-3.957810689529651e-09,-1.5276699420890425e-14
position_y,6.796686977980805e-16,6.165725726705379e-16,3.6116134764552674e-15,-2.3485144474309174e-15,-1.2029642402809064e-14,2.860051550579085e-16,-0.10754522954336676,0.4536348928002759,3.6900810464172665e-11,5.840181682444488e-11,-7.500753667130778e-11,-9.381405883898683e-10,-3.6900810464172665e-11,9.381405883898683e-10,3.6116134764552674e-15
position_z,0.3488878755744432,0.14804981599504255,-931.5857113125412,248.81802307844828,487.8376837100218,438.03331042218855,-4484116834.248458,18840628810.586086,0.374760398364299,-8.371831936292921e-05,-0.0003190213520697818,109.00143935596482,-0.374760398364299,-109.00143935596482,-931.5857113125412
velocity_x,5.743358326449056e-08,-6.762049751054729e-08,4.9979297935397395e-09,-2.5719209309256264e-06,-1.965408574523513e-06,-9.013606133074116e-07,-1215.550194651329,5124.6894893492135,-0.0003507100428196201,0.4993482459112861,0.004530365338412914,-0.005905328037233853,0.0003507100428196201,0.005905328037233853,4.9979297935397395e-09
velocity_y,-1.519610131955925e-07,-2.638405037122303e-07,3.3580002230874754e-07,1.8600666255494414e-06,5.666184160935918e-06,8.672801271351984e-07,-3231.598921223467,13630.77191643291,0.000635624330880264,-0.0047091644505455705,0.5012455279753589,0.013576154904558973,-0.000635624330880264,-0.013576154904558973,3.3580002230874754e-07
velocity_z,3.0050778096997175e-08,2.1201338874141933e-08,5.941651246077078e-07,-7.107875531465655e-07,-7.07793063580545e-07,-2.5508185528397313e-07,1059234.228650041,-4467939.739240172,0.026492257340772422,0.00082238047546818,0.0003417270883422743,0.47377673232961237,-0.026492257340772422,-0.47377673232961237,5.941651246077078e-07
altitude,-0.3488878755745059,-0.14804981599497627,931.5857113203728,-248.81802307844833,-487.8376837100219,-438.0333104221887,4484116834.248413,-18840628810.586033,-0.37476039836439146,8.371831937070808e-05,0.00031902135208221376,-109.00143935596468,0.37476039836439146,109.00143935596468,931.5857113203728
vertical_speed,-3.00507781372329e-08,-2.1201338876921068e-08,-5.941651244817864e-07,7.107875530820475e-07,7.077930639714935e-07,2.550818555378472e-07,-1059234.2286377857,4467939.739262153,-0.026492257340564672,-0.0008223804754761285,-0.0003417270883327324,-0.47377673232960615,0.026492257340564672,0.47377673232960615,-5.941651244817864e-07
heading,-1.4039658271658207e-06,3.6406140568316768e-06,0.427670970640465,0.019249949543755907,0.03774013842122677,0.03395392465697331,-333932.1876362484,1408552.8493141609,-0.0022743796721768753,0.0001635104333678819,-0.006259120664432965,0.009972593602025601,0.0022743796721768753,-0.009972593602025601,0.427670970640465
