sample_id,run_id,backend,mode,scenario,config_profile,research_tier,research_acceptance,seed,timestamp,logical_step,command_roll,command_pitch,command_yaw,command_throttle,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,altitude,vertical_speed,heading,integrator_roll,integrator_pitch,integrator_yaw,control_output_roll,control_output_pitch,control_output_yaw,torque_achieved,thrust_achieved,saturation_ratio,tracking_error_roll,tracking_error_pitch,tracking_error_yaw,tracking_error_rate_roll,tracking_error_rate_pitch,tracking_error_rate_yaw,run_status,runtime_failsafe,quality_alignment_attitude_ns,quality_alignment_rates_ns,quality_alignment_position_ns,quality_alignment_attitude_setpoint_ns,quality_alignment_rates_setpoint_ns,quality_alignment_integrator_ns,quality_alignment_allocator_ns,quality_alignment_actuator_ns,quality_alignment_status_ns,quality_missing_attitude,quality_missing_rates,quality_missing_local_position,quality_missing_attitude_setpoint,quality_missing_rates_setpoint,quality_missing_integrator,quality_missing_allocator,quality_missing_actuator,quality_missing_status,quality_alignment_failed,actuator_1,actuator_2,actuator_3,actuator_4,param_ARMING_CHECK,backend_ardupilot,mode_stabilize,scenario_nominal,config_profile_ardupilot_diagnostic_stabilize_throttle__large,config_profile_ardupilot_diagnostic_stabilize_throttle__medium,config_profile_ardupilot_diagnostic_stabilize_throttle__small,tracking_error_magnitude,control_effort_magnitude,quality_future_horizon_available,quality_delta_state_available,baseline_state_roll,future_state_roll,delta_state_roll,baseline_state_pitch,future_state_pitch,delta_state_pitch,baseline_state_yaw,future_state_yaw,delta_state_yaw,baseline_state_roll_rate,future_state_roll_rate,delta_state_roll_rate,baseline_state_pitch_rate,future_state_pitch_rate,delta_state_pitch_rate,baseline_state_yaw_rate,future_state_yaw_rate,delta_state_yaw_rate,baseline_state_position_x,future_state_position_x,delta_state_position_x,baseline_state_position_y,future_state_position_y,delta_state_position_y,baseline_state_position_z,future_state_position_z,delta_state_position_z,baseline_state_velocity_x,future_state_velocity_x,delta_state_velocity_x,baseline_state_velocity_y,future_state_velocity_y,delta_state_velocity_y,baseline_state_velocity_z,future_state_velocity_z,delta_state_velocity_z,baseline_state_altitude,future_state_altitude,delta_state_altitude,baseline_state_vertical_speed,future_state_vertical_speed,delta_state_vertical_speed,baseline_state_heading,future_state_heading,delta_state_heading,quality_window_summary_available,window_mean_roll,window_peak_roll,window_rms_roll,window_mean_pitch,window_peak_pitch,window_rms_pitch,window_mean_yaw,window_peak_yaw,window_rms_yaw,window_mean_roll_rate,window_peak_roll_rate,window_rms_roll_rate,window_mean_pitch_rate,window_peak_pitch_rate,window_rms_pitch_rate,window_mean_yaw_rate,window_peak_yaw_rate,window_rms_yaw_rate,window_mean_altitude,window_peak_altitude,window_rms_altitude,window_mean_vertical_speed,window_peak_vertical_speed,window_rms_vertical_speed,quality_actuator_response_available,quality_tracking_error_available
20260409_122447_ardupilot_manual_pulse_train_throttle_r1:000000,20260409_122447_ardupilot_manual_pulse_train_throttle_r1,ardupilot,STABILIZE,nominal,ardupilot_diagnostic_stabilize_throttle__small,diagnostic_research,accepted,231,1775762695900669440,0,0.0,0.0,0.0,0.65,0.04,0.03,355.57,0.011795548722147942,0.0045570083893835545,0.3630072772502899,0.0,0.0,0.027,0.0,0.0,0.03,-0.027,-0.03,355.57,0.0,0.0,0.01,-0.0005325559177435935,-0.00032065800041891634,-0.0005750847049057484,nan,nan,1.0,-0.04,-0.03,-0.009999999999990905,-0.2225321512669325,-0.14233681047335267,-0.36294491098669823,completed,0,50808832.0,1.7757626667240115e+18,51016960.0,nan,nan,1.7757626667240115e+18,1.7757626668239713e+18,1.7757626668239713e+18,1017362176.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.4517846105992967,0.0,1.0,1.0,0.04,0.04,0.0,0.03,0.03,0.0,355.57,355.57,0.0,0.011795548722147942,0.011795548722147942,0.0,0.0045570083893835545,0.0045570083893835545,0.0,0.3630072772502899,0.3630072772502899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,-0.027,-0.027,0.0,-0.03,-0.03,0.0,355.57,355.57,0.0,1.0,0.04,0.04,0.04,0.03,0.03,0.03,355.57,355.57,355.57,0.011795548722147942,0.011795548722147942,0.011795548722147942,0.0045570083893835545,0.0045570083893835545,0.0045570083893835545,0.3630072772502899,0.3630072772502899,0.3630072772502899,-0.027,0.027,0.027,-0.03,0.03,0.03,1.0,1.0
20260409_122447_ardupilot_manual_pulse_train_throttle_r1:000001,20260409_122447_ardupilot_manual_pulse_train_throttle_r1,ardupilot,STABILIZE,nominal,ardupilot_diagnostic_stabilize_throttle__small,diagnostic_research,accepted,231,1775762695951207424,1,0.0,0.0,0.0,0.65,0.04,0.03,355.57,0.011795548722147942,0.0045570083893835545,0.3630072772502899,0.0,0.0,0.027,0.0,0.0,0.03,-0.027,-0.03,355.57,0.0,0.0,0.01,-0.0005325559177435935,-0.00032065800041891634,-0.0005750847049057484,nan,nan,1.0,-0.04,-0.03,-0.009999999999990905,-0.2225321512669325,-0.14233681047335267,-0.36294491098669823,completed,0,270848.0,1.7757626667745495e+18,478976.0,nan,nan,1.7757626667745495e+18,1.7757626668745093e+18,1.7757626668745093e+18,966824192.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.4517846105992967,0.0,1.0,1.0,0.04,0.04,0.0,0.03,0.03,0.0,355.57,355.57,0.0,0.011795548722147942,0.011795548722147942,0.0,0.0045570083893835545,0.0045570083893835545,0.0,0.3630072772502899,0.3630072772502899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,-0.027,-0.027,0.0,-0.03,-0.03,0.0,355.57,355.57,0.0,1.0,0.04,0.04,0.04,0.03,0.03,0.03,355.57,355.57,355.57,0.011795548722147942,0.011795548722147942,0.011795548722147942,0.0045570083893835545,0.0045570083893835545,0.0045570083893835545,0.3630072772502899,0.3630072772502899,0.3630072772502899,-0.027,0.027,0.027,-0.03,0.03,0.03,1.0,1.0
20260409_122447_ardupilot_manual_pulse_train_throttle_r1:000002,20260409_122447_ardupilot_manual_pulse_train_throttle_r1,ardupilot,STABILIZE,nominal,ardupilot_diagnostic_stabilize_throttle__small,diagnostic_research,accepted,231,1775762696007885056,2,0.0,0.0,0.0,0.65,0.04,0.03,355.57,0.011795548722147942,0.0045570083893835545,0.3630072772502899,0.0,0.0,0.027,0.0,0.0,0.03,-0.027,-0.03,355.57,0.0,0.0,0.01,-0.0005325559177435935,-0.00032065800041891634,-0.0005750847049057484,nan,nan,1.0,-0.04,-0.03,-0.009999999999990905,-0.2225321512669325,-0.14233681047335267,-0.36294491098669823,completed,0,319488.0,1.7757626668312271e+18,467712.0,nan,nan,1.7757626668312271e+18,1.775762666931187e+18,1.775762666931187e+18,910146560.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.4517846105992967,0.0,1.0,1.0,0.04,0.04,0.0,0.03,0.03,0.0,355.57,355.57,0.0,0.011795548722147942,0.011795548722147942,0.0,0.0045570083893835545,0.0045570083893835545,0.0,0.3630072772502899,0.3630072772502899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,-0.027,-0.027,0.0,-0.03,-0.03,0.0,355.57,355.57,0.0,1.0,0.04,0.04,0.04,0.03,0.03,0.03,355.57,355.57,355.57,0.011795548722147942,0.011795548722147942,0.011795548722147942,0.0045570083893835545,0.0045570083893835545,0.0045570083893835545,0.3630072772502899,0.3630072772502899,0.3630072772502899,-0.027,0.027,0.027,-0.03,0.03,0.03,1.0,1.0
20260409_122447_ardupilot_manual_pulse_train_throttle_r1:000003,20260409_122447_ardupilot_manual_pulse_train_throttle_r1,ardupilot,STABILIZE,nominal,ardupilot_diagnostic_stabilize_throttle__small,diagnostic_research,accepted,231,1775762696061583616,3,0.0,0.0,0.0,0.65,0.04,0.03,355.57,0.011795548722147942,0.0045570083893835545,0.3630072772502899,0.0,0.0,0.027,0.0,0.0,0.03,-0.027,-0.03,355.57,0.0,0.0,0.01,-0.0005325559177435935,-0.00032065800041891634,-0.0005750847049057484,nan,nan,1.0,-0.04,-0.03,-0.009999999999990905,-0.2225321512669325,-0.14233681047335267,-0.36294491098669823,completed,0,266752.0,1.7757626668849257e+18,435456.0,nan,nan,1.7757626668849257e+18,1.7757626669848855e+18,1.7757626669848855e+18,856448000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.4517846105992967,0.0,1.0,1.0,0.04,0.04,0.0,0.03,0.03,0.0,355.57,355.57,0.0,0.011795548722147942,0.011795548722147942,0.0,0.0045570083893835545,0.0045570083893835545,0.0,0.3630072772502899,0.3630072772502899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,-0.027,-0.027,0.0,-0.03,-0.03,0.0,355.57,355.57,0.0,1.0,0.04,0.04,0.04,0.03,0.03,0.03,355.57,355.57,355.57,0.011795548722147942,0.011795548722147942,0.011795548722147942,0.0045570083893835545,0.0045570083893835545,0.0045570083893835545,0.3630072772502899,0.3630072772502899,0.3630072772502899,-0.027,0.027,0.027,-0.03,0.03,0.03,1.0,1.0
20260409_122447_ardupilot_manual_pulse_train_throttle_r1:000004,20260409_122447_ardupilot_manual_pulse_train_throttle_r1,ardupilot,STABILIZE,nominal,ardupilot_diagnostic_stabilize_throttle__small,diagnostic_research,accepted,231,1775762696115430912,4,0.0,0.0,0.0,0.65,0.04,0.03,355.57,0.011795548722147942,0.0045570083893835545,0.3630072772502899,0.0,0.0,0.027,0.0,0.0,0.03,-0.027,-0.03,355.57,0.0,0.0,0.01,-0.0005325559177435935,-0.00032065800041891634,-0.0005750847049057484,nan,nan,1.0,-0.04,-0.03,-0.009999999999990905,-0.2225321512669325,-0.14233681047335267,-0.36294491098669823,completed,0,235264.0,1.775762666938773e+18,349440.0,nan,nan,1.775762666938773e+18,1.7757626670387328e+18,1.7757626670387328e+18,802600704.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.4517846105992967,0.0,1.0,1.0,0.04,0.04,0.0,0.03,0.03,0.0,355.57,355.57,0.0,0.011795548722147942,0.011795548722147942,0.0,0.0045570083893835545,0.0045570083893835545,0.0,0.3630072772502899,0.3630072772502899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,-0.027,-0.027,0.0,-0.03,-0.03,0.0,355.57,355.57,0.0,1.0,0.04,0.04,0.04,0.03,0.03,0.03,355.57,355.57,355.57,0.011795548722147942,0.011795548722147942,0.011795548722147942,0.0045570083893835545,0.0045570083893835545,0.0045570083893835545,0.3630072772502899,0.3630072772502899,0.3630072772502899,-0.027,0.027,0.027,-0.03,0.03,0.03,1.0,1.0
20260409_122447_ardupilot_manual_pulse_train_throttle_r1:000005,20260409_122447_ardupilot_manual_pulse_train_throttle_r1,ardupilot,STABILIZE,nominal,ardupilot_diagnostic_stabilize_throttle__small,diagnostic_research,accepted,231,1775762696168296960,5,0.0,0.0,0.0,0.65,0.04,0.03,355.57,0.011795548722147942,0.0045570083893835545,0.3630072772502899,0.0,0.0,0.027,0.0,0.0,0.03,-0.027,-0.03,355.57,0.0,0.0,0.01,-0.0005325559177435935,-0.00032065800041891634,-0.0005750847049057484,nan,nan,1.0,-0.04,-0.03,-0.009999999999990905,-0.2225321512669325,-0.14233681047335267,-0.36294491098669823,completed,0,277504.0,1.775762666991639e+18,440832.0,nan,nan,1.775762666991639e+18,1.7757626670915988e+18,1.7757626670915988e+18,749734656.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.4517846105992967,0.0,1.0,1.0,0.04,0.04,0.0,0.03,0.03,0.0,355.57,355.57,0.0,0.011795548722147942,0.011795548722147942,0.0,0.0045570083893835545,0.0045570083893835545,0.0,0.3630072772502899,0.3630072772502899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,-0.027,-0.027,0.0,-0.03,-0.03,0.0,355.57,355.57,0.0,1.0,0.04,0.04,0.04,0.03,0.03,0.03,355.57,355.57,355.57,0.011795548722147942,0.011795548722147942,0.011795548722147942,0.0045570083893835545,0.0045570083893835545,0.0045570083893835545,0.3630072772502899,0.3630072772502899,0.3630072772502899,-0.027,0.027,0.027,-0.03,0.03,0.03,1.0,1.0
20260409_122447_ardupilot_manual_pulse_train_throttle_r1:000006,20260409_122447_ardupilot_manual_pulse_train_throttle_r1,ardupilot,STABILIZE,nominal,ardupilot_diagnostic_stabilize_throttle__small,diagnostic_research,accepted,231,1775762696222182144,6,0.0,0.0,0.0,0.65,0.04,0.03,355.57,0.011795548722147942,0.0045570083893835545,0.3630072772502899,0.0,0.0,0.027,0.0,0.0,0.03,-0.027,-0.03,355.57,0.0,0.0,0.01,-0.0005325559177435935,-0.00032065800041891634,-0.0005750847049057484,nan,nan,1.0,-0.04,-0.03,-0.009999999999990905,-0.2225321512669325,-0.14233681047335267,-0.36294491098669823,completed,0,182272.0,1.7757626670455242e+18,271104.0,nan,nan,1.7757626670455242e+18,1.775762667145484e+18,1.775762667145484e+18,695849472.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.4517846105992967,0.0,1.0,1.0,0.04,0.04,0.0,0.03,0.03,0.0,355.57,355.57,0.0,0.011795548722147942,0.011795548722147942,0.0,0.0045570083893835545,0.0045570083893835545,0.0,0.3630072772502899,0.3630072772502899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,-0.027,-0.027,0.0,-0.03,-0.03,0.0,355.57,355.57,0.0,1.0,0.04,0.04,0.04,0.03,0.03,0.03,355.57,355.57,355.57,0.011795548722147942,0.011795548722147942,0.011795548722147942,0.0045570083893835545,0.0045570083893835545,0.0045570083893835545,0.3630072772502899,0.3630072772502899,0.3630072772502899,-0.027,0.027,0.027,-0.03,0.03,0.03,1.0,1.0
20260409_122447_ardupilot_manual_pulse_train_throttle_r1:000007,20260409_122447_ardupilot_manual_pulse_train_throttle_r1,ardupilot,STABILIZE,nominal,ardupilot_diagnostic_stabilize_throttle__small,diagnostic_research,accepted,231,1775762696274593280,7,0.0,0.0,0.0,0.65,0.04,0.03,355.57,0.011795548722147942,0.0045570083893835545,0.3630072772502899,0.0,0.0,0.027,0.0,0.0,0.03,-0.027,-0.03,355.57,0.0,0.0,0.01,-0.0005325559177435935,-0.00032065800041891634,-0.0005750847049057484,nan,nan,1.0,-0.04,-0.03,-0.009999999999990905,-0.2225321512669325,-0.14233681047335267,-0.36294491098669823,completed,0,273664.0,1.7757626670979354e+18,431616.0,nan,nan,1.7757626670979354e+18,1.7757626671978952e+18,1.7757626671978952e+18,643438336.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.4517846105992967,0.0,1.0,1.0,0.04,0.04,0.0,0.03,0.03,0.0,355.57,355.57,0.0,0.011795548722147942,0.011795548722147942,0.0,0.0045570083893835545,0.0045570083893835545,0.0,0.3630072772502899,0.3630072772502899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,-0.027,-0.027,0.0,-0.03,-0.03,0.0,355.57,355.57,0.0,1.0,0.04,0.04,0.04,0.03,0.03,0.03,355.57,355.57,355.57,0.011795548722147942,0.011795548722147942,0.011795548722147942,0.0045570083893835545,0.0045570083893835545,0.0045570083893835545,0.3630072772502899,0.3630072772502899,0.3630072772502899,-0.027,0.027,0.027,-0.03,0.03,0.03,1.0,1.0
20260409_122447_ardupilot_manual_pulse_train_throttle_r1:000008,20260409_122447_ardupilot_manual_pulse_train_throttle_r1,ardupilot,STABILIZE,nominal,ardupilot_diagnostic_stabilize_throttle__small,diagnostic_research,accepted,231,1775762696328367872,8,0.0,0.0,0.0,0.65,0.04,0.03,355.57,0.011795548722147942,0.0045570083893835545,0.3630072772502899,0.0,0.0,0.027,0.0,0.0,0.03,-0.027,-0.03,355.57,0.0,0.0,0.01,-0.0005325559177435935,-0.00032065800041891634,-0.0005750847049057484,nan,nan,1.0,-0.04,-0.03,-0.009999999999990905,-0.2225321512669325,-0.14233681047335267,-0.36294491098669823,completed,0,220160.0,1.77576266715171e+18,332032.0,nan,nan,1.77576266715171e+18,1.7757626672516698e+18,1.7757626672516698e+18,589663744.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.4517846105992967,0.0,1.0,1.0,0.04,0.04,0.0,0.03,0.03,0.0,355.57,355.57,0.0,0.011795548722147942,0.011795548722147942,0.0,0.0045570083893835545,0.0045570083893835545,0.0,0.3630072772502899,0.3630072772502899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,-0.009999999999999998,-0.027,-0.027,0.0,-0.03,-0.02,0.009999999999999998,355.57,355.57,0.0,1.0,0.04,0.04,0.04,0.03,0.03,0.03,355.57,355.57,355.57,0.011795548722147942,0.011795548722147942,0.011795548722147942,0.0045570083893835545,0.0045570083893835545,0.0045570083893835545,0.3630072772502899,0.3630072772502899,0.3630072772502899,-0.027,0.027,0.027,-0.025,0.03,0.025495097567963924,1.0,1.0
20260409_122447_ardupilot_manual_pulse_train_throttle_r1:000009,20260409_122447_ardupilot_manual_pulse_train_throttle_r1,ardupilot,STABILIZE,nominal,ardupilot_diagnostic_stabilize_throttle__small,diagnostic_research,accepted,231,1775762696381261568,9,0.0,0.0,0.0,0.65,0.04,0.03,355.57,0.011795548722147942,0.0045570083893835545,0.3630072772502899,0.0,0.0,0.027,0.0,0.0,0.03,-0.027,-0.03,355.57,0.0,0.0,0.01,-0.0005325559177435935,-0.00032065800041891634,-0.0005750847049057484,nan,nan,1.0,-0.04,-0.03,-0.009999999999990905,-0.2225321512669325,-0.14233681047335267,-0.36294491098669823,completed,0,262144.0,1.7757626672046036e+18,419328.0,nan,nan,1.7757626672046036e+18,1.7757626673045635e+18,1.7757626673045635e+18,536770048.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.4517846105992967,0.0,1.0,1.0,0.04,0.04,0.0,0.03,0.03,0.0,355.57,355.57,0.0,0.011795548722147942,0.011795548722147942,0.0,0.0045570083893835545,0.0045570083893835545,0.0,0.3630072772502899,0.3630072772502899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,-0.009999999999999998,-0.027,-0.027,0.0,-0.03,-0.02,0.009999999999999998,355.57,355.57,0.0,1.0,0.04,0.04,0.04,0.03,0.03,0.03,355.57,355.57,355.57,0.011795548722147942,0.011795548722147942,0.011795548722147942,0.0045570083893835545,0.0045570083893835545,0.0045570083893835545,0.3630072772502899,0.3630072772502899,0.3630072772502899,-0.027,0.027,0.027,-0.02,0.02,0.02,1.0,1.0
