sample_id,run_id,backend,mode,scenario,config_profile,research_tier,research_acceptance,seed,timestamp,logical_step,command_roll,command_pitch,command_yaw,command_throttle,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,altitude,vertical_speed,heading,integrator_roll,integrator_pitch,integrator_yaw,control_output_roll,control_output_pitch,control_output_yaw,torque_achieved,thrust_achieved,saturation_ratio,tracking_error_roll,tracking_error_pitch,tracking_error_yaw,tracking_error_rate_roll,tracking_error_rate_pitch,tracking_error_rate_yaw,run_status,runtime_failsafe,quality_alignment_attitude_ns,quality_alignment_rates_ns,quality_alignment_position_ns,quality_alignment_attitude_setpoint_ns,quality_alignment_rates_setpoint_ns,quality_alignment_integrator_ns,quality_alignment_allocator_ns,quality_alignment_actuator_ns,quality_alignment_status_ns,quality_missing_attitude,quality_missing_rates,quality_missing_local_position,quality_missing_attitude_setpoint,quality_missing_rates_setpoint,quality_missing_integrator,quality_missing_allocator,quality_missing_actuator,quality_missing_status,quality_alignment_failed,actuator_1,actuator_2,actuator_3,actuator_4,backend_ardupilot,backend_px4,mode_offboard_attitude,mode_stabilize,scenario_nominal,config_profile_ardupilot_real_stabilize_nominal,config_profile_px4_diagnostic_offboard_attitude_throttle__large,tracking_error_magnitude,control_effort_magnitude,quality_future_horizon_available,quality_delta_state_available,baseline_state_roll,future_state_roll,delta_state_roll,baseline_state_pitch,future_state_pitch,delta_state_pitch,baseline_state_yaw,future_state_yaw,delta_state_yaw,baseline_state_roll_rate,future_state_roll_rate,delta_state_roll_rate,baseline_state_pitch_rate,future_state_pitch_rate,delta_state_pitch_rate,baseline_state_yaw_rate,future_state_yaw_rate,delta_state_yaw_rate,baseline_state_position_x,future_state_position_x,delta_state_position_x,baseline_state_position_y,future_state_position_y,delta_state_position_y,baseline_state_position_z,future_state_position_z,delta_state_position_z,baseline_state_velocity_x,future_state_velocity_x,delta_state_velocity_x,baseline_state_velocity_y,future_state_velocity_y,delta_state_velocity_y,baseline_state_velocity_z,future_state_velocity_z,delta_state_velocity_z,baseline_state_altitude,future_state_altitude,delta_state_altitude,baseline_state_vertical_speed,future_state_vertical_speed,delta_state_vertical_speed,baseline_state_heading,future_state_heading,delta_state_heading,quality_window_summary_available,window_mean_roll,window_peak_roll,window_rms_roll,window_mean_pitch,window_peak_pitch,window_rms_pitch,window_mean_yaw,window_peak_yaw,window_rms_yaw,window_mean_roll_rate,window_peak_roll_rate,window_rms_roll_rate,window_mean_pitch_rate,window_peak_pitch_rate,window_rms_pitch_rate,window_mean_yaw_rate,window_peak_yaw_rate,window_rms_yaw_rate,window_mean_altitude,window_peak_altitude,window_rms_altitude,window_mean_vertical_speed,window_peak_vertical_speed,window_rms_vertical_speed,quality_actuator_response_available,quality_tracking_error_available,param_ARMING_CHECK
20260409_073609_px4_attitude_pulse_train_throttle_r1:000000,20260409_073609_px4_attitude_pulse_train_throttle_r1,px4,OFFBOARD_ATTITUDE,nominal,px4_diagnostic_offboard_attitude_throttle__large,diagnostic_research,accepted,155,1775745382525242112,0,0.0,0.0,0.0,-0.69,0.0052069494423372924,0.004780426697413563,1.5672311335803386,6.980917532928288e-05,6.072080213925801e-05,0.00011538874241523445,-0.1328151971101761,-0.06496850401163101,0.35067737102508545,-0.011918372474610806,-0.02958126738667488,-0.03927294537425041,-0.35067737102508545,0.03927294537425041,1.5672340393066406,0.0,0.0,0.0,-0.015210814774036407,-0.00872565247118473,3.7421575598273193e-06,nan,nan,2.0,-0.0052069494423372924,-0.004780426697413563,-0.00015290081514085507,-0.01528062394936569,-0.008786373273323989,-0.00011164658485540713,completed,0,2114304.0,197632.0,3529728.0,12197632.0,4197632.0,60197632.0,60197632.0,39802368.0,17512960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001408284588251263,0.0018591718981042504,1.8068792989600624e-13,0.0020000003278255463,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.018992063318757444,0.0010000001712339027,1.0,1.0,0.0052069494423372924,0.005166081540096905,-4.086790224038742e-05,0.004780426697413563,0.004782769423392032,2.3427259784689763e-06,1.5672311335803386,1.5672046893357425,-2.644424459607997e-05,6.980917532928288e-05,6.300907989498228e-05,-6.8000954343006015e-06,6.072080213925801e-05,-3.1663861591368914e-05,-9.238466373062693e-05,0.00011538874241523445,0.00020917908113915473,9.379033872392029e-05,-0.1328151971101761,-0.1360834836959839,-0.0032682865858078003,-0.06496850401163101,-0.06904561072587967,-0.004077106714248657,0.35067737102508545,0.3663906157016754,0.015713244676589966,-0.011918372474610806,-0.011605469509959221,0.0003129029646515846,-0.02958126738667488,-0.03031744249165058,-0.0007361751049757004,-0.03927294537425041,-0.03688912093639374,0.002383824437856674,-0.35067737102508545,-0.3663906157016754,-0.015713244676589966,0.03927294537425041,0.03688912093639374,-0.002383824437856674,1.5672340393066406,1.5672050714492798,-2.8967857360839844e-05,1.0,0.005178004918525948,0.005189928296954992,0.005178018646473965,0.004780402909167052,0.004782769423392032,0.004780403494932452,1.5672133193108273,1.567221949285912,1.567213319334588,-6.78915239404887e-06,7.658738468308002e-05,7.012763949330656e-05,-7.157098298193887e-05,0.00011147810437250882,8.194500559938153e-05,9.228539965988602e-05,0.00020917908113915473,0.00014893195681304138,-0.36261726915836334,0.3663906157016754,0.3626369010953034,0.03739329241216183,0.037897463887929916,0.037396691114300704,1.0,1.0,
20260409_073609_px4_attitude_pulse_train_throttle_r1:000001,20260409_073609_px4_attitude_pulse_train_throttle_r1,px4,OFFBOARD_ATTITUDE,nominal,px4_diagnostic_offboard_attitude_throttle__large,diagnostic_research,accepted,155,1775745382574081792,1,0.0,0.0,0.0,-0.69,0.005189928296954992,0.004778036394942073,1.567221949285912,-7.658738468308002e-05,-0.00011147810437250882,-2.4608281819382682e-05,-0.1343449205160141,-0.06691384315490723,0.35884392261505127,-0.011603400111198425,-0.02988487295806408,-0.037897463887929916,-0.35884392261505127,0.037897463887929916,1.567224144935608,0.0,0.0,0.0,-0.01573224365711212,-0.008857675828039646,8.770035492489114e-06,nan,nan,2.0,-0.005189928296954992,-0.004778036394942073,-0.00014312047426656704,-0.01565565627242904,-0.008746197723667137,3.33783173118718e-05,completed,0,5015552.0,2962688.0,2329600.0,13037312.0,6962688.0,90962688.0,90962688.0,9037312.0,31326720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001408284588251263,0.0018591718981042504,1.8068792989600624e-13,0.0020000003278255463,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.01927127741077568,0.0010000001712339027,1.0,1.0,0.005189928296954992,0.005155032132437746,-3.489616451724572e-05,0.004778036394942073,0.004792125812244509,1.4089417302435778e-05,1.567221949285912,1.5671918913441896,-3.0057941722505532e-05,-7.658738468308002e-05,0.00015414068184327334,0.00023072806652635336,-0.00011147810437250882,-6.454633694374934e-05,4.6931767428759485e-05,-2.4608281819382682e-05,4.128022555960342e-05,6.58885073789861e-05,-0.1343449205160141,-0.1381206214427948,-0.0037757009267807007,-0.06691384315490723,-0.07102047652006149,-0.004106633365154266,0.35884392261505127,0.3718867599964142,0.013042837381362915,-0.011603400111198425,-0.011974489316344261,-0.0003710892051458359,-0.02988487295806408,-0.031042614951729774,-0.0011577419936656952,-0.037897463887929916,-0.03622528165578842,0.0016721822321414948,-0.35884392261505127,-0.3718867599964142,-0.013042837381362915,0.037897463887929916,0.03622528165578842,-0.0016721822321414948,1.567224144935608,1.5671918392181396,-3.230571746826172e-05,1.0,0.0051605568362673255,0.005166081540096905,0.0051605597935396345,0.004787447617818271,0.004792125812244509,0.004787449903534962,1.5671982903399662,1.5672046893357425,1.5671982903530297,0.00010857488086912781,0.00015414068184327334,0.00011774866017989648,-4.8105099267559126e-05,6.454633694374934e-05,5.08371406735931e-05,0.00012522965334937908,0.00020917908113915473,0.00015076462617018757,-0.3691386878490448,0.3718867599964142,0.3691489167902863,0.03655720129609108,0.03688912093639374,0.03655870809055678,1.0,1.0,
20260409_073609_px4_attitude_pulse_train_throttle_r1:000002,20260409_073609_px4_attitude_pulse_train_throttle_r1,px4,OFFBOARD_ATTITUDE,nominal,px4_diagnostic_offboard_attitude_throttle__large,diagnostic_research,accepted,155,1775745382624883968,2,0.0,0.0,0.0,-0.69,0.005166081540096905,0.004782769423392032,1.5672046893357425,6.300907989498228e-05,-3.1663861591368914e-05,0.00020917908113915473,-0.1360834836959839,-0.06904561072587967,0.3663906157016754,-0.011605469509959221,-0.03031744249165058,-0.03688912093639374,-0.3663906157016754,0.03688912093639374,1.5672050714492798,0.0,0.0,0.0,-0.016046667471528053,-0.008891199715435505,1.649911246204283e-05,nan,nan,2.0,-0.005166081540096905,-0.004782769423392032,-0.00014290745250278292,-0.016109676551423036,-0.008859535853844136,-0.0001926799686771119,completed,0,3325440.0,160512.0,1613568.0,15839488.0,3839488.0,40160512.0,40160512.0,40160512.0,82128896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018303080287296325,0.0018042337615042925,6.06460025665001e-06,0.002006671391427517,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.019688420050466036,0.0010000001390153557,1.0,1.0,0.005166081540096905,0.005170920150091377,4.838609994471665e-06,0.004782769423392032,0.004841060464732736,5.829104134070454e-05,1.5672046893357425,1.5671427388988917,-6.19504368508661e-05,6.300907989498228e-05,0.0001966350682778284,0.00013362598838284612,-3.1663861591368914e-05,-4.4060037907911465e-05,-1.2396176316542551e-05,0.00020917908113915473,0.00015114164853002876,-5.803743260912597e-05,-0.1360834836959839,-0.1424720138311386,-0.006388530135154724,-0.06904561072587967,-0.07469647377729416,-0.00565086305141449,0.3663906157016754,0.38036543130874634,0.013974815607070923,-0.011605469509959221,-0.013242796063423157,-0.0016373265534639359,-0.03031744249165058,-0.03260975331068039,-0.002292310819029808,-0.03688912093639374,-0.035237234085798264,0.0016518868505954742,-0.3663906157016754,-0.38036543130874634,-0.013974815607070923,0.03688912093639374,0.035237234085798264,-0.0016518868505954742,1.5672050714492798,1.5671343803405762,-7.069110870361328e-05,1.0,0.005162976141264561,0.005170920150091377,0.00516298225278214,0.004816593138488623,0.004841060464732736,0.00481665528264056,1.5671673151215406,1.5671918913441896,1.567167315314242,0.00017538787506055087,0.0001966350682778284,0.00017667017274533843,-5.43031874258304e-05,6.454633694374934e-05,5.526082044859005e-05,9.621093704481609e-05,0.00015114164853002876,0.00011078775867086237,-0.37612609565258026,0.38036543130874634,0.3761499857738394,0.03573125787079334,0.03622528165578842,0.03573467291761983,1.0,1.0,
20260409_073609_px4_attitude_pulse_train_throttle_r1:000003,20260409_073609_px4_attitude_pulse_train_throttle_r1,px4,OFFBOARD_ATTITUDE,nominal,px4_diagnostic_offboard_attitude_throttle__large,diagnostic_research,accepted,155,1775745382675017984,3,0.0,0.0,0.0,-0.69,0.005155032132437746,0.004792125812244509,1.5671918913441896,0.00015414068184327334,-6.454633694374934e-05,4.128022555960342e-05,-0.1381206214427948,-0.07102047652006149,0.3718867599964142,-0.011974489316344261,-0.031042614951729774,-0.03622528165578842,-0.3718867599964142,0.03622528165578842,1.5671918392181396,0.0,0.0,0.0,-0.016805490478873253,-0.008642569184303284,2.0626823243219405e-05,nan,nan,2.0,-0.005155032132437746,-0.004792125812244509,-0.00016575303852550682,-0.016959631160716526,-0.008578022847359534,-2.0653402316384017e-05,completed,0,5773568.0,2026496.0,1524736.0,9973504.0,6026496.0,9973504.0,9973504.0,9973504.0,132262912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018303080287296325,0.0018042337615042925,6.06460025665001e-06,0.002006671391427517,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.02026766616552144,0.0010000001390153557,1.0,1.0,0.005155032132437746,0.005194515357936356,3.9483225498610115e-05,0.004792125812244509,0.004900681690069909,0.0001085558778253998,1.5671918913441896,1.5670977211163173,-9.417022787228113e-05,0.00015414068184327334,0.00014881034439895302,-5.330337444320321e-06,-6.454633694374934e-05,-9.52978734858334e-05,-3.075153654208407e-05,4.128022555960342e-05,-0.00011167669435963035,-0.00015295691991923377,-0.1381206214427948,-0.1459515243768692,-0.007830902934074402,-0.07102047652006149,-0.07766307145357132,-0.006642594933509827,0.3718867599964142,0.38606396317481995,0.014177203178405762,-0.011974489316344261,-0.014438443817198277,-0.0024639545008540154,-0.031042614951729774,-0.0338214710354805,-0.002778856083750725,-0.03622528165578842,-0.03463494032621384,0.001590341329574585,-0.3718867599964142,-0.38606396317481995,-0.014177203178405762,0.03622528165578842,0.03463494032621384,-0.001590341329574585,1.5671918392181396,1.5670952796936035,-9.655952453613281e-05,1.0,0.005182717754013867,0.005194515357936356,0.005182731181648229,0.004870871077401322,0.004900681690069909,0.004870962299719881,1.5671202300076046,1.5671427388988917,1.5671202301692546,0.0001727227063383907,0.0001966350682778284,0.00017437010735324053,-6.967895569687244e-05,9.52978734858334e-05,7.423938183797231e-05,1.9732477085199207e-05,0.00015114164853002876,0.0001328824329689012,-0.38321469724178314,0.38606396317481995,0.38322528948187734,0.03493608720600605,0.035237234085798264,0.03493738511550153,1.0,1.0,
20260409_073609_px4_attitude_pulse_train_throttle_r1:000004,20260409_073609_px4_attitude_pulse_train_throttle_r1,px4,OFFBOARD_ATTITUDE,nominal,px4_diagnostic_offboard_attitude_throttle__large,diagnostic_research,accepted,155,1775745382724064768,4,0.0,0.0,0.0,-0.69,0.005170920150091377,0.004841060464732736,1.5671427388988917,0.0001966350682778284,-4.4060037907911465e-05,0.00015114164853002876,-0.1424720138311386,-0.07469647377729416,0.38036543130874634,-0.013242796063423157,-0.03260975331068039,-0.035237234085798264,-0.38036543130874634,0.035237234085798264,1.5671343803405762,0.0,0.0,0.0,-0.017299124971032143,-0.008460413664579391,-2.521833266655449e-06,nan,nan,2.0,-0.005170920150091377,-0.004841060464732736,-0.00012601812710211213,-0.01749576003930997,-0.00841635362667148,-0.0001536634817966842,completed,0,3360256.0,979712.0,5094912.0,11020288.0,3020288.0,59020288.0,59020288.0,40979712.0,181309696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003526080690789968,0.0016473920550197363,0.0,0.0020000003278255463,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.020667617239975136,0.0010000001129810698,1.0,1.0,0.005170920150091377,0.0052204309570973466,4.951080700596987e-05,0.004841060464732736,0.004953351445108189,0.00011229098037545283,1.5671427388988917,1.5670802815910665,-6.245730782517e-05,0.0001966350682778284,0.00023957568919286132,4.294062091503292e-05,-4.4060037907911465e-05,-8.834149775793776e-05,-4.4281459850026295e-05,0.00015114164853002876,-7.035565067781135e-05,-0.00022149729920784011,-0.1424720138311386,-0.14940057694911957,-0.006928563117980957,-0.07469647377729416,-0.0801023542881012,-0.005405880510807037,0.38036543130874634,0.3903663754463196,0.010000944137573242,-0.013242796063423157,-0.015825778245925903,-0.0025829821825027466,-0.03260975331068039,-0.034741535782814026,-0.0021317824721336365,-0.035237234085798264,-0.03438253700733185,0.0008546970784664154,-0.38036543130874634,-0.3903663754463196,-0.010000944137573242,0.035237234085798264,0.03438253700733185,-0.0008546970784664154,1.5671343803405762,1.5670809745788574,-5.340576171875e-05,1.0,0.005207473157516851,0.0052204309570973466,0.00520748927899314,0.004927016567589049,0.004953351445108189,0.004927086946976978,1.567089001353692,1.5670977211163173,1.5670890013779517,0.00019419301679590717,0.00023957568919286132,0.0001994254615794702,-9.181968562188558e-05,9.52978734858334e-05,9.188553998600007e-05,-9.101617251872085e-05,0.00011167669435963035,9.333167105916541e-05,-0.38821516931056976,0.3903663754463196,0.38822112947477866,0.03450873866677284,0.03463494032621384,0.034508969431590805,1.0,1.0,
20260409_073609_px4_attitude_pulse_train_throttle_r1:000005,20260409_073609_px4_attitude_pulse_train_throttle_r1,px4,OFFBOARD_ATTITUDE,nominal,px4_diagnostic_offboard_attitude_throttle__large,diagnostic_research,accepted,155,1775745382774523648,5,0.0,0.0,0.0,-0.69,0.005194515357936356,0.004900681690069909,1.5670977211163173,0.00014881034439895302,-9.52978734858334e-05,-0.00011167669435963035,-0.1459515243768692,-0.07766307145357132,0.38606396317481995,-0.014438443817198277,-0.0338214710354805,-0.03463494032621384,-0.38606396317481995,0.03463494032621384,1.5670952796936035,0.0,0.0,0.0,-0.017945120111107826,-0.007879956625401974,-1.9595314370235428e-05,nan,nan,2.0,-0.005194515357936356,-0.004900681690069909,-5.441667295791319e-05,-0.01809393045550678,-0.00778465875191614,9.208137998939492e-05,completed,0,4080128.0,2520832.0,1888000.0,13479168.0,6520832.0,90520832.0,90520832.0,9479168.0,211153408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003526080690789968,0.0016473920550197363,0.0,0.0020000003278255463,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.02095238273320149,0.0010000001129810698,1.0,1.0,0.005194515357936356,0.00525139468657443,5.687932863807348e-05,0.004900681690069909,0.005005671036241941,0.00010498934617203179,1.5670977211163173,1.5670859228462342,-1.1798270083129836e-05,0.00014881034439895302,5.7624143664725125e-05,-9.11862007342279e-05,-9.52978734858334e-05,0.00012985039211343974,0.00022514826559927315,-0.00011167669435963035,9.582194616086781e-05,0.00020749864052049816,-0.1459515243768692,-0.1523585319519043,-0.006407007575035095,-0.07766307145357132,-0.0824320986866951,-0.004769027233123779,0.38606396317481995,0.39341026544570923,0.007346302270889282,-0.014438443817198277,-0.016980048269033432,-0.0025416044518351555,-0.0338214710354805,-0.03561916947364807,-0.001797698438167572,-0.03463494032621384,-0.03435558080673218,0.00027935951948165894,-0.38606396317481995,-0.39341026544570923,-0.007346302270889282,0.03463494032621384,0.03435558080673218,-0.00027935951948165894,1.5670952796936035,1.567085862159729,-9.417533874511719e-06,1.0,0.005235912821835888,0.00525139468657443,0.005235935710644396,0.004979511240675065,0.005005671036241941,0.004979579955268659,1.5670831022186502,1.5670859228462342,1.5670831022211889,0.00014859991642879322,0.00023957568919286132,0.00017423698342390942,2.075444717775099e-05,0.00012985039211343974,0.00011105256538713947,1.2733147741528228e-05,9.582194616086781e-05,8.405879772026979e-05,-0.3918883204460144,0.39341026544570923,0.3918912757622708,0.03436905890703201,0.03438253700733185,0.034369061549804125,1.0,1.0,
20260409_073609_px4_attitude_pulse_train_throttle_r1:000006,20260409_073609_px4_attitude_pulse_train_throttle_r1,px4,OFFBOARD_ATTITUDE,nominal,px4_diagnostic_offboard_attitude_throttle__large,diagnostic_research,accepted,155,1775745382823943168,6,0.0,0.0,0.0,-0.69,0.0052204309570973466,0.004953351445108189,1.5670802815910665,0.00023957568919286132,-8.834149775793776e-05,-7.035565067781135e-05,-0.14940057694911957,-0.0801023542881012,0.3903663754463196,-0.015825778245925903,-0.034741535782814026,-0.03438253700733185,-0.3903663754463196,0.03438253700733185,1.5670809745788574,0.0,0.0,0.0,-0.018320051953196526,-0.007376838009804487,-1.872796201496385e-05,nan,nan,2.0,-0.0052204309570973466,-0.004953351445108189,6.601967846475709e-05,-0.018559627642389387,-0.0072884965120465495,5.1627688662847504e-05,completed,0,1446656.0,1101312.0,4434688.0,14898688.0,2898688.0,41101312.0,41101312.0,41101312.0,161733888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044579815585166216,0.0015542018227279186,5.780376177710878e-13,0.0020000003278255463,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.021198527627243734,0.0010000000767457912,1.0,1.0,0.0052204309570973466,0.005280033753367648,5.960279627030118e-05,0.004953351445108189,0.005047048285585594,9.369684047740544e-05,1.5670802815910665,1.5670859459765814,5.664385514858594e-06,0.00023957568919286132,0.00028773138183169067,4.815569263882935e-05,-8.834149775793776e-05,-0.00015027911285869777,-6.193761510076001e-05,-7.035565067781135e-05,-0.00011330076085869223,-4.2945110180880874e-05,-0.14940057694911957,-0.15461887419223785,-0.005218297243118286,-0.0801023542881012,-0.08444277942180634,-0.004340425133705139,0.3903663754463196,0.39498892426490784,0.004622548818588257,-0.015825778245925903,-0.017939245328307152,-0.0021134670823812485,-0.034741535782814026,-0.036328766494989395,-0.0015872307121753693,-0.03438253700733185,-0.034614939242601395,-0.0002324022352695465,-0.3903663754463196,-0.39498892426490784,-0.004622548818588257,0.03438253700733185,0.034614939242601395,0.0002324022352695465,1.5670809745788574,1.5670849084854126,3.933906555175781e-06,1.0,0.005265714219971039,0.005280033753367648,0.005265733690136817,0.0050263596609137675,0.005047048285585594,0.005026402238187068,1.5670859344114079,1.5670859459765814,1.5670859344114079,0.0001726777627482079,0.00028773138183169067,0.0002074968554266149,-1.0214360372629017e-05,0.00015027911285869777,0.00014043670477053227,-8.73940734891221e-06,0.00011330076085869223,0.00010492594478301069,-0.39419959485530853,0.39498892426490784,0.39420038511524347,0.034485260024666786,0.034614939242601395,0.0344855038482613,1.0,1.0,
20260409_073609_px4_attitude_pulse_train_throttle_r1:000007,20260409_073609_px4_attitude_pulse_train_throttle_r1,px4,OFFBOARD_ATTITUDE,nominal,px4_diagnostic_offboard_attitude_throttle__large,diagnostic_research,accepted,155,1775745382874023936,7,0.0,0.0,0.0,-0.69,0.00525139468657443,0.005005671036241941,1.5670859228462342,5.7624143664725125e-05,0.00012985039211343974,9.582194616086781e-05,-0.1523585319519043,-0.0824320986866951,0.39341026544570923,-0.016980048269033432,-0.03561916947364807,-0.03435558080673218,-0.39341026544570923,0.03435558080673218,1.567085862159729,0.0,0.0,0.0,-0.018695605918765068,-0.006705951411277056,-4.372011972009204e-05,nan,nan,2.0,-0.00525139468657443,-0.005005671036241941,0.00017338882979123227,-0.018753230062429793,-0.0068358018033904955,-0.00013954206588095985,completed,0,1957376.0,3020544.0,2517248.0,8979456.0,7020544.0,8979456.0,8979456.0,8979456.0,111653120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044579815585166216,0.0015542018227279186,5.780376177710878e-13,0.0020000003278255463,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.021239002999702165,0.0010000000767457912,1.0,1.0,0.00525139468657443,0.0053247762372830906,7.338155070866093e-05,0.005005671036241941,0.00509409851263634,8.842747639439905e-05,1.5670859228462342,1.5670317320683782,-5.419077785595583e-05,5.7624143664725125e-05,0.00022503281070385128,0.00016740866703912616,0.00012985039211343974,0.00011906970757991076,-1.0780684533528984e-05,9.582194616086781e-05,-0.00011998016270808876,-0.00021580210886895657,-0.1523585319519043,-0.15831013023853302,-0.005951598286628723,-0.0824320986866951,-0.08772572875022888,-0.005293630063533783,0.39341026544570923,0.3954011797904968,0.0019909143447875977,-0.016980048269033432,-0.019804110750555992,-0.00282406248152256,-0.03561916947364807,-0.03761808201670647,-0.0019989125430583954,-0.03435558080673218,-0.03555797040462494,-0.0012023895978927612,-0.39341026544570923,-0.3954011797904968,-0.0019909143447875977,0.03435558080673218,0.03555797040462494,0.0012023895978927612,1.567085862159729,1.567039132118225,-4.673004150390625e-05,1.0,0.005302404995325369,0.0053247762372830906,0.005302452188084128,0.005070573399110967,0.00509409851263634,0.0050706279716360705,1.5670588390224798,1.5670859459765814,1.5670588392569276,0.000256382096267771,0.00028773138183169067,0.0002582916123145015,-1.560470263939351e-05,0.00015027911285869777,0.00013557545320736102,-0.00011664046178339049,0.00011998016270808876,0.00011668826387991643,-0.39519505202770233,0.3954011797904968,0.39519510578426065,0.03508645482361317,0.03555797040462494,0.035089622953696505,1.0,1.0,
20260409_073609_px4_attitude_pulse_train_throttle_r1:000008,20260409_073609_px4_attitude_pulse_train_throttle_r1,px4,OFFBOARD_ATTITUDE,nominal,px4_diagnostic_offboard_attitude_throttle__large,diagnostic_research,accepted,155,1775745382924067328,8,0.0,0.0,0.0,-0.69,0.005280033753367648,0.005047048285585594,1.5670859459765814,0.00028773138183169067,-0.00015027911285869777,-0.00011330076085869223,-0.15461887419223785,-0.08444277942180634,0.39498892426490784,-0.017939245328307152,-0.036328766494989395,-0.034614939242601395,-0.39498892426490784,0.034614939242601395,1.5670849084854126,0.0,0.0,0.0,-0.018623031675815582,-0.006143437698483467,1.882782089523971e-05,nan,nan,2.0,-0.005280033753367648,-0.005047048285585594,0.00022605620542548444,-0.018910763057647273,-0.005993158585624769,0.00013212858175393194,completed,0,2538496.0,977152.0,6273536.0,11022848.0,3022848.0,59022848.0,59022848.0,40977152.0,61609728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008506354643031955,0.001149364747107029,8.592258848860723e-14,0.0020000003278255463,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.021141308414069044,0.0010000001348304233,1.0,1.0,0.005280033753367648,0.005364268589376783,8.423483600913505e-05,0.005047048285585594,0.005137413127683403,9.036484209780891e-05,1.5670859459765814,1.5669446658302053,-0.0001412801463760438,0.00028773138183169067,0.00011814890604000539,-0.00016958247579168528,-0.00015027911285869777,-0.00010713738447520882,4.314172838348895e-05,-0.00011330076085869223,-0.00011409384023863822,-7.930793799459934e-07,-0.15461887419223785,-0.16126544773578644,-0.006646573543548584,-0.08444277942180634,-0.09037946164608002,-0.005936682224273682,0.39498892426490784,0.395198255777359,0.00020933151245117188,-0.017939245328307152,-0.021367358043789864,-0.003428112715482712,-0.036328766494989395,-0.03853250667452812,-0.002203740179538727,-0.034614939242601395,-0.0363808274269104,-0.0017658881843090057,-0.39498892426490784,-0.395198255777359,-0.00020933151245117188,0.034614939242601395,0.0363808274269104,0.0017658881843090057,1.5670849084854126,1.5669523477554321,-0.00013256072998046875,1.0,0.005344522413329937,0.005364268589376783,0.005344558890877199,0.005115755820159872,0.005137413127683403,0.005115801662542125,1.5669881989492918,1.5670317320683782,1.5669881995539972,0.00017159085837192833,0.00022503281070385128,0.00017972051898952076,5.966161552350968e-06,0.00011906970757991076,0.00011326079289708811,-0.00011703700147336349,0.00011998016270808876,0.0001170740018617698,-0.3952997177839279,0.3954011797904968,0.3952997308051092,0.03596939891576767,0.0363808274269104,0.035971751858665565,1.0,1.0,
