received_time_ns,timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,thrust_body_x,thrust_body_y,thrust_body_z,reset_integral
1775885776217045760,2836000,0.0,0.0,1.190601869893726e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885776229045760,2848000,0.0,0.0,1.200357382913353e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885776273045760,2892000,0.0,0.0,9.629985470382962e-06,0.0,0.0,0.0,-0.0010000000474974513,False
1775885776329045760,2948000,0.0,0.0,1.5440991774084978e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885776377045760,2996000,0.0,0.0,1.5124818673939444e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885776437045760,3056000,0.0,0.0,1.5162125237111468e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885776477045760,3096000,0.0,0.0,1.4111438758845907e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885776525045760,3144000,0.0,0.0,1.5351777619798668e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885776573045760,3192000,0.0,0.0,1.3796319763059728e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885776621045760,3240000,0.0,0.0,1.548810541862622e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885776677045760,3296000,0.0,0.0,1.948358112713322e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885776717045760,3336000,0.0,0.0,1.936302760441322e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885776773045760,3392000,0.0,0.0,1.8924270989373326e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885776821045760,3440000,0.0,0.0,1.8555247152107768e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885776877045760,3496000,0.0,0.0,2.00376507564215e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885776925045760,3544000,0.0,0.0,2.215539825556334e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885776977045760,3596000,0.0,0.0,2.337497608095873e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885777025045760,3644000,0.0,0.0,2.754211163846776e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885777081045760,3700000,0.0,0.0,3.201585786882788e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885777121045760,3740000,0.0,0.0,3.742778062587604e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885777181045760,3800000,0.0,0.0,3.549683606252074e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885777225045760,3844000,0.0,0.0,3.8958474760875106e-05,0.0,0.0,0.0,-0.0010000000474974513,False
1775885777281045760,3900000,0.0,0.0,3.98951924580615e-05,0.0,0.0,0.0,-0.0010000000474974513,False
