received_time_ns,base_mode,custom_mode,system_status
1775925682691699684,209,0,3
1775925683682985480,209,0,3
1775925684677286485,209,0,3
1775925685672818884,209,0,3
1775925686666237994,209,0,3
1775925687659916878,209,0,3
1775925688655353655,209,0,3
1775925689658701789,209,0,3
1775925690704751047,209,0,3
1775925693656158753,81,0,3
1775925693656243841,81,9,3
1775925693683713580,81,9,3
1775925693707126023,81,9,3
