received_time_ns,event_type,field_name,previous_value,current_value
1775896808480907575,vehicle_status_events,nav_state,4,2
1775896808480907575,vehicle_status_events,pre_flight_checks_pass,True,False
1775896808595015840,vehicle_status_events,pre_flight_checks_pass,False,True
1775896809741033749,vehicle_status_events,arming_state,1,2
1775896809741033749,vehicle_status_events,nav_state,2,14
1775896820341983801,vehicle_status_events,nav_state,14,2
1775896828430649970,vehicle_status_events,nav_state,2,18
1775896835439986732,vehicle_status_events,arming_state,2,1
1775896835439986732,vehicle_status_events,nav_state,18,2
1775896836141430355,vehicle_status_events,pre_flight_checks_pass,True,False
