received_time_ns,th_limit,lift_max
4377415000,1.0,0.9728989601135254
4477375000,1.0,0.9728853106498718
4577335000,1.0,0.97287517786026
4677295000,1.0,0.9728674292564392
4777255000,1.0,0.9728627800941467
4877215000,1.0,0.9728589057922363
4977175000,1.0,0.9728549718856812
5077135000,1.0,0.9728535413742065
5177095000,1.0,0.9728535413742065
5277055000,1.0,0.9728535413742065
5377015000,1.0,0.9728535413742065
5476975000,1.0,0.9728535413742065
5576935000,1.0,0.9728535413742065
5676895000,1.0,0.9728535413742065
5776855000,1.0,0.9728535413742065
5876815000,1.0,0.9728535413742065
5976775000,1.0,0.9728535413742065
6076735000,1.0,0.9728535413742065
6176695000,1.0,0.9728535413742065
6276655000,1.0,0.9728535413742065
6376615000,1.0,0.9728535413742065
6477408000,1.0,0.972853422164917
6577368000,1.0,0.972853422164917
6677328000,1.0,0.972853422164917
6777288000,1.0,0.972853422164917
6877248000,1.0,0.972853422164917
6977208000,1.0,0.972853422164917
7077168000,1.0,0.972853422164917
7177128000,1.0,0.972853422164917
7277088000,1.0,0.972853422164917
7377048000,1.0,0.972853422164917
7477008000,1.0,0.972853422164917
7576968000,1.0,0.972853422164917
7676928000,1.0,0.972853422164917
7776888000,1.0,0.972853422164917
7876848000,1.0,0.972853422164917
7976808000,1.0,0.972853422164917
8076768000,1.0,0.972853422164917
8176728000,1.0,0.972853422164917
8276688000,1.0,0.972853422164917
8376648000,1.0,0.972853422164917
8476608000,1.0,0.972853422164917
8577401000,1.0,0.9728533625602722
8677361000,1.0,0.9728533625602722
8777321000,1.0,0.9728533625602722
8877281000,1.0,0.9728533625602722
8977241000,1.0,0.9728533625602722
9077201000,1.0,0.9728533625602722
9177161000,1.0,0.9728533625602722
9277121000,1.0,0.9728533625602722
9377081000,1.0,0.9728533625602722
9477041000,1.0,0.9728533625602722
9577001000,1.0,0.9728533625602722
9676961000,1.0,0.9728533625602722
9776921000,1.0,0.9728533625602722
9876881000,1.0,0.9728533625602722
9976841000,1.0,0.9728533625602722
10076801000,1.0,0.9728533625602722
10176761000,1.0,0.9728533625602722
10276721000,1.0,0.9728533625602722
10376681000,1.0,0.9728533625602722
10476641000,1.0,0.9739730954170227
10576601000,1.0,0.9757416248321533
10677394000,1.0,0.9772663116455078
10777354000,1.0,0.9785156846046448
10877314000,1.0,0.9794510006904602
10977274000,1.0,0.9800799489021301
11077234000,1.0,0.980485200881958
11177194000,1.0,0.9810989499092102
11277154000,1.0,0.9818224310874939
11377114000,1.0,0.9825935959815979
11477074000,1.0,0.9833697080612183
11577034000,1.0,0.9841176271438599
11676994000,1.0,0.9846861362457275
11776954000,1.0,0.9851340055465698
11876914000,1.0,0.9855042099952698
11976874000,1.0,0.9858068227767944
12076834000,1.0,0.9860388040542603
12176794000,1.0,0.9862191677093506
12276754000,1.0,0.9863511323928833
12376714000,1.0,0.9864263534545898
12476674000,1.0,0.9864708185195923
12576634000,1.0,0.986492395401001
12676594000,1.0,0.9865189790725708
12777387000,1.0,0.9865385293960571
12877347000,1.0,0.9865739941596985
12977307000,1.0,0.9865999817848206
13077267000,1.0,0.9866297841072083
13177227000,1.0,0.9866513013839722
13277187000,1.0,0.9866557121276855
13377147000,1.0,0.9866442680358887
13477107000,1.0,0.9866297841072083
13577067000,1.0,0.9866219758987427
13677027000,1.0,0.9866200089454651
13776987000,1.0,0.9866397976875305
13876947000,1.0,0.986664891242981
13976907000,1.0,0.9867046475410461
14076867000,1.0,0.9867444634437561
14176827000,1.0,0.9867734313011169
14276787000,1.0,0.9867411255836487
14376747000,1.0,0.9867057204246521
14476707000,1.0,0.9866790771484375
14576667000,1.0,0.9866587519645691
14676627000,1.0,0.9866548180580139
14777420000,1.0,0.9866509437561035
14877380000,1.0,0.9866595268249512
14977340000,1.0,0.9866665601730347
15077300000,1.0,0.9866704344749451
15177260000,1.0,0.9866847395896912
15277220000,1.0,0.9866952896118164
15377180000,1.0,0.9866913557052612
15477140000,1.0,0.9866998791694641
15577100000,1.0,0.9867067933082581
15677060000,1.0,0.9867009520530701
15777020000,1.0,0.9866970181465149
15876980000,1.0,0.9866931438446045
15976940000,1.0,0.9866893291473389
16076900000,1.0,0.9866889119148254
16176860000,1.0,0.9866887331008911
16276820000,1.0,0.9866886138916016
16376780000,1.0,0.9866883158683777
16476740000,1.0,0.9866882562637329
16576700000,1.0,0.9866881370544434
16676660000,1.0,0.986687958240509
16776620000,1.0,0.9866750240325928
16877413000,1.0,0.9866750240325928
16977373000,1.0,0.9866750240325928
17077333000,1.0,0.9866750240325928
17177293000,1.0,0.9866750240325928
17277253000,1.0,0.9865965843200684
17377213000,1.0,0.9863770008087158
17477173000,1.0,0.9860823750495911
17577133000,1.0,0.9858080744743347
17677093000,1.0,0.9855493307113647
17777053000,1.0,0.9853247404098511
17877013000,1.0,0.9851158261299133
17976973000,1.0,0.9849409461021423
18076933000,1.0,0.9847923517227173
18176893000,1.0,0.9846835136413574
18276853000,1.0,0.9846039414405823
18376813000,1.0,0.9845458269119263
18476773000,1.0,0.9845033884048462
18576733000,1.0,0.9844723343849182
18676693000,1.0,0.9844392538070679
18776653000,1.0,0.9844353795051575
18876613000,1.0,0.9845255613327026
18977406000,1.0,0.9846748113632202
19077366000,1.0,0.9848446846008301
19177326000,1.0,0.9850204586982727
19277286000,1.0,0.9851797819137573
19377246000,1.0,0.9853272438049316
19477206000,1.0,0.9854556918144226
19577166000,1.0,0.9855497479438782
19677126000,1.0,0.9856287240982056
19777086000,1.0,0.9856866598129272
19877046000,1.0,0.9857186079025269
19977006000,1.0,0.985741913318634
20076966000,1.0,0.9857591390609741
20176926000,1.0,0.985761284828186
20276886000,1.0,0.9857531785964966
20376846000,1.0,0.9857466220855713
20476806000,1.0,0.9857318997383118
20576766000,1.0,0.9857207536697388
20676726000,1.0,0.9857129454612732
20776686000,1.0,0.9857073426246643
20876646000,1.0,0.9856927990913391
20976606000,1.0,0.98568195104599
21077399000,1.0,0.9856740832328796
21177359000,1.0,0.9856686592102051
21277319000,1.0,0.9856647849082947
