received_time_ns,timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
1775898634853480448,2904000,0.0,0.0,0.0,0.0
1775898634857480448,2908000,0.0,0.0,0.0,0.0
1775898635053480448,3104000,0.0,0.0,0.0,0.0
1775898635253480448,3304000,0.0,0.0,0.0,0.0
1775898635453480448,3504000,0.0,0.0,0.0,0.0
1775898635653480448,3704000,0.0,0.0,0.0,0.0
1775898635853480448,3904000,0.0,0.0,0.0,0.0
1775898636053480448,4104000,0.0,0.0,0.0,0.0
1775898636253480448,4304000,0.0,0.0,0.0,0.0
1775898636453480448,4504000,0.0,0.0,0.0,0.0
1775898636649480448,4700000,0.0,0.0,0.0,0.0
1775898636853480448,4904000,0.0,0.0,0.0,0.0
1775898637053480448,5104000,0.0,0.0,0.0,0.0
1775898637253480448,5304000,0.0,0.0,0.0,0.0
1775898637453480448,5504000,0.0,0.0,0.0,0.0
1775898637653480448,5704000,0.0,0.0,0.0,0.0
1775898637853480448,5904000,0.0,0.0,0.0,0.0
1775898638053480448,6104000,0.0,0.0,0.0,0.0
1775898638245480448,6296000,0.0,0.0,0.0,0.0
1775898638453480448,6504000,0.0,0.0,0.0,0.0
1775898638653480448,6704000,0.0,0.0,0.0,0.0
1775898638853480448,6904000,0.0,0.0,0.0,0.0
1775898639053480448,7104000,0.0,0.0,0.0,0.0
1775898639253480448,7304000,0.0,0.0,0.0,0.0
1775898639453480448,7504000,0.0,0.0,0.0,0.0
1775898639653480448,7704000,0.0,0.0,0.0,0.0
1775898639853480448,7904000,0.0,0.0,0.0,0.0
1775898640053480448,8104000,0.0,0.0,0.0,0.0
1775898640253480448,8304000,0.0,0.0,0.0,0.0
1775898640453480448,8504000,0.0,0.0,0.0,0.0
1775898640653480448,8704000,0.0,0.0,0.0,0.0
1775898640853480448,8904000,0.0,0.0,0.0,0.0
1775898641053480448,9104000,0.0,0.0,0.0,0.0
1775898641253480448,9304000,0.0,0.0,0.0,0.0
1775898641453480448,9504000,0.0,0.0,0.0,0.0
1775898641653480448,9704000,0.0,0.0,0.0,0.0
1775898641853480448,9904000,0.0,0.0,0.0,0.0
1775898642049480448,10100000,0.0,0.0,0.0,0.0
1775898642241480448,10292000,0.0,0.0,0.0,0.0
1775898642453480448,10504000,0.0,0.0,0.0,0.0
1775898642653480448,10704000,0.0,0.0,0.0,0.0
1775898642853480448,10904000,0.0,0.0,0.0,0.0
1775898643053480448,11104000,0.0,0.0,0.0,0.0
1775898643253480448,11304000,0.0,0.0,0.0,0.0
1775898643453480448,11504000,0.0,0.0,0.0,0.0
1775898643653480448,11704000,0.0,0.0,0.0,0.0
1775898643853480448,11904000,0.0,0.0,0.0,0.0
1775898644053480448,12104000,0.0,0.0,0.0,0.0
1775898644253480448,12304000,0.0,0.0,0.0,0.0
1775898644453480448,12504000,0.0,0.0,0.0,0.0
