received_time_ns,x,y,z,vx,vy,vz
1775928918051748866,0.0,0.0,0.027,0.0,0.0,0.03
1775928918103846781,0.0,0.0,0.027,0.0,0.0,0.03
1775928918156114261,0.0,0.0,0.027,0.0,0.0,0.03
1775928918207917270,0.0,0.0,0.027,0.0,0.0,0.03
1775928918260242701,0.0,0.0,0.027,0.0,0.0,0.03
1775928918312355720,0.0,0.0,0.027,0.0,0.0,0.03
1775928918364936345,0.0,0.0,0.027,0.0,0.0,0.03
1775928918416981750,0.0,0.0,0.027,0.0,0.0,0.03
1775928918468813046,0.0,0.0,0.027,0.0,0.0,0.03
1775928918520754677,0.0,0.0,0.027,0.0,0.0,0.03
1775928918572751634,0.0,0.0,0.027,0.0,0.0,0.02
1775928918624925260,0.0,0.0,0.027,0.0,0.0,0.02
1775928918677243395,0.0,0.0,0.027,0.0,0.0,0.02
1775928918731495666,0.0,0.0,0.027,0.0,0.0,0.02
1775928918733261742,0.0,0.0,0.027,0.0,0.0,0.02
1775928918785345226,0.0,0.0,0.027,0.0,0.0,0.02
1775928918837235018,0.0,0.0,0.027,0.0,0.0,0.02
1775928918889062762,0.0,0.0,0.027,0.0,0.0,0.02
1775928918941318851,0.0,0.0,0.027,0.0,0.0,0.02
1775928918993989778,0.0,0.0,0.027,0.0,0.0,0.02
1775928919046304810,0.0,0.0,0.027,0.0,0.0,0.02
1775928919098662433,0.0,0.0,0.027,0.0,0.0,0.02
1775928919150584800,0.0,0.0,0.027,0.0,0.0,0.02
1775928919202453697,0.0,0.0,0.027,0.0,0.0,0.01
1775928919255143985,0.0,0.0,0.027,0.0,0.0,0.01
1775928919307020754,0.0,0.0,0.027,0.0,0.0,0.01
1775928919359689378,0.0,0.0,0.027,0.0,0.0,0.01
1775928919411684480,0.0,0.0,0.027,0.0,0.0,0.01
1775928919463611168,0.0,0.0,0.027,0.0,0.0,0.01
1775928919516092372,0.0,0.0,0.027,0.0,0.0,0.01
1775928919568316077,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.01
1775928919620609062,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.01
1775928919672665283,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.01
1775928919725177622,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.01
1775928919777268146,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775928919829779654,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775928919881788612,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775928919883451650,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775928919985602372,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775928919986945161,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775928920038788106,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775928920091161601,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775928920143075266,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775928920195458489,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775928920247282075,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775928920299145149,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775928920351040478,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775928920403081084,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775928920455303894,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775928920507052378,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775928920559248085,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775928920611044440,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775928920662918745,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775928920714855417,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,0.0
1775928920766839033,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775928920818798712,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775928920870977235,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775928920923221261,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775928920975137870,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775928921027559044,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775928921079768640,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775928921132429906,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775928921133824853,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775928921185455484,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775928921237299679,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775928921289137122,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775928921341538617,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.01
1775928921393906482,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775928921446074158,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775928921498863965,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775928921551216726,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775928921603088024,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775928921654964826,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775928921707762953,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775928921760176992,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775928921812170784,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775928921864393243,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775928921916246526,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775928921968535255,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775928922020993998,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775928922073030765,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775928922125228234,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775928922177095405,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775928922229533156,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775928922281612259,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928922333867294,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928922386121753,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928922387554844,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928922439273378,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928922491678074,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928922543627163,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928922596275598,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928922648278319,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928922701407128,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928922754056203,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928922806338214,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928922858187401,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928922910171370,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928922962324839,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928923014708160,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928923067537872,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928923119837035,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928923171787469,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928923223833837,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928923275809359,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928923328314917,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928923380070539,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928923431948047,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928923483861394,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928923485757355,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928923537999431,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928923590003816,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775928923641865484,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
