received_time_ns,event_type,field_name,previous_value,current_value
1775658312752672950,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775658312752672950,vehicle_control_mode_events,flag_control_auto_enabled,True,False
1775658313147063940,vehicle_control_mode_events,flag_armed,False,True
1775658313147063940,vehicle_control_mode_events,flag_control_manual_enabled,True,False
1775658313147063940,vehicle_control_mode_events,flag_control_offboard_enabled,False,True
1775658322454348328,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775658322454348328,vehicle_control_mode_events,flag_control_offboard_enabled,True,False
1775658330516900687,vehicle_control_mode_events,flag_control_manual_enabled,True,False
1775658330516900687,vehicle_control_mode_events,flag_control_auto_enabled,False,True
1775658336567554154,vehicle_control_mode_events,flag_armed,True,False
1775658336567554154,vehicle_control_mode_events,flag_control_manual_enabled,False,True
1775658336567554154,vehicle_control_mode_events,flag_control_auto_enabled,True,False
