received_time_ns,event_type,field_name,previous_value,current_value
1775658312754781836,vehicle_status_events,nav_state,4,2
1775658312754781836,vehicle_status_events,pre_flight_checks_pass,True,False
1775658312861932753,vehicle_status_events,pre_flight_checks_pass,False,True
1775658313145451812,vehicle_status_events,arming_state,1,2
1775658313145451812,vehicle_status_events,nav_state,2,14
1775658322456494656,vehicle_status_events,nav_state,14,2
1775658330516710802,vehicle_status_events,nav_state,2,18
1775658336567338126,vehicle_status_events,arming_state,2,1
1775658336567338126,vehicle_status_events,nav_state,18,2
1775658337234382488,vehicle_status_events,pre_flight_checks_pass,True,False
