received_time_ns,event_type,field_name,previous_value,current_value
1775898587101197585,vehicle_status_events,nav_state,4,2
1775898587101197585,vehicle_status_events,pre_flight_checks_pass,True,False
1775898587203273580,vehicle_status_events,pre_flight_checks_pass,False,True
1775898588469884346,vehicle_status_events,arming_state,1,2
1775898588469884346,vehicle_status_events,nav_state,2,14
1775898599516352320,vehicle_status_events,nav_state,14,2
1775898607611187953,vehicle_status_events,nav_state,2,18
1775898613366451371,vehicle_status_events,arming_state,2,1
1775898613366451371,vehicle_status_events,nav_state,18,2
1775898614107453427,vehicle_status_events,pre_flight_checks_pass,True,False
