feature,future_state_roll,future_state_pitch,future_state_yaw,future_state_roll_rate,future_state_pitch_rate,future_state_yaw_rate
command_roll,2.6145646856663906e-29,-4.8286400031876375e-29,1.6167205744579856e-07,-1.7009352754018025e-07,-1.592457456985598e-07,1.5719001848682785e-07
command_pitch,-1.9807236992829212e-29,2.5393403189245117e-29,-1.1741267221228484e-07,1.1868018030089793e-07,1.0856145964052844e-07,-1.1581772715863858e-07
command_yaw,5.272962191690703e-29,-1.0764532866302733e-28,3.3248693426943713e-07,-3.2162565986727876e-07,-2.976422352724087e-07,3.0803838068572907e-07
command_throttle,-4.260846845782125e-28,9.378538482805301e-28,-2.8431594577396723e-06,2.7433011518134884e-06,2.5212945934906227e-06,-2.6665103399934423e-06
roll,0.0588230749718577,-0.12573603670626998,-711.8447335228357,177.8824373938744,342.79357268127546,297.5514475464039
pitch,-0.027520795791295523,0.05882307497136326,333.07267344741035,-83.18185651555066,-160.36216048415147,-139.30978240009833
yaw,-1.5602589783939953e-23,3.357416122219876e-23,0.04918919247926403,0.018997784970719075,0.03654095888306398,0.0315967424815563
roll_rate,2.0304664290999598e-23,-4.4795436241529177e-23,0.0968920907168119,0.05675964901672917,0.09517401863114042,0.057726385228470636
pitch_rate,1.1519671345550714e-23,-2.4305319179706337e-23,0.05559366273696153,0.02838953914962799,0.049597247190035984,0.03409670450996028
yaw_rate,1.635773843501831e-23,-3.5423640203686256e-23,0.07981950479030617,0.028593969966325836,0.056616266580856014,0.05179467478817486
position_x,-7.1862177319175085e-34,-6.6261454244535755e-34,4.9193573901376065e-15,-4.9472172281937425e-15,-4.594604367360907e-15,4.679197787661795e-15
position_y,-1.703334528421652e-34,-1.5866110253189934e-34,-1.1662534627337104e-15,1.1728587143434984e-15,1.0892628674496773e-15,-1.109318343511767e-15
position_z,-0.031581241072114755,0.06750188931140157,382.21454330026387,-95.45458944378132,-184.02215137456187,-159.86368472059718
velocity_z,-1.9210343409328426e-28,-1.0326539364532379e-27,-3.099249616739811e-07,3.1490735282018913e-07,2.9182395084103305e-07,-2.988630594905396e-07
altitude,0.03158124107211478,-0.06750188931140158,-382.21454330026376,95.45458944378115,184.022151374562,159.863684720597
vertical_speed,1.9210343409326518e-28,1.0326539364527647e-27,3.0992496167406655e-07,-3.1490735282273314e-07,-2.918239508440599e-07,2.9886305949119446e-07
heading,-1.560258978329823e-23,3.357416122052091e-23,0.0491891924785378,0.018997784970789397,0.03654095888183202,0.031596742482176095
integrator_yaw,0.2352922998867088,-0.5029441468256203,-2847.378934195214,711.5297495672464,1371.1742907071066,1190.2057901663316
control_output_roll,1.204908080393356e-22,-1.8164210137576813e-22,0.6611298272702081,1.5969323585305462,2.101318115017077,0.11377923668458606
control_output_pitch,-1.2880943813287724e-22,1.5808014871334367e-22,-0.7437097102826578,-2.759338882005494,-3.5181008048119113,0.09850812176147572
control_output_yaw,-2.5738498326232372e-20,5.39497580456356e-20,-133.15354847130348,-43.33605086779433,-89.22243579402198,-87.44474385914486
command_roll__lag_1,-3.1251013101438295e-30,8.592225391523186e-30,-4.5716469553291585e-09,4.678894696702999e-09,4.35005384898567e-09,-4.405555097101903e-09
command_pitch__lag_1,1.1698237629121343e-30,1.0357442647866059e-29,4.0249762350563084e-09,-4.0487993268892885e-09,-3.737975052971534e-09,3.878098973128271e-09
command_yaw__lag_1,-4.361042651756666e-30,2.7530510216287394e-29,-1.2258712769525376e-08,1.1732226410486863e-08,1.083650060873445e-08,-1.1297896065282755e-08
command_throttle__lag_1,1.2694198334340886e-29,-3.9281814723961003e-29,-8.560365969324142e-10,6.954002298645964e-10,6.616680372160514e-10,-6.426797975678586e-10
roll__lag_1,0.05882307497158509,-0.12573603670681543,-711.8447335491151,177.8824373912821,342.7935726756068,297.55144754030596
pitch__lag_1,-0.027520795791163993,0.05882307497160202,333.0726734596615,-83.18185651434905,-160.3621604815258,-139.3097823972773
yaw__lag_1,-1.5602589783792378e-23,3.3574161220807644e-23,0.04918919247810044,0.01899778497120848,0.036540958881982104,0.0315967424827437
roll_rate__lag_1,2.0304664291471106e-23,-4.4795436242565046e-23,0.09689209071615325,0.056759649016928794,0.09517401863201874,0.05772638522574869
pitch_rate__lag_1,1.1519671345536144e-23,-2.4305319179684943e-23,0.05559366273562147,0.028389539149856008,0.04959724719046334,0.034096704510003246
yaw_rate__lag_1,1.6357738434627786e-23,-3.542364020284904e-23,0.07981950478897495,0.02859396996759593,0.05661626658034728,0.051794674789913855
position_x__lag_1,-1.3902854436397393e-33,2.0871210119972654e-33,-2.27074732772205e-16,2.3967799022290675e-16,2.2534901339205706e-16,-2.1931488500880484e-16
position_y__lag_1,-3.2956449441635835e-34,4.935395024646844e-34,5.3830764562347244e-17,-5.682110871074504e-17,-5.342277342695289e-17,5.199406641390192e-17
position_z__lag_1,-0.031581241071605974,0.06750188931193052,382.21454331723646,-95.45458944367631,-184.02215137406802,-159.8636847196583
velocity_z__lag_1,6.830685418922403e-28,1.5619461471058569e-27,6.040051169601941e-08,-6.19024810728698e-08,-5.766439945065736e-08,5.802947489038842e-08
altitude__lag_1,0.03158124107160597,-0.0675018893119305,-382.21454331723635,95.45458944367628,184.02215137406802,159.8636847196583
vertical_speed__lag_1,-6.830685419688543e-28,-1.5619461470285317e-27,-6.04005117058096e-08,6.19024810695934e-08,5.76643994439971e-08,-5.802947489677898e-08
heading__lag_1,-1.560258978375277e-23,3.3574161219985615e-23,0.04918919247804325,0.018997784970807702,0.03654095888147814,0.03159674248316699
command_roll__lag_2,-1.826513241091245e-30,-3.3920547278631616e-31,-6.3332955009155684e-09,6.4561319219189684e-09,6.0061119063998636e-09,-6.073798150499002e-09
command_pitch__lag_2,-1.899123146744853e-30,8.150093959855528e-30,2.95795346150543e-09,-2.964295853330737e-09,-2.7270786985537583e-09,2.8618005782981204e-09
command_yaw__lag_2,-4.6477940673931234e-30,-2.7589509396543836e-30,-1.6210224309803964e-08,1.5647358420773933e-08,1.4469722535781137e-08,-1.5014172167174724e-08
command_throttle__lag_2,-8.135656583708416e-30,-4.285680729883168e-29,-5.2207974120179185e-09,5.139851452901942e-09,4.74571600551036e-09,-4.935459674915428e-09
roll__lag_2,0.0588230749715916,-0.12573603670771022,-711.8447335636531,177.88243739322297,342.7935726793354,297.5514475435221
pitch__lag_2,-0.027520795791168385,0.05882307497202188,333.0726734665259,-83.18185651525624,-160.36216048326932,-139.30978239878243
yaw__lag_2,-1.560258978417108e-23,3.3574161218886363e-23,0.04918919247818719,0.018997784970943947,0.03654095888128152,0.03159674248288145
roll_rate__lag_2,2.030466429146919e-23,-4.479543624257246e-23,0.09689209072221022,0.05675964901824507,0.09517401863060596,0.05772638522725081
pitch_rate__lag_2,1.1519671345647551e-23,-2.4305319179921053e-23,0.055593662733779615,0.028389539149571402,0.04959724719009473,0.034096704510178724
yaw_rate__lag_2,1.6357738434648208e-23,-3.5423640202885903e-23,0.0798195047895561,0.02859396996816963,0.05661626657831219,0.05179467479025618
position_x__lag_2,5.20821381921476e-34,-4.8972724521652346e-34,-8.32375123104566e-17,8.290314383501806e-17,7.506301030060872e-17,-8.274722830621649e-17
position_y__lag_2,1.2307880374930217e-34,-1.1101993320072406e-34,1.9732213699841815e-17,-1.9653429934492237e-17,-1.779328482031536e-17,1.9617004721763596e-17
position_z__lag_2,-0.03158124107212569,0.06750188931254053,382.2145433089562,-95.45458944373667,-184.0221513742435,-159.86368471991423
velocity_z__lag_2,-9.783508534114635e-28,2.1490181355551594e-27,6.237265363065572e-08,-6.165559665715745e-08,-5.6749401375471315e-08,5.956437785248373e-08
altitude__lag_2,0.03158124107212569,-0.06750188931254053,-382.2145433089562,95.45458944373664,184.02215137424346,159.86368471991423
vertical_speed__lag_2,9.783508534114407e-28,-2.149018135555088e-27,-6.237265363065258e-08,6.165559665715108e-08,5.6749401375464526e-08,-5.956437785248005e-08
heading__lag_2,-1.5602589783890006e-23,3.3574161219335496e-23,0.04918919247678915,0.018997784970991208,0.036540958881270805,0.03159674248322997
command_roll__lag_3,2.631364340822684e-29,-5.674905966652054e-29,1.6927517034749224e-07,-1.7768775502225739e-07,-1.662896146721655e-07,1.6439890190379726e-07
command_pitch__lag_3,-1.697801367605745e-29,3.39320641341374e-29,-1.3508153145733335e-07,1.3665127656473978e-07,1.2530833046554437e-07,-1.326669667212441e-07
command_yaw__lag_3,5.069554724910657e-29,-1.113142767972753e-28,3.4010415171028006e-07,-3.2895160531679714e-07,-3.0436653910218035e-07,3.1518143831039525e-07
command_throttle__lag_3,-4.127421407854372e-28,9.158158938040725e-28,-2.855359744915084e-06,2.755706779400822e-06,2.5328296544024956e-06,-2.678197777540512e-06
roll__lag_3,0.05882307497204174,-0.1257360367080113,-711.8447335147478,177.88243739322297,342.7935726793354,297.55144754352216
pitch__lag_3,-0.027520795791379157,0.05882307497216864,333.0726734437435,-83.18185651525621,-160.3621604832693,-139.30978239878243
yaw__lag_3,-1.5602589783996532e-23,3.357416121862846e-23,0.04918919247723947,0.018997784971036335,0.03654095888180944,0.031596742482962376
roll_rate__lag_3,2.03046642914692e-23,-4.479543624257245e-23,0.09689209071831376,0.056759649017399924,0.09517401863125728,0.05772638522816741
pitch_rate__lag_3,1.1519671345647553e-23,-2.4305319179921056e-23,0.05559366273388047,0.028389539149017807,0.049597247188103794,0.034096704510098524
yaw_rate__lag_3,1.6357738434648208e-23,-3.5423640202885903e-23,0.0798195047911966,0.028593969968418828,0.05661626657847826,0.05179467479109247
position_x__lag_3,6.582091013680205e-34,3.477193238703024e-34,1.9941267384461626e-15,-2.0018185378050727e-15,-1.8595474568075695e-15,1.892897514899427e-15
position_y__lag_3,1.559505215636122e-34,8.114329905473697e-35,-4.727549579889249e-16,4.745801629558116e-16,4.4085251418750403e-16,-4.48756420862818e-16
position_z__lag_3,-0.03158124107186009,0.06750188931164028,382.2145432946804,-95.45458944373664,-184.02215137424344,-159.8636847199143
velocity_z__lag_3,4.260230704472531e-28,-2.5074863225282267e-27,-2.6361986154951966e-07,2.684779410920633e-07,2.5135169062526953e-07,-2.4912730450797717e-07
altitude__lag_3,0.0315812410718601,-0.06750188931164025,-382.2145432946804,95.45458944373664,184.02215137424344,159.8636847199143
vertical_speed__lag_3,-4.260230704472628e-28,2.5074863225282733e-27,2.636198615495146e-07,-2.6847794109205853e-07,-2.513516906252651e-07,2.491273045079724e-07
heading__lag_3,-1.560258978370392e-23,3.3574161218763477e-23,0.049189192477407384,0.018997784971241605,0.036540958882071026,0.0315967424835123
