received_time_ns,timestamp,timestamp_sample,valid,data_source,roll,pitch,yaw,throttle,sticks_moving,buttons
1775896427556392311,1775896426769250,1775896426769250,True,2,0.0,0.0,0.0,0.0,False,0
1775896427621327953,1775896426825250,1775896426817250,True,2,0.0,0.0,0.0,0.0,False,0
1775896427656382782,1775896426857250,1775896426857250,True,2,0.0,0.0,0.0,0.0,False,0
1775896427720008529,1775896426909250,1775896426909250,True,2,0.0,0.0,0.0,0.0,False,0
1775896427757422962,1775896426941250,1775896426941250,True,2,0.0,0.0,0.0,0.0,False,0
1775896427822415755,1775896427001250,1775896427001250,True,2,0.0,0.0,0.0,0.0,False,0
1775896427858007694,1775896427033250,1775896427033250,True,2,0.0,0.0,0.0,0.0,False,0
1775896427905602127,1775896427081250,1775896427081250,True,2,0.0,0.0,0.0,0.0,False,0
1775896427957051975,1775896427121250,1775896427121250,True,2,0.0,0.0,0.0,0.0,False,0
1775896428020319297,1775896427169250,1775896427169250,True,2,0.0,0.0,0.0,0.0,False,0
1775896428062134959,1775896427217250,1775896427217250,True,2,0.0,0.0,0.0,0.0,False,0
1775896428120354857,1775896427265250,1775896427265250,True,2,0.0,0.0,0.0,0.0,False,0
1775896428158399262,1775896427301250,1775896427301250,True,2,0.0,0.0,0.0,0.0,False,0
1775896428208148471,1775896427349250,1775896427349250,True,2,0.0,0.0,0.0,0.0,False,0
1775896428259081306,1775896427397250,1775896427397250,True,2,0.0,0.0,0.0,0.0,False,0
1775896428319300750,1775896427449250,1775896427449250,True,2,0.0,0.0,0.0,0.0,False,0
1775896428356202936,1775896427489250,1775896427489250,True,2,0.0,0.0,0.0,0.0,False,0
1775896428408585632,1775896427541250,1775896427541250,True,2,0.0,0.0,0.0,0.0,False,0
1775896428460429873,1775896427589250,1775896427589250,True,2,0.0,0.0,0.0,0.0,False,0
1775896428517596511,1775896427637250,1775896427637250,True,2,0.02859949879348278,0.0,0.0,0.0,False,0
1775896428557061593,1775896427673250,1775896427673250,True,2,0.02859949879348278,0.0,0.0,0.0,False,0
1775896428608013820,1775896427717250,1775896427717250,True,2,0.02859949879348278,0.0,0.0,0.0,False,0
1775896428664126845,1775896427769250,1775896427769250,True,2,0.02859949879348278,0.0,0.0,0.0,False,0
1775896428714801445,1775896427817250,1775896427817250,True,2,0.02859949879348278,0.0,0.0,0.0,False,0
1775896428761221244,1775896427857250,1775896427857250,True,2,0.02859949879348278,0.0,0.0,0.0,False,0
1775896428806141040,1775896427889250,1775896427889250,True,2,-0.004901185166090727,0.0,0.0,0.0,False,0
1775896428856721945,1775896427929250,1775896427929250,True,2,-0.004901185166090727,0.0,0.0,0.0,False,0
1775896428920828452,1775896427977250,1775896427977250,True,2,-0.004901185166090727,0.0,0.0,0.0,False,0
1775896428957596913,1775896428021250,1775896428021250,True,2,-0.004901185166090727,0.0,0.0,0.0,False,0
1775896429021856698,1775896428077250,1775896428077250,True,2,-0.004901185166090727,0.0,0.0,0.0,False,0
1775896429058372748,1775896428105250,1775896428105250,True,2,0.04906058683991432,0.0,0.0,0.0,True,0
1775896429119099095,1775896428157250,1775896428157250,True,2,0.04906058683991432,0.0,0.0,0.0,False,0
1775896429158777166,1775896428197250,1775896428197250,True,2,0.04906058683991432,0.0,0.0,0.0,False,0
1775896429208439017,1775896428237250,1775896428237250,True,2,0.04906058683991432,0.0,0.0,0.0,False,0
1775896429259509258,1775896428277250,1775896428277250,True,2,0.04906058683991432,0.0,0.0,0.0,False,0
1775896429322357966,1775896428329250,1775896428329250,True,2,0.04906058683991432,0.0,0.0,0.0,False,0
1775896429358133422,1775896428361250,1775896428361250,True,2,-0.003150551114231348,0.0,0.0,0.0,True,0
1775896429413179972,1775896428409250,1775896428409250,True,2,-0.003150551114231348,0.0,0.0,0.0,False,0
1775896429457841469,1775896428449250,1775896428449250,True,2,-0.003150551114231348,0.0,0.0,0.0,False,0
1775896429510204518,1775896428497250,1775896428497250,True,2,-0.003150551114231348,0.0,0.0,0.0,False,0
1775896429559583750,1775896428537250,1775896428537250,True,2,-0.003150551114231348,0.0,0.0,0.0,False,0
1775896429610814052,1775896428581250,1775896428581250,True,2,-0.003150551114231348,0.0,0.0,0.0,False,0
1775896429660243907,1775896428629250,1775896428629250,True,2,-0.003150551114231348,0.0,0.0,0.0,False,0
1775896429705042138,1775896428661250,1775896428661250,True,2,-0.03453354164958,0.0,0.0,0.0,False,0
1775896429760892481,1775896428717250,1775896428717250,True,2,-0.03453354164958,0.0,0.0,0.0,False,0
1775896429805988242,1775896428761250,1775896428761250,True,2,-0.03453354164958,0.0,0.0,0.0,False,0
1775896429856873302,1775896428805250,1775896428805250,True,2,-0.03453354164958,0.0,0.0,0.0,False,0
1775896429909620888,1775896428861250,1775896428861250,True,2,-0.03453354164958,0.0,0.0,0.0,False,0
1775896429961469162,1775896428909250,1775896428909250,True,2,-0.03453354164958,0.0,0.0,0.0,False,0
1775896430006718968,1775896428937250,1775896428937250,True,2,0.06954225152730942,0.0,0.0,0.0,True,0
1775896430060001744,1775896428981250,1775896428981250,True,2,0.06954225152730942,0.0,0.0,0.0,True,0
1775896430108154056,1775896429029250,1775896429029250,True,2,0.06954225152730942,0.0,0.0,0.0,True,0
1775896430162238065,1775896429069250,1775896429069250,True,2,0.06954225152730942,0.0,0.0,0.0,False,0
1775896430219891575,1775896429117250,1775896429117250,True,2,0.06954225152730942,0.0,0.0,0.0,False,0
1775896430257397687,1775896429141250,1775896429141250,True,2,-0.08226648718118668,0.0,0.0,0.0,True,0
1775896430306754713,1775896429189250,1775896429189250,True,2,-0.08226648718118668,0.0,0.0,0.0,True,0
1775896430362574273,1775896429229250,1775896429229250,True,2,-0.08226648718118668,0.0,0.0,0.0,True,0
1775896430419253145,1775896429269250,1775896429269250,True,2,-0.08226648718118668,0.0,0.0,0.0,True,0
1775896430461589566,1775896429317250,1775896429317250,True,2,-0.08226648718118668,0.0,0.0,0.0,False,0
1775896430505900895,1775896429361250,1775896429361250,True,2,-0.08226648718118668,0.0,0.0,0.0,False,0
1775896430558109579,1775896429409250,1775896429409250,True,2,-0.08226648718118668,0.0,0.0,0.0,False,0
1775896430606587549,1775896429449250,1775896429449250,True,2,-0.06071126461029053,0.0,0.0,0.0,False,0
1775896430662902940,1775896429497250,1775896429497250,True,2,-0.06071126461029053,0.0,0.0,0.0,False,0
1775896430708293832,1775896429537250,1775896429537250,True,2,-0.06071126461029053,0.0,0.0,0.0,False,0
1775896430762848552,1775896429577250,1775896429577250,True,2,-0.06071126461029053,0.0,0.0,0.0,False,0
1775896430806046941,1775896429617250,1775896429617250,True,2,-0.06071126461029053,0.0,0.0,0.0,False,0
1775896430856892771,1775896429649250,1775896429649250,True,2,-0.06071126461029053,0.0,0.0,0.0,False,0
1775896430909057552,1775896429701250,1775896429701250,True,2,0.09888456761837006,0.0,0.0,0.0,True,0
1775896430957896059,1775896429741250,1775896429741250,True,2,0.09888456761837006,0.0,0.0,0.0,True,0
1775896431006290831,1775896429789250,1775896429789250,True,2,0.09888456761837006,0.0,0.0,0.0,True,0
1775896431063696602,1775896429837250,1775896429837250,True,2,0.09888456761837006,0.0,0.0,0.0,True,0
1775896431116205825,1775896429877250,1775896429877250,True,2,0.09888456761837006,0.0,0.0,0.0,False,0
1775896431157520570,1775896429913250,1775896429913250,True,2,0.09888456761837006,0.0,0.0,0.0,False,0
1775896431211129133,1775896429961250,1775896429961250,True,2,0.05729984492063522,0.0,0.0,0.0,False,0
1775896431262530473,1775896430009250,1775896430009250,True,2,0.05729984492063522,0.0,0.0,0.0,False,0
1775896431309188158,1775896430049250,1775896430049250,True,2,0.05729984492063522,0.0,0.0,0.0,False,0
1775896431360827253,1775896430097250,1775896430097250,True,2,0.05729984492063522,0.0,0.0,0.0,False,0
1775896431418619193,1775896430137250,1775896430137250,True,2,0.05729984492063522,0.0,0.0,0.0,False,0
1775896431458724201,1775896430177250,1775896430177250,True,2,-0.09605884552001953,0.0,0.0,0.0,True,0
1775896431506580199,1775896430221250,1775896430221250,True,2,-0.09605884552001953,0.0,0.0,0.0,True,0
1775896431560344631,1775896430269250,1775896430269250,True,2,-0.09605884552001953,0.0,0.0,0.0,True,0
1775896431609286849,1775896430313250,1775896430313250,True,2,-0.09605884552001953,0.0,0.0,0.0,True,0
1775896431658912222,1775896430361250,1775896430361250,True,2,-0.09605884552001953,0.0,0.0,0.0,False,0
1775896431721176558,1775896430413250,1775896430413250,True,2,-0.09605884552001953,0.0,0.0,0.0,False,0
1775896431762544326,1775896430457250,1775896430457250,True,2,0.03192070499062538,0.0,0.0,0.0,True,0
1775896431822178920,1775896430501250,1775896430501250,True,2,0.03192070499062538,0.0,0.0,0.0,True,0
1775896431861267178,1775896430537250,1775896430537250,True,2,0.03192070499062538,0.0,0.0,0.0,True,0
1775896431907871168,1775896430581250,1775896430581250,True,2,0.03192070499062538,0.0,0.0,0.0,False,0
1775896431957706554,1775896430621250,1775896430621250,True,2,0.03192070499062538,0.0,0.0,0.0,False,0
1775896432020542527,1775896430673250,1775896430669250,True,2,0.03192070499062538,0.0,0.0,0.0,False,0
1775896432061367138,1775896430713250,1775896430713250,True,2,0.03192070499062538,0.0,0.0,0.0,False,0
