feature,actuator_1,actuator_2,actuator_3,actuator_4
command_roll,0.06144502674368607,0.06189591557378985,0.050858697269013806,0.05111285186987326
command_pitch,-0.17732828220753832,-0.17864062069276693,-0.03617998485282065,-0.02625691296591633
command_yaw,0.07915192522240988,0.08219460619693114,0.10031312306811735,0.10360164300984447
command_throttle,-0.045742704003978035,-0.04442291442414175,-0.0687443617581882,-0.06856385200688833
roll,-3.623551616795451,-3.615868265936406,-3.43999785033574,-3.392697287603281
pitch,-2.27313396764858,-2.253382148639497,-1.0121285041365409,-0.7662914750229705
yaw,-0.5945947803601455,-0.5894098171137119,-0.6144571943768389,-0.6098862403453932
roll_rate,0.66879754724764,0.7498878990784699,-0.1538538897401431,-0.20494163781489108
pitch_rate,-0.14020876384364256,-0.20903479593468427,-0.024179125399518515,-0.06953076583947113
yaw_rate,1.0148977652559734,1.0251124149689892,-0.4705893547078374,-0.47343711703658736
position_x,-0.05534886611343679,-0.055538596679442734,0.04583380810435644,0.04867605238281821
position_y,0.048023392193490694,0.05581772629679076,-0.26732353681837895,-0.25820311112643424
position_z,-0.10552237953451316,-0.10649707329585267,-0.09231195969468745,-0.09376722931748704
velocity_x,0.26073592278588725,0.2557781855160137,0.16210996934174526,0.19173093735415436
velocity_y,0.010448614177501751,0.0046363483599049585,0.07314521023861721,0.05534059226035423
velocity_z,0.536032699077833,0.5437386257937904,0.5074406121172156,0.513556773296762
altitude,-0.007967014186191956,-0.008078896970343877,-0.008016625333879352,-0.00791811364702181
vertical_speed,-0.004006664383879759,-0.004056547920076314,-0.004110951530634945,-0.004065634371465999
heading,-0.024043138994663676,-0.022368609195412448,0.05089788768760929,0.05050592749702496
command_roll__lag_1,0.0036803839774907964,0.005360674433877919,0.01760239355057666,0.01836893526046406
command_pitch__lag_1,0.028567273525651797,0.024848307254273456,-0.007282583830157304,-0.004049940284282486
command_yaw__lag_1,-0.02036896950664286,-0.02086527312203557,-0.01399066537499548,-0.012575172935137893
command_throttle__lag_1,0.3388004121524088,0.3346472455183728,0.3776772341696659,0.37424951740303236
roll__lag_1,2.5277991823670094,2.553456204646165,2.2322429701361832,2.205880664449369
pitch__lag_1,0.621851740219971,0.6467950727868204,-0.8804092461391564,-1.029125821548702
yaw__lag_1,0.001378353563468559,0.0013926766317453672,-0.005912454937827028,-0.006192519799820146
roll_rate__lag_1,-0.6300911904556199,-0.7490244803390511,0.22749373495096434,0.3102981330381517
pitch_rate__lag_1,0.24559479676917773,0.35610692816061135,0.01850894698982343,0.1018019609464692
yaw_rate__lag_1,-0.5082414582718673,-0.5233719471218203,0.1269632297930244,0.12830030673832515
position_x__lag_1,-0.009476448465541194,-0.0075388468168605385,-0.07896669804494771,-0.0835038462857017
position_y__lag_1,-0.13955712199778145,-0.14215484202584155,0.028239427043788345,0.02708225089203089
position_z__lag_1,0.003204073990924629,0.0034054235376134367,-0.005905132184038929,-0.005336950545026184
velocity_x__lag_1,-0.09387272948992913,-0.09581380344040083,-0.05650754592053957,-0.05979437424429759
velocity_y__lag_1,-0.08894096518211364,-0.08767330850999552,-0.017200349688734233,-0.016905480255428512
velocity_z__lag_1,-0.6397192151101407,-0.6468268369206719,-0.5968655010024277,-0.599619414222004
