feature,window_mean_roll,window_mean_pitch,window_mean_yaw,window_mean_roll_rate,window_mean_pitch_rate,window_mean_yaw_rate,window_peak_roll,window_peak_pitch,window_peak_yaw,window_peak_roll_rate,window_peak_pitch_rate,window_peak_yaw_rate
command_roll,0.02494122435098421,0.015612859546112946,0.013996955252711966,0.015354923937130506,-0.0033584029595861366,-0.04754031341437649,-0.07464368161156862,-0.06041598104566577,-0.05772786951436417,-0.007113673503914911,-0.030689196062772216,0.05441598725565604
command_pitch,0.031161294648853054,0.019510667597583815,0.01746757458373934,0.01900827626840327,-0.004180913183814465,-0.05991276287386042,-0.0932842821508378,-0.07552495732113705,-0.07255899663307291,-0.008586653346062921,-0.038139735298408924,0.06880113327033331
command_yaw,0.062266002367402956,0.03900156069044775,0.03491890560424589,0.038370870763940045,-0.008246501798853195,-0.12072839650775902,-0.18706895711097052,-0.15127710721374626,-0.14364513647659752,-0.016381063712442655,-0.07652714741049184,0.13856788968449238
command_throttle,0.1411861554395587,0.006704784854057639,1.5829078151293599,0.35092388668478736,0.09665726426984385,-0.03731756739588715,-0.34344308886275277,-0.00994957718515923,1.6412983031305595,0.5821159289327389,-0.323162871607109,-0.010543057726106496
roll,1.6970855624866379,0.014050789455713395,-0.3271539108481646,-0.3302313458044799,-0.01480743735341375,0.0848168147262987,-0.3202218500977809,-0.15375095216376833,-0.7713111042420291,-0.2994263854582462,-0.5967442095374307,-0.13396493557398995
pitch,0.12369681290716034,1.6272564110267917,-0.4718794770979626,0.2636172505084306,0.16712559744341818,-0.08560369698719282,0.5134667726009476,-0.023738340815740125,0.1472339070708034,-0.33896231311573843,0.2753211232208649,0.03552965202864175
yaw,0.04346866015485103,0.029260080386068654,0.4769763317323384,0.15904137900311577,-0.09947145397812963,-0.03203006295653299,0.07112618496622497,-0.03652653562643214,0.4378040968984707,-0.7421223145725375,-0.8495717633291657,-0.09566115585003611
roll_rate,0.00025258943426660456,0.005747074399887685,0.012218349487877816,1.6539344963461557,-0.029015582468144372,0.39973155223395695,0.08072462569540345,0.07332820652445744,0.16221024461367767,-0.12306106909641784,0.06312242306689049,-0.5836364042707782
pitch_rate,0.005856149770880675,-0.001995675052408307,-0.042740938313072505,-0.02308933320990347,1.4852799475062004,-0.33136136237690456,-0.12352003051995203,-0.0809445843133179,-0.19115614158193095,0.20313154639806175,-0.05683752263217357,0.5075715013189118
yaw_rate,0.017390007712917536,0.01252926803028917,-0.024865927172840942,3.1363638179969953,0.3660060406503781,1.250978508234105,0.10570225627998196,-0.0018620648629593794,-0.014522220678228686,0.8666459674967003,0.4115462544310919,-0.5737364182050628
position_x,0.01635107435193196,0.0023349915152633656,-0.001071428829698143,0.010135001926412195,0.00031031452503601023,-0.0034452440704199386,0.003885198926853228,-0.003732483568016396,-0.011162225213501981,0.03897378392572506,-0.025226217211602838,-0.0005817202649413197
position_y,0.01088088978887317,0.021460376358270288,0.0006219514829726601,0.014784183539042902,0.026358110219476417,0.002154738668567844,-0.0086354156924606,-0.0042295113582029335,-0.013075720946882093,0.17137020060147382,0.27016996467096743,0.012732144197052781
