feature,future_state_roll,future_state_pitch,future_state_yaw,future_state_roll_rate,future_state_pitch_rate,future_state_yaw_rate,future_state_position_x,future_state_position_y,future_state_position_z,future_state_velocity_x,future_state_velocity_y,future_state_velocity_z,future_state_altitude,future_state_vertical_speed,future_state_heading
command_roll,0.00012083633005622867,-2.618156655323491e-06,0.0030192724895348674,-0.0001626131259443778,5.620437836284758e-05,-0.005206978155618901,329836.5451602924,-1391279.5097853234,-0.05306614750156761,0.029104183218007104,-0.0676021504595066,0.14959821300624893,0.05306614750156761,-0.14959821300624893,0.0030192724895348674
command_pitch,-8.245293624464553e-05,1.91542648839316e-06,-0.0017941087850097195,-5.194474721830675e-05,-3.717104328687835e-05,0.0036005449611876393,-3142626.462711892,13255866.344128963,0.07695068343167104,-0.03523632485153015,0.12263557061908331,-0.2854780072373808,-0.07695068343167104,0.2854780072373808,-0.0017941087850097195
command_yaw,-3.614107424056051e-05,8.556645779189762e-09,-0.0014206298794681286,0.00031339775872409764,-9.593650909954638e-06,0.0004655904414264698,8301204.234024441,-35015183.78377526,-0.08748595613779389,-0.022218569256241355,-0.07370232960307027,0.488901159470714,0.08748595613779389,-0.488901159470714,-0.0014206298794681286
command_throttle,-0.00023149706566663638,-2.7782435800646977e-06,-0.02070297198268906,6.876435038950335e-05,2.2464541811357793e-05,-0.002251412448951623,65671.86266524252,-277009.3468437643,-0.006537234379892872,-0.007614942644979249,-0.0014266739150290836,0.02195970332956697,0.006537234379892872,-0.02195970332956697,-0.02070297198268906
roll,0.13163729267816296,9.375627516606047e-05,1.2557922615461365,0.013780450440837116,-0.0017707330687471178,0.2666242956087034,-73589.32382981254,310406.9167311833,0.07012175602730979,0.022351506987894284,0.047163856372770034,0.00940021242735463,-0.07012175602730979,-0.00940021242735463,1.2557922615461365
pitch,0.0074736047440573826,0.2498849747255025,-0.010593932125664549,-0.012117555496572334,0.0013080470991546802,-0.16425666184664134,66745.11720400363,-281537.1487201343,-0.023148559146543866,-0.05406485831405089,-0.052116774347191946,0.013388830989904116,0.023148559146543866,-0.013388830989904116,-0.010593932125664549
yaw,0.0005573060628109295,1.900355223046672e-07,0.0632316420267067,-0.0008672494055392868,-2.8700804600507998e-05,0.0005923656423497719,-1074.28058480593,4531.413290922904,-0.00034497921069178355,-5.367731046828725e-05,0.0006216114204159395,-0.0001618952540998861,0.00034497921069178355,0.0001618952540998861,0.0632316420267067
roll_rate,0.0002778983878376368,-1.207386145322311e-06,-0.04173937864863911,0.23908970857739353,-0.00014562795854145802,0.0006662545031764014,-5536.479580973267,23353.349483653823,-0.003246272491320674,-0.0018046441260958204,-0.0018780858729313434,-0.0002349404788273943,0.003246272491320674,0.0002349404788273943,-0.04173937864863911
pitch_rate,-0.0005103493591386476,8.68582951480463e-06,-0.02818727081842643,-0.0024328207079486667,0.2496003750419708,0.024563285831749326,-8870.783122954495,37417.81023040738,-0.001458021543189807,0.007719444528451696,0.008182512742503619,-0.002820512019821481,0.001458021543189807,0.002820512019821481,-0.02818727081842643
yaw_rate,0.00115900384994473,-1.1033122487143662e-05,0.0056362342574685104,7.348795110358858e-05,0.00027963399930108334,0.2186629742177278,6012.844992517386,-25362.770724474223,-0.003555194317897658,-0.006954485508391442,-0.007838180102261241,0.0037334491490910084,0.003555194317897658,-0.0037334491490910084,0.0056362342574685104
