received_time_ns,x,y,z,vx,vy,vz
1775929844371992464,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775929844373206271,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775929844475138008,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775929844476488133,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775929844528126792,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775929844580646719,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775929844632607805,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775929844684657370,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775929844737304879,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775929844789214446,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775929844841478536,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775929844893295561,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.02
1775929844945472132,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929844997784894,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929845050760206,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929845103025224,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929845154936456,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929845207316480,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929845259311102,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929845312116273,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929845364273773,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929845416972225,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929845469090781,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929845521123451,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929845523021728,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929845625637936,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929845627939823,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929845680461926,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929845732756736,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929845785950317,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929845838299334,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929845890095751,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929845941855208,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929845994302464,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929846046841814,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929846098854484,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929846150805363,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929846202832785,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929846255355432,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929846307798592,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929846359742879,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929846411541600,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929846463444255,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929846515602203,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929846567595673,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929846619477241,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929846673360445,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929846678232120,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929846729958362,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929846781896985,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929846833703738,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929846885580602,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929846937654647,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929846989570998,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929847041832529,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929847093638034,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929847145536465,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929847197330803,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
