scenario,amplitude_tier,flight_mode,config_key,config_name,run_id,study_name,config_profile,artifact_dir,analysis_status,baseline_command_throttle,baseline_min_actuator,baseline_sample_count,active_sample_count,aligned_sample_count,pulse_count_seen,triggered_pulse_count,pulse_trigger_rate,floor_hit_rate,baseline_false_trigger_rate,median_hit_latency_ms,recovery_rate,hit_pattern_consistency,accepted,failsafe_during_experiment,completion_reason,rejection_reasons,anomaly_summary,status,exit_code,research_acceptance
nominal,confirm,GUIDED_NOGPS,nominal-confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm.yaml,20260415_100705_ardupilot_attitude_pulse_train_throttle_r1,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100705_ardupilot_attitude_pulse_train_throttle_r1,ok,-0.69,0.523,155,33,188,5,3,0.6,0.6060606060606061,0.3870967741935484,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,confirm,GUIDED_NOGPS,nominal-confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm.yaml,20260415_100739_ardupilot_attitude_pulse_train_throttle_r2,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100739_ardupilot_attitude_pulse_train_throttle_r2,ok,-0.69,0.524,156,35,191,5,3,0.6,0.6,0.38461538461538464,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,confirm,GUIDED_NOGPS,nominal-confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm.yaml,20260415_100813_ardupilot_attitude_pulse_train_throttle_r3,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100813_ardupilot_attitude_pulse_train_throttle_r3,ok,-0.69,0.523,159,33,192,5,3,0.6,0.6060606060606061,0.389937106918239,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,confirm,GUIDED_NOGPS,nominal-confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm.yaml,20260415_100847_ardupilot_attitude_pulse_train_throttle_r4,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100847_ardupilot_attitude_pulse_train_throttle_r4,ok,-0.69,0.522,155,33,188,5,3,0.6,0.6060606060606061,0.3935483870967742,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,confirm,GUIDED_NOGPS,nominal-confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm.yaml,20260415_100921_ardupilot_attitude_pulse_train_throttle_r5,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100921_ardupilot_attitude_pulse_train_throttle_r5,ok,-0.69,0.5235000000000001,156,33,189,5,3,0.6,0.6060606060606061,0.38461538461538464,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,micro,GUIDED_NOGPS,throttle_biased-micro,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro.yaml,20260415_100955_ardupilot_attitude_pulse_train_throttle_r1,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100955_ardupilot_attitude_pulse_train_throttle_r1,ok,-0.73,0.533,158,34,192,5,3,0.6,0.5882352941176471,0.3924050632911392,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,micro,GUIDED_NOGPS,throttle_biased-micro,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro.yaml,20260415_101030_ardupilot_attitude_pulse_train_throttle_r2,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_101030_ardupilot_attitude_pulse_train_throttle_r2,ok,-0.73,0.538,158,33,191,5,3,0.6,0.6363636363636364,0.3860759493670886,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,micro,GUIDED_NOGPS,throttle_biased-micro,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro.yaml,20260415_101104_ardupilot_attitude_pulse_train_throttle_r3,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_101104_ardupilot_attitude_pulse_train_throttle_r3,ok,-0.73,0.5375000000000001,158,35,193,5,3,0.6,0.6,0.3860759493670886,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,micro,GUIDED_NOGPS,throttle_biased-micro,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro.yaml,20260415_101138_ardupilot_attitude_pulse_train_throttle_r4,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_101138_ardupilot_attitude_pulse_train_throttle_r4,ok,-0.73,0.533,159,32,191,5,3,0.6,0.59375,0.389937106918239,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,micro,GUIDED_NOGPS,throttle_biased-micro,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro.yaml,20260415_101212_ardupilot_attitude_pulse_train_throttle_r5,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_101212_ardupilot_attitude_pulse_train_throttle_r5,ok,-0.73,0.533,154,34,188,5,3,0.6,0.6176470588235294,0.38311688311688313,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
