feature,actuator_1,actuator_2,actuator_3,actuator_4
command_roll,-9.01722002783583e-05,-5.3131910805785315e-05,2.2860264822792484e-05,-7.786920173467148e-05
command_pitch,0.00011351584708434534,0.00011454600762467187,-2.7690067960250116e-05,5.4857103372074233e-05
command_yaw,-8.029722348442867e-05,-0.00013834589351480558,1.1638254093484052e-05,2.6293883274758117e-05
command_throttle,-0.0015642572881666283,-0.00278467487940161,1.4621436472844576e-06,0.0014674811477825784
roll,0.5830221760795097,0.5691052260373558,0.5439153022437281,0.5771779362950095
pitch,0.0027268638239838464,-0.003130581985036509,-0.0027611907857716307,0.0007819738219604086
yaw,-0.0009095614296727583,-0.0006324601990461379,0.00010909997511031092,-0.001018789775966415
roll_rate,0.0004173744327097273,0.0016887179620862947,-0.00033429412122658667,-0.00014950902049156594
pitch_rate,-0.00021623123877120555,-8.178890650813146e-05,-4.230916724961645e-05,0.0001502195362714135
yaw_rate,6.401881108635541e-05,0.00018336473450068907,5.07540421189076e-05,0.00122230313077784
position_x,-5.657394321158757e-05,-0.00013474953459930138,8.765336101419542e-06,0.00012697429201000523
position_y,-1.3412234799196563e-05,-3.19456677733898e-05,2.078036975248353e-06,3.010235659283895e-05
position_z,1.441737371168905e-05,-1.0335769341345467e-05,-5.08419350599077e-06,2.331345336163765e-05
velocity_x,-0.00021562040408028816,-0.00012624272356106178,3.876441354721513e-05,-8.848065956164165e-05
velocity_y,-0.00012854453766075413,5.5783951295035866e-05,4.2123504237799975e-05,-0.0002140053377258408
velocity_z,-8.329000935724593e-07,-1.7163158823730708e-06,5.000809982615669e-07,1.2169426547622357e-06
altitude,-1.453135368236715e-05,1.0189454428028746e-05,5.1684926156371845e-06,-2.3288713836210517e-05
vertical_speed,1.5577268897309112e-06,2.8904707728776155e-06,-3.4373389165371123e-07,-2.314725842715348e-06
heading,-0.0009094070467746612,-0.000632042001404736,0.00010909012476935112,-0.0010192216681953767
mode_guided_nogps,0.20340482642699076,0.20125335531758162,0.1932741386660359,0.20503698529940687
mode_stabilize,-0.2034040066517159,-0.2012510206207322,-0.1932741924886634,-0.2050394563010855
integrator_yaw,-23736.771670353373,-5187.249883890659,7533.123893675139,-19580.950163429377
control_output_roll,-0.3284991985901048,1.3903765414210996,-0.11460214107698997,0.12233569105315772
control_output_pitch,-0.0851925744583027,0.40514929751242357,0.35804359622097826,-1.3026773158916933
control_output_yaw,1.5182406920157698,1.374669782223831,-0.2766460046599044,-1.88938700583607
command_roll__lag_1,7.611789323120428e-05,5.159521678411743e-05,-1.7108245396514086e-05,5.345180146515343e-05
command_pitch__lag_1,-0.00013827092131938031,-0.0001184563461819131,2.915686891627507e-05,-7.302496490909137e-05
command_yaw__lag_1,0.00016407658603924256,0.0001584796053686146,-3.2725574120801616e-05,6.500193458953223e-05
command_throttle__lag_1,0.0009955122147580946,0.0016930353513565127,-1.577894109380858e-05,-0.0008589706939156835
roll__lag_1,0.5830099280828954,0.5690781723453632,0.5439174548109529,0.5772019954450242
pitch__lag_1,0.002667912789578232,-0.0035294046832365254,-0.0028113870285265603,0.0013127335716113216
yaw__lag_1,-0.0009094274092399101,-0.0006321128013759404,0.0001091014778890752,-0.0010191516788840514
